skt	tib
 ācāryanāgārjunaviracitaḥ suhṛllekhaḥ (sl)	༄༤༠བ་༅་༎ རྒྱ་གར་སྐད་དུ་། སུ་ཧྲི་ད་ལེ་ཁ་། བོད་སྐད་དུ་། བཤེས་པའི་སྤྲིང་ཡིག་།འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་ལ་ཕྱག་འཚལ་ལོ་༎
 prakṛtisukṛtārhaguṇāḍhya sugatavacobhyaḥ samudānītāśca mayā |	ཡོན་ཏན་རང་བཞིན་དགེ་འོས་བདག་གིས་ནི་༎ བདེ་བར་གཤེགས་པའི་གསུང་བསྙད་ལས་བྱུང་བའི་༎
 śubhamālakṣya kṛtā vai kāścidāryāgītayastvayā ca śravyāḥ || sl_1 ||	བསོད་ནམས་འདུན་སླད་འཕགས་པའི་དབྱངས་འདི་དག་། ཅུང་ཟད་ཅིག་བསྡེབས་ཁྱོད་ཀྱིས་གསན་པའི་རིགས་༎ ཇི་ལྟར་བདེ་གཤེགས་སྐུ་གཟུགས་ཤིང་ལས་ཀྱང་༎
 dārumayī hyapi pratimā sampūjyate kāpi sugatasya vidvadbhiḥ |	བགྱིས་པ་ཅི་འདྲ་འང་རུང་སྟེ་མཁས་པས་མཆོད་༎
 tathāmanojñaṃ kāvyaṃ saddharmāśrayācca mamedaṃ na nindyam || sl_2 ||	དེ་བཞིན་བདག་གི་སྙན་ངག་འདི་ངན་ཡང་༎ དམ་ཆོས་བརྗོད་ལ་བརྟེན་སླད་སྨད་མི་བགྱི་༎
 mahāmuneratimadhuraṃ manye vacanaṃ bhavatāvagatameva syāt |	ཐུབ་པ་ཆེན་པོའི་བཀའ་ནི་སྨན་དགུ་ཞིག་༏་། ཁྱོད་ཀྱི་ཐུགས་སུ་ལྟ་ཡང་ཆུད་མོད་ཀྱི་༎
 ākalpitaṃ tu sudhayā nanvatidhavalaṃ na dṛśyate candrikayā? || sl_3 ||	རྡོ་ཐལ་ལས་བགྱིས་དགུང་ཟླའི་འོད་ཀྱིས་ནི་༎ ཆེས་དཀར་ཉིད་དུ་ཅི་སྟེ་མི་བགྱིད་ལགས་༎
 jinairbuddhadharmasaṃghaśīlatyāgadevādiṣaḍanusmṛtayaḥ |	རྒྱལ་བས་སངས་རྒྱས་ཆོས་དང་དགེ་འདུན་དང་༎ གཏོང་དང་ཚུལ་ཁྲིམས་ལྷ་རྗེས་དྲན་པ་དྲུག་། རབ་ཏུ་བཀའ་སྩལ་དེ་དག་སོ་སོ་ཡི་༎
 pradarśitāstāstu tadguṇasambhāraiḥ pṛthaganusmaraṇīyāśca || sl_4 ||	༄༤༡ཨ་༌་༎ ཡོན་ཏན་ཚོགས་ཀྱིས་རྗེས་སུ་དྲན་པར་བགྱི་༎
 daśakuśalāḥ karmapathāḥ kāyavākcittaiḥ sarvadābhyasanīyāḥ |	དགེ་བའི་ལས་ལམ་བཅུ་པོ་ལུས་དང་ནི་༎ ངག་དང་ཡིད་ཀྱིས་རྟག་ཏུ་བསྟེན་བགྱི་ཞིང་༎
