skt	tib
 ācāryakamalaśīlapraṇīto bhāvanākramaḥ prathamaḥ	༄༢༢ཨ་༌་༎ རྒྱ་གར་སྐད་དུ་། ཞའ་བ་ན་ཀྲ་མ་། བོད་སྐད་དུ་། བསྒོམ་པའི་རིམ་པ་། འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་ལ་ཕྱག་འཚལ་ལོ་༎
 [mahāyānasūtrāṇāṃ ya ādikarmikasya caryāniyamaḥ |	ཐེག་པ་ཆེན་པོའི་མདོ་སྡེ་ཡི་༎ ཚུལ་སྤྱོད་ལས་ནི་དང་པོ་བ་༎
 tamadhikṛtya saṃkṣepād bhāvanākramastvabhidhīyate ||	དེ་ལས་བརྩམས་ཏེ་བསྒོམ་པ་ཡི་༎ རིམ་པ་མདོ་ཙམ་བརྗོད་པར་བྱ༎
 acireṇa sarvajñatāṃ prāptukāmaiḥ saṃkṣepataḥ karuṇā, bodhicittam, pratipattiśceti triṣu sthāneṣu prayatitavyam |	ཐམས་ཅད་མཁྱེན་པ་ཉིད་མྱུར་དུ་ཐོབ་པར་འདོད་པས་མདོར་ན་སྙིང་རྗེ་དང་། བྱང་ཆུབ་ཀྱི་སེམས་དང་། སྒྲུབ་པ་དང་། གནས་འདི་གསུམ་ལ་འབད་པར་བྱའོ་༎
 buddhatvasya aśeṣadharmahetumūlaṃ karuṇaiveti jñātvā sādāveva bhāvayitavyā |	དེ་ལ་སངས་རྒྱས་ཀྱི་ཆོས་མ་ལུས་པའི་རྒྱུའི་རྩ་བ་ནི་སྙིང་རྗེ་ཁོ་ན་ཡིན་པར་ཤེས་པར་བྱས་ལ་དེ་ཉིད་ལ་ཐོག་མ་ཁོ་ནར་བསྒོམ་མོ་། 
 yathoktam āryadharmasaṃgītisūtre- “atha khalvavalokiteśvaro bodhisattvo mahasattvo bhagavantametadavocat- na bhagavan bodhisattvena atibahuṣu dharmeṣu śikṣitavyam |	དེ་སྐད་དུ་འཕགས་པ་ཆོས་ཡང་དག་པར་སྡུག་པ་ལས་གསུངས་ཏེ་། དེ་ནས་བཅོམ་ལྡན་འདས་ལ་འཕགས་པ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་གིས་འདི་སྐད་ཅེས་གསོལ་ཏོ་༎ བཅོམ་ལྡན་འདས་བྱང་ཆུབ་སེམས་དཔས་ཆོས་རབ་ཏུ་མང་པོ་ལ་བསླབ་པར་མི་བགྱིའོ་༎
 eko dharmo bhagavan bodhisattvena svārādhitaḥ supratividdhaḥ kartavyaḥ | tasya sarvabuddhadharmāḥ karatalagatā bhavanti |	བཅོམ་ལྡན་འདས་བྱང་ཆུབ་སེམས་དཔས་ཆོས་གཅིག་རབ་ཏུ་གཟུང་ཞིང་རབ་ཏུ་རྟོགས་པར་བགྱིས་ན་སངས་རྒྱས་ཀྱི་ཆོས་ཐམས་ཅད་དེའི་ལག་མཐིལ་དུ་མཆིས་པ་ལགས་སོ་༎ 
 katama ekadharmaḥ?	ཆོས་གཅིག་པོ་གང་ཞེ་ན་།
 yaduta mahākaruṇā |	འདི་ལྟ་སྟེ་། སྙིང་རྗེ་ཆེན་པོའོ་༎
 mahākaruṇayā bhagavan bodhisattvānāṃ sarvabuddhadharmāḥ karatalagatā bhavanti |	བཅོམ་ལྡན་འདས་སྙིང་རྗེ་ཆེན་པོས་ནི་སངས་རྒྱས་ཀྱི་ཆོས་ཐམས་ཅད་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ལག་མཐིལ་དུ་མཆིས་པ་ལགས་སོ་༎
 tadyathā bhagavan yena rājñaścakravartinaścakraratnaṃ gacchati tena sarvo balakāyo gacchati,	བཅོམ་ལྡན་འདས་དཔེར་བགྱིས་ན་འཁོར་ལོས་སྒྱུར་བའི་རྒྱལ་པོའི་འཁོར་ལོ་རིན་པོ་ཆེ་གང་དུ་མཆིས་པ་དེར་དཔུང་གི་ཚོགས་ཐམས་ཅད་མཆིའོ་༎
 evameva bhagavan yena bodhisattvasya mahākaruṇa gacchati, tena sarve buddhadharmā gacchanti |	བཅོམ་ལྡན་འདས་དེ་བཞིན་དུ་བྱང་ཆུབ་སེམས་དཔའི་སྙིང་རྗེ་ཆེན་པོ་གང་དུ་མཆིས་པ་དེར་སངས་རྒྱས་ཀྱི་ཆོས་ཐམས་ཅད་མཆིའོ་༎
 tadyathā bhagavan jīvitendriye sati anyeṣāmindriyāṇāṃ pravṛttirbhavati, evameva bhagavan mahākaruṇāyāṃ satyāmanyeṣāṃ bodhisattvānāṃ] dharmāṇāṃ pravṛttirbhavati |” iti |	བཅོམ་ལྡན་འདས་དཔེར་བགྱིས་ན་སྲོག་གི་དབང་པོ་མཆིས་ན་དབང་པོ་གཞན་རྣམས་འབྱུང་བར་འགྱུར་རོ་༎ བཅོམ་ལྡན་འདས་དེ་བཞིན་དུ་སྙིང་རྗེ་ཆེན་པོ་མཆིས་ན་བྱང་ཆུབ་སེམས་དཔའི་ཆོས་གཞན་རྣམས་ཀྱང་འབྱུང་བར་འགྱུར་རོ་ཞེས་འབྱུང་ངོ་༎
 āryākṣayamatinirdeśe coktam- “punaraparam,	འཕགས་པ་བློ་གྲོས་མི་ཟད་པས་བསྟན་པ་ལས་ཀྱང་གསུངས་ཏེ་།
 bhadanta śāradvatīputra, bodhisattvānāṃ mahākaruṇāpyakṣayā |	བཙུན་པ་ཤ་ར་དབ༹་ཏིའི་བུ་གཞན་ཡང་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་སྙིང་རྗེ་ཆེན་པོ་ནི་ཟད་དོ་༎ 
 tat kasya hetoḥ?	དེ་ཅིའི་ཕྱིར་ཞེ་ན་།
 pūrvaṅgamatvāt |	སྔོན་དུ་འགྲོ་བའི་ཕྱིར་རོ་༎
 (bhk 166) tadyathāpi nāma, bhadanta śāradvatīputra, āśvāsāḥ [praśvāsāḥ] puruṣasya jīvitendriyasya pūrvaṅgamāḥ,	བཙུན་པ་ཤ་ར་དབ༹་ཏིའི་བུ་འདི་ལྟ་སྟེ་དཔེར་ན་དབུགས་ཕྱི་ནང་དུ་རྒྱུ་བ་ནི་མིའི་སྲོག་གི་དབང་༄༢༢བ་པོ་སྔོན་དུ་འགྲོ་བ་ཡིན་ནོ་༎ 
 evameva mahāyāna-sambhāra-samudāgamāya bodhisattvasya mahākaruṇā pūrvaṅgamā” iti vistaraḥ |	དེ་བཞིན་དུ་བྱང་ཆུབ་སེམས་དཔའི་སྙིང་རྗེ་ཆེན་པོ་ནི་ཐེག་པ་ཆེན་པོ་ཡང་དག་པར་འགྲུབ་པར་བྱ་བའི་ཕྱིར་སྔོན་དུ་འགྲོ་བ་ཡིན་ནོ་ཞེས་བྱ་བ་ལ་སོགས་པ་རྒྱས་པར་ནོ་༎ བཤད་དོ་༎ 
 āryagayāśīrṣe coktam- “kimārambhā, mañjuśrīḥ,	འཕགས་པ་ག་ཡ་གོའི་རིའི་མདོ་ལས་ཀྱང་གསུངས་ཏེ་།
 bodhisattvānāṃ caryā,	འཇམ་དཔལ་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་སྤྱོད་པའི་རྩོམ་པ་ནི་ཅི་།
 kimadhiṣṭhānā ca?	གནས་ནི་གང་།
 mañjuśrīrāha- mahākaruṇārambhā,	འཇམ་དཔལ་གྱིས་སྨྲས་པ་།
 devaputra, bodhisattvānāṃ caryā sattvādhiṣṭhānā |	ལྷའི་བུ་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་སྤྱོད་པའི་རྩོམ་པ་ནི་སྙིང་རྗེ་ཆེན་པོའོ་༎
 “iti vistaraḥ |	གནས་ནི་སེམས་ཅན་ནོ་ཞེས་དེ་ལ་སོགས་པ་རྒྱ་ཆེར་འབྱུང་ངོ་༎
