skt	tib
 nāgārjuna: āryaśālistambakakārikā āryamañjuśriye namaḥ	༄༡༨ཨ་༅་༎ རྒྱ་གར་སྐད་དུ་། ཨའ་རྱ་ཤའ་ལི་སྟམབ་ཀ་ཀའ་རི་ཀའ་། བོད་སྐད་དུ་། འཕགས་པ་སའ་ལུ་ལྗང་པའི་ཚིག་ལེའུར་བྱས་པ་། འཕགས་པ་འཇམ་དཔལ་ལ་ཕྱག་འཚལ་ལོ་༎
 anantācintyaguṇyaṃ hi sambuddhaṃ karuṇātmakam |	ཡོན་ཏན་མཐའ་ཡས་བསམ་མི་ཁྱབ་༎ རྫོགས་པའི་སངས་རྒྱས་ཐུགས་རྗེའི་བདག་། 
 praṇipatya pravakṣyāmi śālistambakakārikām | 1 ||	རབ་བཏུད་སའ་ལུ་ལྗང་པ་ཡི་༎ ཚིག་ལེའུར་བྱས་པ་བཤད་པར་བྱ་༎
 munī rājagṛhasyaiva gṛdhranāmakaparvate |	ཐུབ་པ་རྒྱལ་པོའི་ཁབ་ཀྱི་ནི་༎ བྱ་རྒོད་ཅེས་པའི་རི་བོ་ལ་༎
 bhikṣūṇāṃ bodhisattvānāṃ saṃghaiḥ sārdhaṃ vyavasthitaḥ || 2 ||	དགེ་སློང་མང་དང་བྱང་ཆུབ་སེམས་༎ ཚོགས་དང་ཡང་དག་ཐབས་ཅིག་བཞུགས་༎
 hetupratyayasaṃbhūtaṃ śālistambaṃ vilokya ca |	སའ་ལུ་ལྗང་པ་ལ་གཟིགས་ནས་༎ རྒྱུ་དང་རྐྱེན་ལས་བྱུང་བ་སྟེ་༎
 hetupratyayajaṃ tadvad dvādaśāṅkakramodgatam || 3 ||	རྒྱུ་དང་རྐྱེན་སྐྱེས་དེ་བཞིན་དུ་༎ ཡན་ལག་བཅུ་གཉིས་རིམ་འབྱུང་བ་༎
 pratītyamiti yaḥ praśyet dharmaṃ buddhaṃ ca paśyati |	གང་གིས་རྟེན་འབྲེལ་ཞེས་མཐོང་བ་༎ ཆོས་དང་སངས་རྒྱས་མཐོང་ངོ་ཞེས་༎
 ityuktvā nāyakā bhikṣūn tūṣṇībhāvamavasthitaḥ || 4 ||	དགེ་སློང་རྣམས་ལ་འདི་གསུངས་ནས་༎ འདྲེན་པ་ཅང་མི་གསུང་བར་བཞུགས་༎
 bhikṣuḥ śārisutraḥ śrutvā gatvā maitreyasannidhau |	དགེ་སློང་ཤའ་རིའི་བུས་ཐོས་ནས་༏་། བྱམས་པའི་དྲུང་དུ་སོང་ནས་ནི་༎ བྱམས་པ་དེང་འདིར་དེ་བཞིན་གཤེགས་༎
 tathāgato 'dya maitreya uktyarthaṃ na vibhajya ca || 5 ||	འདི་གསུངས་དོན་རྣམས་མ་ཕྱེ་བར་༎ ཅང་མི་གསུང་པར་བཞུགས་གྱུར་ན་༎
 tūṣṇīṃ bhāve sthitaścātra tadartho gamyate katham |	དེའི་དོན་ཇི་ལྟར་རྟོགས་པར་བྱ་༎
 kiṃ pratītyaṃ ca ko dharmo buddho 'pi katamastathā || 6 ||	རྟེན་ཅིང་འབྲེལ་དང་ཆོས་གང་ཡིན་༎ སངས་རྒྱས་ཀྱང་ནི་གང་ཞིག་ཡིན་༎
 pratītyaṃ tu kathaṃ dṛṣṭvā dharma buddhaṃ ca paśyati |	ཇི་ལྟར་རྟེན་འབྲེལ་མཐོང་བ་ནི་༎ ཆོས་དང་སངས་རྒྱས་མཐོང་བ་ཡིན་༎ བདག་གི་ཐེ་ཚོམ་འདིར་སྨོས་ཞེས་༎
 sandeho me 'tra brūhīti ūce śārisuto 'jitam || 7 ||	ཤའ་རིའི་བུ་ཡིས་མ་ཕམ་སྨྲས་༎ བྱམས་པ་ཤིན་ཏུ་བསྒོམ་པའི་བདག་། 
 bhāvātmikā hi maitrī syāt maitreyo 'brūt nirṇayam |	བྱམས་པས་གཏན་ལ་དབབ་པ་སྨྲས་༎
 dvādaśāṅgamavidyādi maraṇāntaṃ yathākramam || 8 ||	ཡན་ལག་བཅུ་གཉིས་མ་རིག་སོགས་༎ འཆི་བ་ལ་ཐུག་གོ་རིམས་བཞིན་༎
 tasmāttarhibhavantyeva duḥkhaskandhā hi kevalam |	དེ་ལྟ་༄༡༨བ་བས་ན་སྡུག་བསྔལ་གྱི་༎ ཕུང་པོ་འབའ་ཞིག་འབྱུང་བར་འགྱུར་༎
 dharmaścāṣṭāṅgiko mārgaḥ phalaṃ nirvāṇamucyate || 9 ||	ཆོས་ལམ་ཡན་ལག་བརྒྱད་པ་དང་༎ འབྲས་བུ་མྱ་ངན་འདས་པའོ་༎ དེ་ལྟར་ཐམས་ཅད་ཐུགས་ཆུད་ཕྱིར་༎
 sarvasyādhigamādevaṃ dharmajaṃ buddhameva ca |	ཆོས་སྐྱེས་སངས་རྒྱས་ཞེས་བྱ་སྟེ་༎
