skt	tib
 satyadvayāvatāranāma (sda) || namo mahākāruṇikāya ||	༄༧༢ཨ་༅་༎ རྒྱ་གར་སྐད་དུ་། ས་ཏྱ་དབ༹་ཡའ་བ་ཏའ་ར་། བོད་སྐད་དུ་། བདེན་པ་གཉིས་ལ་འཇུག་པ་། ཐུགས་རྗེ་ཆེན་པོ་ལ་ཕྱག་འཚལ་ལོ་༎
 dve satye samupāśritya buddhānāṃ dharmadeśanā |	སངས་རྒྱས་རྣམས་ཀྱིས་ཆོས་བསྟན་པ་༎
 lokasaṃvṛtisatyaṃ ca satyaṃ ca paramārthataḥ || sda_1 ||	བདེན་པ་གཉིས་ལ་ཡང་དག་བརྟེན་༎ འཇིག་རྟེན་ཀུན་རྫོབ་བདེན་པ་དང་༎ དེ་བཞིན་དོན་དམ་བདེན་པའོ་༎
 saṃvṛttirmanyate dvedhā mithyā ca tathatā tathā |	ཀུན་རྫོབ་རྣམ་པ་གཉིས་སུ་འདོད་༎ ལོག་པ་དང་ནི་ཡང་དག་གོ་༎
 ādyā dvidhodacandraśca kusiddhāntavitarkaṇā || sda_2 ||	དང་པོ་གཉིས་ཏེ་ཆུ་ཟླ་དང་༎ གྲུབ་མཐའ་ངན་པའི་རྟོག་པའོ་༎ མ་བརྟགས་གཅིག་པུ་ཉམས་དགའ་བའི་༎
 avicāraikaramyā ca vināśotpādadharmiṇī |	སྐྱེ་བ་དང་ནི་འཇིག་པའི་ཆོས་༎ དོན་བྱེད་ནུས་དང་ལྡན་པ་ནི་༎
 arthakriyāsamarthā ca tathatāsaṃvṛtirmatā || sda_3 ||	ཡང་དག་ཀུན་རྫོབ་ཡིན་པར་འདོད་༎
 eka evaparo hyarthaḥ paraiśca dvividho mataḥ |	དམ་པའི་དོན་ནི་གཅིག་ཉིད་དེ་༎ གཞན་དག་རྣམ་པ་གཉིས་སུ་འདོད་༎
 na kācid dharmatā siddhā kuto dvitryādikaṃ bhavet || sda_4 ||	ཅིར་ཡང་མ་གྲུབ་ཆོས་ཉིད་དེ་༎ གཉིས་དང་གསུམ་སོགས་ག་ལ་འགྱུར་༎
 anutpādanirodhādi deśanāvākyalakṣitam |	བསྟན་པའི་ཚིག་གིས་སྦྱོར་བ་ཡིས་༎ སྐྱེ་མེད་འགག་མེད་སོགས་པས་མཚོན་༎ དོན་དམ་ཐ་དད་མེད་ཚུལ་གྱིས་༎
 paramārthābhinnaśīlatvān naiva dharmā na dharmatā || sda_5 ||	ཆོས་ཅན་མེད་ཅིང་ཆོས་ཉིད་མེད་༎
 śūnyatāyāṃ vibhedastu kiñcinmātraṃ na vidyate |	སྟོང་པ་ཉིད་ལ་ཐ་དད་ནི་༎ ཅུང་ཟད་ཡོད་པ་མ་ཡིན་ཏེ་༎
 nirvikalpatayā bodhe śūnyatādṛṣṭirucyate || sda_6 ||	རྟོག་མེད་ཚུལ་གྱིས་རྟོགས་པས་ན་༎ སྟོང་ཉིད་མཐོང་ཞེས་ཐ་སྙད་གདགས་༎
 uktaṃ sūtre sugambhīre taddarśanamadarśanam |	མ་མཐོང་བ་ཉིད་དེ་མཐོང་བར་༎ ཤིན་ཏུ་ཟབ་པའི་མདོ་ལས་གསུངས་༎
 tatra draṣṭā na dṛśyaṃ cāpyanādinidhanaṃ śivam || sda_7 ||	དེ་ལ་མཐོང་དང་མཐོང་བྱེད་མེད་༎ ཐོག་མ་ཐ་མ་མེད་ཞི་བ་༎
 nirvikalpaṃ nirālambaṃ bhāvābhāvavivarjitam |	དངོས་དང་དངོས་མེད་རྣམ་པར་སྤངས་༎ རྣམ་པར་རྟོག་མེད་དམིགས་པ་བྲལ་༎
 anāśrayāpratiṣṭhānam atulyaṃ nirgatāgatam || sda_8 ||	གནས་པ་མེད་པ་གནས་མེད་པ་༎ འགྲོ་༄༧༢བ་འོང་མེད་ཅིང་དཔེ་དང་བྲལ་༎
 anirvācyamanābhāsaṃ nirvikāramasaṃskṛtam |	བརྗོད་དུ་མེད་པ་བལྟར་མེད་པ་༎ འགྱུར་བ་མེད་པ་འདུས་མ་བྱས་༎ རྣལ་འབྱོར་པ་ཡིས་དེ་རྟོག་ན་༎
 yogigamyamidaṃ kleśajñeyāvaraṇavarjitam || sda_9 ||	ཉོན་མོངས་ཤེས་བྱའི་སྒྲིབ་པ་སྤངས་༎
 pratyakṣamanumānañca taddvayaṃ bauddhasammatam |	།
