skt	tib
 śūnyatāsaptatiḥ (śs)	༄༢༤ཨ་༌་༎ རྒྱ་གར་སྐད་དུ་། ཤའུཉ་ཏའ་སཔཏི་ཀའ་རི་ཀའ་ནའ་མ་༎ བོད་སྐད་དུ་། སྟོང་པ་ཉིད་བདུན་ཅུ་པའི་ཚིག་ལེའུར་བྱས་པ་ཞེས་བྱ་བ་། འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་ལ་ཕྱག་འཚལ་ལོ་༎ གནས་པའམ་སྐྱེ་འཇིག་ཡོད་མེད་དམ་༎ དམན་པའམ་མཉམ་དང་ཁྱད་པར་ཅན་༎
 svopajñavṛttyā samanvitā utpādasthitibhaṅgāstināstihīnasamottamam |	སངས་རྒྱས་འཇིག་རྟེན་སྙད་དབང་གིས་༎ གསུང་གི་ཡང་དག་དབང་གིས་མིན་༎
 laukikavyavahārāttu buddhenoktaṃ na tattvataḥ || 1 || ātmā kaścinna cānātmā hyātmānātmetaraśca na |	བདག་མེད་བདག་མེད་མིན་བདག་དང་༎ བདག་མེད་མིན་པས་བརྗོད་འགའ་མེད་༎ བརྗོད་བྱ་མྱ་ངན་འདས་དང་མཚུངས་༎
 vācyaḥ sarvaḥ svabhāvena śūnyo nirvāṇasadṛśaḥ || 2 ||	དངོས་པོ་ཀུན་གྱི་རང་བཞིན་༄༢༤བ་སྟོང་༏་། གང་ཕྱིར་དངོས་རྣམས་ཐམས་ཅད་ཀྱི་༎
 hetupratyayasāmagrayāṃ sarvasyāṃ vā pṛthak pṛthak |	རང་བཞིན་རྒྱུ་རྐྱེན་ཚོགས་པའམ་༎
 sarvabhāvasvabhāvo na tasmācchūnyaṃ hi vidyate || 3 ||	སོ་སོ་དངོས་པོ་ཐམས་ཅད་ལ་༎ ཡོད་མིན་དེ་ཕྱིར་སྟོང་པ་ཡིན་༎
 bhāvo notpadyate bhāvān nābhāvo 'vidyamānataḥ |	ཡོད་ཕྱིར་ཡོད་པ་སྐྱེ་མིན་ཏེ་༎ མེད་ཕྱིར་མེད་པ་སྐྱེ་མ་ཡིན་༎
 sadasanna virodhānna sthitibhaṅgau hyajātitaḥ || 4 ||	ཆོས་མི་མཐུན་ཕྱིར་ཡོད་མེད་མིན་༎ སྐྱེ་བ་མེད་པས་གནས་འགག་མེད་༎
 na jāyate yadā jātaṃ nājātamapi jāyate |	གང་ཞིག་སྐྱེས་དེ་བསྐྱེད་བྱ་མིན་༎ མ་སྐྱེས་པ་ཡང་བསྐྱེད་བྱ་མིན་༎
 jātājātācca naivaṃ hi jāyamāno 'pi jāyate || 5 ||	སྐྱེས་པ་དང་ནི་མ་སྐྱེས་པའི་༎ སྐྱེ་བཞིན་པ་ཡང་བསྐྱེད་བྱ་མིན་༎ འབྲས་བུ་ཡོད་པས་འབྲས་ལྡན་རྒྱུ་༎ རྒྱུ་མིན་དང་མཚུངས་མེད་པ་ཡང་༎
 phale syāt phalavān hetuḥ nāstitve 'hetunā samaḥ |	མེད་དེ་ལ་ཡང་རྒྱུ་མིན་མཚུངས་༎ ཡོད་མིན་མེད་པའང་མིན་ན་འགལ་༎
 sadasattve virodhitvaṃ traikālye nopapadyate || 6 ||	དུས་གསུམ་རྣམས་སུ་འཐད་མ་ཡིན་༎
 naikatve 'nekavṛttirna no 'nekatve hi naikatā |	གཅིག་མེད་པར་ནི་མང་པོ་དང་༎ མང་པོ་མེད་པར་གཅིག་མི་འཇུག་། 
 tatpratītyasamutpannabhāvāste hyanimittakāḥ || 7 ||	དེ་ཕྱིར་རྟེན་ཅིང་འབྲེལ་འབྱུང་བའི་༎ དངོས་པོ་མཚན་མ་མེད་པ་ཡིན་༎
 dvādaśāṅgo hyanutpādaḥ samutpādaḥ pratītyajaḥ |	རྟེན་འབྱུང་ཡན་ལག་བཅུ་གཉིས་གང་༎ སྡུག་བསྔལ་འབྲས་ཅན་དེ་མ་སྐྱེས་༎
 ekacitte na tad yuktaṃ bahuṣvapi na yujyate || 8 ||	སེམས་གཅིག་ལ་ཡང་མི་འཐད་ཅིང་༎ དུ་མ་ལ་ཡང་འཐད་མ་ཡིན་༎
 ātmā nāsti na cānātmā nityānitye duḥkhaṃ sukham |	རྟག་མིན་མི་རྟག་མིན་བདག་དང་༎ བདག་མིན་གཙང་མིན་མི་གཙང་མིན་༎ བདེ་མིན་སྡུག་བསྔལ་མ་ཡིན་ཏེ་༎
 śucirnāśucirapyasti viparyāsā na santyataḥ || 9 ||	དེ་ཕྱིར་ཕྱིན་ཅི་ལོག་རྣམས་མེད་༎
 tadabhāve na cāvidyā viparyāsacatuṣkajā |	དེ་མེད་ཕྱིན་ཅི་ལོག་བཞི་ལས་༎ སྐྱེས་པའི་མ་རིག་མིན་སྲིད་ལས་༎
 tadabhāvānna saṃskārāḥ syuḥ śeṣā api tādṛśāḥ || 10 ||	དེ་མེད་འདུ་བྱེད་མི་འབྱུང་ཞིང་༎ ལྷག་མ་རྣམས་ཀྱང་དེ་བཞིན་ནོ་༎ མ་རིག་འདུ་བྱེད་མེད་མི་འབྱུང་༎
 saṃskāre 'satyavidyā na naiva sa tadabhāvataḥ |	དེ་མེད་འདུ་བྱེད་མི་འབྱུང་ཞིང་༎ ཕན་ཚུན་རྒྱུ་ཕྱིར་དེ་གཉིས་ནི་༎
 parasparaṃ hetubhūte svabhāvena na sidhyataḥ || 11 ||	རང་བཞིན་གྱིས་ནི་མ་གྲུབ་ཡིན་༎
 svayaṃ svabhāvato 'siddhaṃ paraṃstajjanayet katham |	གང་ཞིག་བདག་ཉིད་རང་བཞིན་གྱིས་༎ མ་གྲུབ་དེ་གཞན་ཇི་ལྟར་བསྐྱེད་༎
 ato 'siddhaparaistairna janyeran pratyayaiḥ pare || 12 ||	དེ་ཕྱིར་གཞན་ལས་གྲུབ་པ་ཡིས་༎ རྐྱེན་གཞན་དག་ནི་སྐྱེད་བྱེད་མིན་༎
 pitā putro na putro 'pi pitānyonyaṃ na tau vinā |	ཕ་ནི་བུ་མིན་བུ་ཕ་མིན་༎ དེ་གཉིས་ཕན་ཚུན་མེད་མིན་ལ་༎ དེ་གཉིས་ཅིག་ཆར་ཡང་མིན་ལྟར་༎
 tathā na yugapattau hi dvādaśāṅgaṃ tathaiva ca || 13 ||	ཡན་ལག་བཅུ་གཉིས་དེ་བཞིན་ནོ་༎
 pratītya viṣayān svapne na syād duḥkhaṃ sukhaṃ yathā |	ཇི་ལྟར་རྨི་ལམ་ཡུལ་བརྟེན་པའི་༎ བདེ་སྡུག་དང་དེའི་ཡུལ་མེད་པ་༎ དེ་བཞིན་གང་ཞིག་ལ་བརྟེན་ན་༎
 viṣayo na tathaivāpi taṃ pratītya pratītyajaḥ || 14 ||	གང་ཞིག་རྟེན་འབྱུང་དང་འདིའང་མེད་༎
 svabhāvāddhi na bhāvāśceduttamādhamamadhyamāḥ |	གལ་ཏེ་དངོས་རྣམས་རང་བཞིན་གྱིས་༎ མེད་ན་དམན་མཉམ་ཁྱད་འཕགས་དང་༎ སྣ་ཚོགས་ཉིད་ནི་མི་འགྲུབ་ཅིང་༎
 nānātve 'sati hetubhyo 'bhinirvṛttirna sidhyati || 15 ||	རྒྱུ་ལས་ཀྱང་ནི་མངོན་འགྲུབ་མིན་༎
