skt	tib
 gotra-paṭalam (chapter 1|1)	༄༡བ་༌་༎ རྣལ་འབྱོར་སྤྱོད་པའི་ས་ལས་བྱང་ཆུབ་སེམས་དཔའི་ས་། བམ་པོ་དང་པོ་། སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ་༎
 oṃ namo buddhāya ||	འཕགས་པ་dd་བྱམས་པ་ལ་ཕྱག་འཚལ་ལོ་༎ ཆོས་བཅུ་པོ་འདི་དག་ནི་།
 daśeme dharmāḥ saphalasya bodhisattvamārgasya mahāyānasya saṃgrahāya saṃvartante | katame daśa |	ཐེག་པ་ཆེན་པོ་བྱང་ཆུབ་སེམས་དཔའི་ལམ་འབྲས་བུ་དང་བཅས་པ་སྡུད་པར་བྱེད་པ་ཡིན་ནོ་༎ བཅུ་གང་ཞེ་ན་།
 ādhāro liṅgaṃ pakṣo 'dhyāśayo vihāra upapattiḥ parigraho bhūmiścaryā pratiṣṭhā ca |	གཞི་དང་། རྟགས་དང་། ཕྱོགས་དང་༏་ལྷག་པའི་བསམ་པ་དང་། གནས་པ་དང་། སྐྱེ་བ་དང་། ཡོངས་སུ་འཛིན་པ་དང་། ས་དང་། སྤྱོད་པ་དང་། རབ་ཏུ་གནས་པའོ་༎
 uddānam |	སྡོམ་ལ་།
 ādhāro liṅga-pakṣādhyāśaya-vihārā upapattiḥ |	གཞི་དང་རྟགས་དང་ཕྱོགས་རྣམས་དང་༎ ལྷག་པའི་བསམ་དང་གནས་པ་དང་༎ སྐྱེ་དང་ཡོངས་སུ་འཛིན་དང་ས་༎
 parigraho bhūmiścaryā pratiṣṭhā paścimā bhavet ||	སྤྱོད་དང་རབ་གནས་ཐ་མ་ཡིན་༎
 tatrādhāraḥ katamaḥ |	དེ་ལ་གཞི་གང་ཞེ་ན་།
 iha bodhisattvasya svagotraṃ prathamaścittotpādaḥ sarve ca bodhipakṣyā dharmā ādhāra ityucyate |	འདི་ལ་བྱང་ཆུབ་སེམས་དཔའི་རང་གི་རིགས་དང་། དང་པོ་སེམས་བསྐྱེད་པ་དང་༏་བྱང་ཆུབ་ཀྱི་ཕྱོགས་ཀྱི་ཆོས་ཐམས་ཅད་ནི་གཞི་ཞེས་བྱའོ་༎
 tatkasya hetoḥ |	དེ་ཅིའི་ཕྱིར་ཞེ་ན་།
