skt	tib
 vinītadevakṛtā santānāntarasiddhiṭīkā [mūlasahitā] buddhipūrvāṃ kriyāṃ dṛṣṭvā svadehe 'nyatra tadgrahāt | jñāyate yadi dhīścittamātre 'pyeṣa nayaḥ samaḥ ||	༄༣༥ཨ་༅་༎ རྒྱ་གར་སྐད་དུ་། སནཏ་ནནཏ་ན་སིདདྷི་ཏའི་ཀའ་། བོད་སྐད་དུ་། རྒྱུད་གཞན་གྲུབ་པའི་འགྲེལ་བཤད་། དཔལ་འཇམ་པའི་དབྱངས་ལ་ཕྱག་འཚལ་ལོ་༎
 cittamātramidaṃ sarvamuktavān yo jagadguruḥ |	འགྲོ་བའི་བླ་མ་གང་ཞིག་གིས་༎ འདི་ཀུན་སེམས་ཙམ་དུ་གསུང་སྤ་༎
 santānāntarasiddhastaṃ praṇipatya vivicyate ||	དེ་ལ་རབ་ཏུ་ཕྱག་འཚལ་ནས་༎ རྒྱུད་གཞན་གྲུབ་པ་དབྱེ་བར་བྱ་༎
 buddhipūrvāṃ kriyām ityādiślokenāsya prakaraṇasyābhidheyasambandhaprayojanāni darśitāni |	རང་ལུས་བློ་སྔོན་ཞེས་བྱ་བ་ལ་སོགས་པའི་ཚིགས་སུ་བཅད་པ་འདིས་ནི་རབ་ཏུ་བྱེད་པ་འདིའི་འགྲེལ་པ་དང་། བརྗོད་པར་བྱ་བ་དང་། དགོས་པ་རྣམས་བསྟན་ཏེ་།
 tatra santānāntarasattābhidheyam |	དེ་ལ་རྒྱུད་གཞན་ཡོད་པ་ཉིད་ནི་བརྗོད་པར་བྱ་བ་ཡིན་ནོ་༎
 santānāntarasattāyāḥ siddhiḥ prayojanam |	རྒྱུད་གཞན་ཡོད་པ་ཉིད་དུ་གྲུབ་པ་ནི་དགོས་པ་ཡིན་ནོ་༎
 tasya prayojanasyāpi prakaraṇenānena sādhyamānatvāttena sahāsyopāyopeyalakṣaṇasambandhaḥ |	དགོས་པ་དེ་ཡང་རབ་ཏུ་བྱེད་པ་འདིས་སྒྲུབ་པས་འདི་ནི་རབ་ཏུ་བྱེད་པ་དང་ལྷན་ཅིག་ཐབས་དང་ཐབས་ཀྱིས་བསྒྲུབ་པར་བྱེ་བའི་མཚན་ཉིད་ཀྱིས་འབྲེལ་པ་ཡིན་ནོ་༎
 kāryakāraṇādisambandhānāmasminnevāntarbhāvānna pṛthagvacanam |	རྒྱུ་དང་འབྲས་བུར་འབྲེལ་པ་ལ་སོགས་པ་འདི་ཁོ་ནའི་ཁོངས་སུ་འདུས་པས་ལོགས་ཤིག་ཏུ་མ་བརྗོད་དོ་༎ 
 bāhyārthavādinaḥ kila vijñānamātratāyāṃ santānāntarasattā nopapadyata iti codayanti |	ཕྱིའི་དོན་དུ་སྨྲ་བ་རྣམས་རྣམ་པར་ཤེས་པ་ཙམ་ཉིད་ཀྱི་ལྟར་ན་རྒྱུད་གཞན་ཡོད་པ་ཉིད་དུ་མི་འཐད་དོ་ཞེས་རྒོལ་ལོ་བརྗོད་དོ་༎ ཞེས་གྲག་སྟེ་། 
 tathāhi, ta evamāhuḥ - yeṣāṃ cittamātrameva sat, asaṃśca bāhyārthaḥ,	འདི་ལྟར་དེ་དག་ནི་འདི་སྐད་ཅེས་ཟེར་རོ་༎ གང་གི་ལྟར་ན་སེམས་ཙམ་ཡོད་ཀྱི་ཕྱིའི་དོན་མེད་པ་དེའི་ལྟར་ན་སྲོག་ཆགས་གཞན་རྟོགས་པར་བྱ་བ་ལ་། 
 na teṣāṃ prāṇyantarapratipattaye pratyakṣapramāṇamasti;	མངོན་སུམ་གྱི་ཚད་མ་ནི་མེད་དེ་།
 jñānamātrasya svāṃśamātrālambanatvāt, vastutastu ālambanābhāvāt |	ཤེས་པ་ཐམས་ཅད་རང་གི་༄༣༥བ་ཆ་ཙམ་ལ་དམིགས་པའི་ཕྱིར་རམ་ཡང་དག་པར་ན་དམིགས་པ་མེད་པའི་ཕྱིར་རོ་༎
 nāpyanumānam, kāyavākkarmābhāvāt |	ལུས་དང་ངག་གི་ལས་མེད་པའི་ཕྱིར་རྗེས་སུ་དཔག་པ་ཡང་མེད་དེ་།
 atha kāyavāgvijñaptibhyāṃ prāṇyantaramanumīyate cet;	འདི་ལྟར་ལུས་དང་ངག་གི་རྣམ་པར་རིག་བྱེད་དག་གི་སྲོག་ཆགས་གཞན་རྗེས་དཔག་པར་བྱ་བ་ཡིན་ན་། 
 vijñānamātratāpakṣe kāyavākkarmaṇorvijñaptī na staḥ |	རྣམ་པར་ཤེས་པ་ཙམ་ཉིད་ཀྱི་ཕྱོགས་ལ་ནི་ལུས་དང་ངག་གི་ལས་རྣམ་པར་རིག་བྱེད་དག་མེད་དོ་༎
 nāpyāgamaḥ sambhavati, tasya rūpaskandhāntarbhāvāt, etasya ca pratikṣepāt |	ལུང་ཡང་གཟུགས་ཀྱི་ཕུང་པོའི་ནང་དུ་འདུས་པའི་ཕྱིར་དེ་སྤངས་ན་མི་སྲིད་པ་ཁོ་ན་ཡིན་ནོ་༎ 
 tathāhi, āgamaḥ śabdātmako vā bhaved vyañjanasvabhāvo vā |	འདི་ལྟར་ལུང་ནི་སྒྲའི་བདག་ཉིད་དམ་ཡིག་འབྲུའི་ངོ་བོ་ཉིད་གཅིག་ཡིན་པར་འགྱུར་གྲང་ནོ་༎ 
 ubhayamapyetad bhavatpakṣe nāsti |	།
 nāpi tadviṣaye rūpiṇa āgamasya prāmāṇyamiṣyate |	ལུང་ཡང་གཟུགས་ནི་ཡུལ་དེ་ལྟ་བུ་ལ་ཚད་མ་ཉིད་ཡིན་པར་ཡང་མི་འདོད་དེ་།
