skt	tib
 cittotpādasaṃvaravidhikramaḥ namo mañjuśriye kumārabhūtāya	༄༢༤༥ཨ་༅༎ རྒྱ་གར་སྐད་དུ་། ཙིཏཏ་ཨཽཏཔའ་ད་སམབ་ར་བི་དྷི་ཀྲ་མ་། བོད་སྐད་དུ་། སེམས་བསྐྱེད་པ་དང་སྡོམ་པའི་ཆོ་གའི་རིམ་པ་། འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་ལ་ཕྱག་འཚལ་ལོ་༎
 sarvadurgatito hīnaṃ sarvāvaraṇavarjitam |	ངན་སོང་ཐམས་ཅད་འཇིག་པ་དང་༎ སྒྲིབ་པ་ཐམས་ཅད་ལས་གྲོལ་ཞིང་༎
 bodhicittaṃ namasyāmi sambuddhapadadāyakam || 1 ||	རྫོགས་སངས་གོ་འཕང་སྩོལ་མཛད་པ་༎ བྱང་ཆུབ་སེམས་ལ་ཕྱག་འཚལ་ལོ་༎
 sambuddhaṃ cāpi saddharma bodhisattvagaṇānapi |	རྫོགས་སངས་རྒྱས་དང་དམ་པའི་ཆོས་༎ བྱང་ཆུབ་སེམས་དཔའི་ཚོགས་ལ་ཡང་༎ དེ་བཞིན་བྱང་ཆུབ་སེམས་དཔའ་ཡི་༎
 likhāmi bodhisattvānāṃ yathāvad saṃvarakramam || 2 ||	སྡོམ་པའི་རིམ་པ་བྲི་བར་བྱ་༎
 tatra prathamaṃ sarvabuddha-bodhisattvavandanā-pūjādi-vidhipūrvakam,	དེ་ལ་དང་པོ་སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་བ་དང་། མཆོད་པའི་ཆོ་ག་ལ་སོགས་པ་སྔོན་དུ་སོང་བས་།
 kalyāṇamitre śāstṛsaṃjñām utpādya evam adhyeṣitavyam- yathā pūrvatathāgatārhat-samyaksambuddhaiḥ	དགེ་བའི་བཤེས་གཉེན་ལ་སྟོན་པའི་འདུ་ཤེས་བསྐྱེད་ནས་། འདི་སྐད་ཅེས་གསོལ་བ་གདབ་པར་བྱ་སྟེ་།
 mahābhūmisthitabodhisattvaiśca pūrvam anuttarasamyaksambodhau cittotpādaḥ kṛtaḥ tathā evaṃ nāmno mamāpi ācāryo 'nuttarasamyaksambodhau cittam utpādayed iti triḥ vadet |	ཇི་ལྟར་སྔོན་གྱི་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རྣམས་དང་། བྱང་ཆུབ་སེམས་དཔའ་ས་ཆེན་པོ་ལ་བཞུགས་པ་རྣམས་ཀྱིས་དང་པོར་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་ཐུགས་བསྐྱེད་པ་དེ་བཞིན་དུ་བདག་མིང་འདི་ཞེས་བགྱི་བ་ཡང་སློབ་དཔོན་གྱིས་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་སེམས་བསྐྱེད་དུ་གསོལ་ཞེས་ལན་གསུམ་གྱི་བར་དུ་བརྗོད་དོ་༎
 evam adhyeṣya triśaraṇagamanam- samanvāhara ācārya |	དེ་ལྟར་གསོལ་བ་བཏབ་ནས་དཀོན་མཆོག་གསུམ་ལ་སྐྱབས་སུ་འགྲོ་བ་ནི་། སློབ་དཔོན་དགོངས་སུ་གསོལ་།
 ahamevaṃnāmā etatkālaprabhṛti yāvadbodhimaṇḍaṃ dvipadānāṃ śreṣṭhaṃ buddhaṃ bhagavantaṃ śaraṇaṃ gacchāmi | samanvāhara ācārya |	བདག་མིང་འདི་ཞེས་བགྱི་བས་དུས་འདི་ནས་བཟུང་ནས་། ཇི་སྲིད་བྱང་ཆུབ་སྙིང་པོ་ལ་མཆིས་ཀྱི་བར་དུ་། རྐང་གཉིས་རྣམས་ཀྱི་མཆོག་སངས་རྒྱས་བཅོམ་ལྡན་འདས་རྣམས་ལ་སྐྱབས་སུ་མཆིའོ་༎ སློབ་དཔོན་དགོངས་སུ་གསོལ་།
