skt	tib
 vigrahavyāvartanī-kārikā ||	༄༢༧ཨ་༌་༎ རྒྱ་གར་སྐད་དུ་། བི་གྲ་ཧ་བྱ་བརྟ་ནི་ཀའ་རི་ཀའ་ནའ་མ་། བོད་སྐད་དུ་། རྩོད་པ་བཟློག་པའི་ཚིག་ལེའུར་བྱས་པ་ཞེས་བྱ་བ་། འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་ལ་ཕྱག་འཚལ་ལོ་༎
 sarveṣāṃ bhāvānāṃ sarvatra na vidyate svabhāvaś cet |	གལ་ཏེ་དངོས་པོ་ཐམས་ཅད་ཀྱི་༎ རང་བཞིན་ཀུན་ལ་ཡོད་མིན་ན་༎ ཁྱོད་ཀྱི་ཚིག་ཀྱང་རང་བཞིན་མེད་༎
 tvadvacanam asvabhāvaṃ na nivartayituṃ svabhāvam alam || nagvvy_01	རང་བཞིན་བཟློག་པར་མི་ནུས་སོ་༎
 atha savabhāvam etad vākyaṃ pūrvā hatā pratijñā te |	འོན་ཏེ་ཚིག་དེ་རང་བཞིན་བཅས་༎ ཁྱོད་ཀྱི་དམ་བཅའ་སྔ་མ་ཉམས་༎ མི་འདྲ་ཉིད་དེ་དེ་ཡིན་ན་༎
 vaiṣamikatvaṃ tasmin viśeṣahetuś ca vaktavyaḥ || nagvvy_02	ཁྱད་པར་གཏན་ཚིགས་བརྗོད་པར་གྱིས་༎
 mā śabdavad ity etat syāt te buddhir na caitad upapannam |	དེ་སྒྲ་མ་འབྱིན་ལྟ་བུའོ་ཞེས་༎ ཁྱོད་བློ་སེམས་ན་དེ་མི་འཐད་༎
 śabdena hy atra satā bhaviṣyato vāraṇaṃ tasya || nagvvy_03 pratiṣedhapratiṣedho 'py evam iti mataṃ bhavet tad asad eva |	འདི་ལ་སྒྲ་ནི་ཡོད་པ་ཡིས་༎ འབྱུང་བར་འགྱུར་བ་དེ་བཟློག་ཡིན་༎ འགོག་པའི་འགོག་པའང་དེ་ལྟ་ཞེས་༎ འདོད་ན་དེ་ཡང་བཟང་མིན་ཏེ་༎
 evaṃ tava pratijñā lakṣaṅato dūṣyate na mama || nagvvy_04	ཁྱོད་ཀྱི་དམ་བཅའི་མཚན་ཉིད་ལས་༎ དེ་ལྟར་སྐྱོན་ཡོད་ངེད་ལ་མེད་༎
 pratyakṣeṇa hi tāvad yady upalabhya vinivartayasi bhāvān |	རེ་ཞིག་གལ་ཏེ་མངོན་སུམ་གྱིས་༎ དངོས་རྣམས་དམིགས་ནས་ཟློག་བྱེད་པ་༎
 tan nāsti pratyakṣaṃ bhāvā yenopalabhyante || nagvvy_05	གང་གིས་དངོས་རྣམས་དམིགས་འགྱུར་བ་༎ མངོན་སུམ་དེ་ནི་མེད་པ་ཡིན་༎
