skt	tib
 nyāyabindu prakaraṇakārikā sūtrapāṭhaḥ 1 prathamaḥ pratyakṣaparicchedaḥ	༄༢༣༡བ་༌་༎ རྒྱ་གར་སྐད་དུ་། ཉའ་ཡ་བིན་དུ་ན་ནའ་མ་པྲ་ཀ་ར་ན་། བོད་སྐད་དུ་། རིགས་པའི་ཐིགས་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ་། འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་ལ་ཕྱག་འཚལ་ལོ་༎
 1|1 samyagjñānapūrvikā sarvapuruṣārthasiddhiriti tadvayutpādayate |	ཡང་དག་པའི་ཤེས་པ་ནི་། སྐྱེས་བུའི་དོན་ཐམས་ཅད་འགྲུབ་པའི་སྔོན་དུ་འགྲོ་བ་ཅན་ཡིན་པས་ན་དེ་བསྟན་ཏོ་༎
 1|2 dvividhaṃ samyagjñānam | 1|3 pratyakṣam,	ཡང་དག་པའི་ཤེས་པ་ནི་རྣམ་པ་གཉིས་ཏེ་།
 anumānaṃ ceti |	མངོན་སུམ་དང་རྗེས་སུ་དཔག་པའོ་༎
 1|4 tatra pratyakṣaṃ kalpanāpoḍhamabhrāntam |	དེ་ལ་མངོན་སུམ་ནི་རྟོག་པ་དང་བྲལ་ཞིང་མ་འཁྲུལ་པའོ་༎ རྟོག་པ་ནི་།
 1|5 abhilāpasaṃsargayogyapratibhāsapratītiḥ kalpanā	ཤེས་པ་ལ་བརྗོད་པ་དང་འདྲེར་རུང་བ་སྣང་བ་སྟེ་དེ་དང་བྲལ་བའོ་༎
 1|6 tayā rahitaṃ timirāśubhramaṇanauyānasambhramādyanāhitavibhramaṃ jñānaṃ pratyakṣam |	རབ་རིབ་དང་། མྱུར་དུ་བསྐོར་བ་དང་། གྲུར་ཞུགས་པ་དང་། འཁྲུག་པ་ལ་སོགས་པས་འཁྲུལ་པ་མ་སྐྱེས་པའི་ཤེས་པ་ནི་མངོན་སུམ་མོ་༎
 1|7 taccaturvidham |	དེ་ནི་རྣམ་པ་བཞི་སྟེ་།
 1|8 indriyajñānam | (1) 1|9 svaviṣayānantaraviṣayasahakāriṇendriyajñānena samanantarapratyayena janitaṃ tanmanovijñānam | (2)	དབང་པོའི་ཤེས་པ་དང་། རང་གི་ཡུལ་གྱི་དེ་མ་ཐག་པ་ཡུལ་ལྷན་ཅིག་བྱེད་པ་ཅན་། དབང་པོའི་ཤེས་པ་མཚུངས་པ་དེ་མ་ཐག་པའི་རྐྱེན་གྱིས་བསྐྱེད་པའི་ཡིད་ཀྱི་རྣམ་པར་ཤེས་པ་དང་། 
 1|10 sarvacittacaittānāmātmasaṃvedanam | (3) 1|11 bhūtārthabhāvanāprakarṣaparyantajaṃ yogijñānaṃ ceti | (4)	སེམས་དང་སེམས་ལས་བྱུང་བ་ཐམས་ཅད་ཀྱི་རང་རིག་པ་དང་། ཡང་དག་པའི་དོན་བསྒོམ་པའི་རབ་ཀྱི་མཐའ་ལས་བྱུང་བ་རྣལ་འབྱོར་པའི་ཤེས་པའོ་༎
 1|12 tasya viṣayaḥ svalakṣaṇam |	དེའི་ཡུལ་ནི་རང་གི་མཚན་ཉིད་དེ་།
 1|13 yasyārthasya sannidhānāsannidhānābhyāṃ jñānapratibhāsabhedastatsvalakṣaṇam |	དོན་གང་ཉེ་བ་དང་མི་ཉེ་བ་དག་ལས་ཤེས་པ་ལ་སྣང་བ་ཐ་དད་པ་དེ་ནི་རང་གི་མཚན་ཉིད་དོ་༎
 1|14 tadeva paramārthasat | 1|15 arthakriyāsāmarthyalakṣaṇatvād vastunaḥ |	དེ་ཉིད་དོན་དམ་པར་ཡོད་པ་སྟེ་དངོས་པོའི་མཚན་ཉིད་ནི་དོན་བྱེད་མཚན་ཉིད་ཁོ་ན་ཡིན་པའི་ཕྱིར་རོ་༎ 
 1|16 anyat sāmānyalakṣaṇam	གཞན་ནི་སྤྱིའི་མཚན་ཉིད་དེ་།
 1|17 so 'numānasya viṣayaḥ | 1|18 atdeva ca pratyakṣaṃ jñānaṃ pramāṇaphalam |	དེ་ནི་རྗེས་སུ་དཔག་པའི་ཡུལ་ཡིན་ནོ་༎ མངོན་སུམ་གྱི་ཤེས་པ་དེ་ཉིད་ཚད་མའི་འབྲས་བུ་སྟེ་།
 1|19 arthapratītirūpatvāt |	དོན་རྟོགས་པའི་ངོ་བོ་ཁོ་ན་ཡིན་པའི་ཕྱིར་རོ་༎
 1|20 arthasārūpyamasya pramāṇam |	དོན་དང་འདྲ་བ་ཉིད་དེའི་ཚད་མ་སྟེ་།
 1|21 tadvaśādarthapratītisiddhareti |	དེའི་དབང་གིས་དོན་རྟོགས་པ་འགྲུབ་པའི་ཕྱིར་རོ་༎ རིགས་པའི་ཐིགས་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ་ལས་།
 iti prathamaḥ pratyakṣaparicchedaḥ || dvitīyaḥ svārthānumānaparicchedaḥ	མངོན་སུམ་གྱི་ལེའུ་སྟེ་དང་པོའོ་།
 2|1 anumānaṃ dvidhā |	༎ ། རྗེས་སུ་དཔག་པ་ནི་རྣམ་པ་གཉིས་ཏེ་།
 2|2 svārtha parārtha ca |	རང་གི་དོན་དང་གཞན་གྱི་དོན་ནོ་༎
 2|3 tatra svārtha trirūpālliṅgād yadanumeye jñānaṃ tadanumānam |	དེ་ལ་རང་གི་དོན་གྱི་རྗེས་སུ་དཔག་པར་བྱ་བ་ལ་ཚུལ་གསུམ་པའི་རྟགས་ལས་ཤེས་པ་གང་ཡིན་པའོ་༎ 
 2|4 pramāṇalakṣaṇavyavasthātrāpi pūrvavat |	འདིར་ཡང་ཚད་མའི་འབྲས་བུ་རྣམ་པར་གཞག་པ་ནི་མངོན་སུམ་དང་འདྲའོ་༎
 2|5 trairūpyaṃ punarliṅgasyānumeye sattvameva, sapakṣa eva sattvam,	ཚུལ་གསུམ་པ་ཉིད་ཀྱི་རྟགས་ནི་རྗེས་སུ་དཔག་པར་བྱ་བ་ལ་ཡོད་པ་ཉིད་དང་། ༄༢༣༢ཨ་༌་༎ མཐུན་པའི་ཕྱོགས་ཉིད་ལ་ཡོད་པ་དང་། མི་མཐུན་པའི་ཕྱོགས་ལ་མེད་པ་ཉིད་དུ་ངེས་པའོ་༎
 asapakṣe cāsattvameva niścitam | 2|6 anumeyo 'tra jijñāsitaviśeṣo dharmī | 2|7 sādhyadharmasāmānyena samāno 'rthaḥ sapakṣa |	རྗེས་སུ་དཔག་པར་བྱ་བ་ནི་འདིར་ཤེས་པར་འདོད་པའི་བྱེ་བྲག་དང་ལྡན་པའི་ཆོས་ཅན་ནོ་༎ མཐུན་པའི་ཕྱོགས་ནི་བསྒྲུབ་པར་བྱ་བའི་ཆོས་ཀྱི་སྤྱི་དང་དོན་མཐུན་པའོ་༎
 2|8 na sapakṣo 'sapakṣaḥ |	མི་མཐུན་པའི་ཕྱོགས་ནི་མཐུན་པའི་ཕྱོགས་མ་ཡིན་པ་སྟེ་།
