skt	tib
 maitreyanāthakṛtā bhavasaṅkrāntiṭīkā	༄༡༥༡བ་༅་༎ རྒྱ་གར་སྐད་དུ་། བྷ་བ་སམ་ཀརའནཏི་ཏའི་ཀ་། བོད་སྐད་དུ་། སྲིད་པ་འཕོ་བའི་ཏབི༹་ཀ་། 
 namaḥ sarvajñāya	ཐམས་ཅད་མཁྱེན་པ་ལ་ཕྱག་འཚལ་ལོ་༎
 bhāvābhāvānna janmāsti iti |	དངོས་པོ་མེད་པས་སྐྱེ་བ་མེད་༎ ཅེས་བྱ་བ་ལ་།
 bījādvīja utpadyamāne ghaṭādapi ghaṭotpattiryujyeta |	ས་བོན་ལས་ས་བོན་འབྱུང་བ་བཞིན་དེ་ལྟར་ཡིན་ན་ནི་བུམ་པ་ལས་ཀྱང་བུམ་པ་འབྱུང་བར་༄༡༥༢ཨ་༌་༎ རིགས་།
 ātmakriyāniṣedhāt [bījāt] bījotpattirna saṃbhavati |	རང་ཉིད་བྱ་བ་འགགས་པས་ས་བོན་འབྱུང་མི་སྲིད་༎
 pañcavidhabhūtapariṇāmadharmatā, pratītyasamutpādadharmatā |	འབྱུང་བ་རྣམ་པ་ལྔས་བསྒྱུར་བའི་ཆོས་ཉིད་ཡིན་པ་རྟེན་འབྲེལ་ཆོས་ཉིད་ཡིན་།
 evaṃ sati śubhāśubhamucchinnabhāraṃ kenacit dṛśyeta |	དེ་ལྟ་ཡིན་ན་དགེ་སྡིག་སུས་ཁུར་ཆད་ལྟར་འགྱུར་།
 tattu mūṣikādantodgīrṇaviṣameghagarjanaglāna [bīja]vannotpannam |	སྐྱེ་བ་དེ་ནི་མ་ཡིན་ནོ་༎ བྱི་བས་སོ་བཏབ་པའི་དུག་འབྲུག་གྲག་ཙ་ན་ན་བ་བཞིན་ནོ་༎
 pratītyasamutpādadharmatā |	རྟེན་འབྲེལ་ལས་སྐྱེས་པའི་ཆོས་ཉིད་དོ་༎
 tena na bhāvādutpattidharmatā ||	དེ་ནས་དངོས་པོ་ལས་སྐྱེས་པ་ཆོས་ཉིད་མ་ཡིན་།
 tasya bhāvasyacāsataḥ |	དངོས་པོ་མེད་པ་དེ་ལ་ནི་༎
 janmādānaṃ saṃbhavati iti |	སྐྱེ་བ་བླངས་པ་སྲིད་པ་ཡིན་༎
 evaṃ sati bhāvāsyāsata utpattau vandhyāsutaḥ gaganakusumaṃ śaśaśṛṅgañca saṃbhavet |	ཞེས་པ་དེ་ལྟར་ཡིན་ན་དངོས་པོ་མེད་པ་ལས་བྱུང་ན་ནི་། མོ་གཤམ་བུ་ནམ་མཁའི་མེ་ཏོག་དང་རི་བོང་གི་རབ༹་ཡང་སྲིད་།
 evamasaṃbhavāt utpattirna saṃbhavati |	དེ་ལྟར་མ་ཡིན་པ་འབྱུང་བས་ན་འབྱུང་མི་སྲིད་།
 nahyagnimadhye nikṣiptabījasya janma saṃbhavati |	མེའི་ནང་དུ་ས་བོན་བཏབ་ན་སྐྱེ་མི་སྲིད་།
 ucyate tu bhāvasya tasyāsato janmopādānaṃ bhavati [iti] |	དངོས་པོ་མེད་པ་དེ་ལ་ནི་༎ སྐྱེ་བ་བླངས་པ་སྲིད་པ་བསྟན་པ་ནི་།
 yathā prasannajalapūrṇasarasi śaivālaṃ padmañcotpadyate |	ཇི་ལྟར་ཆུ་དང་ས་པས་གང་བའི་མཚོ་ལ་ཟིམ་དང་པདམ་སྐྱེས་པ་བཞིན་ནོ་༎
 uttarāraṇyadharāraṇibhyāmagnirutpadyate |	གཙུབ་ཤིང་དང་ལྕགས་མག་ལས་མེ་འབྱུང་བ་བཞིན་ནོ་༎
 utpattau satyāmapi ko doṣaḥ syāt |	བྱུང་མོད་སྐྱོན་ཅི་ཡོད་།
 nityabhāvādutpannātmakamiṣyate |	རྟག་ཏུ་དངོས་པོ་ལས་བྱུང་བར་བདག་འདོད་།
 maivam | bhrānti |	དེ་ལྟར་མ་ཡིན་འཁྲུལ་བ་ཡིན་༎
 indriyairūpalabdhaṃ yattattattvena bhavedyadi |	དབང་པོ་རྣམས་ཀྱིས་གང་རེད་པ་༎ དེ་ནི་དེ་དག་ཉིད་འགྱུར་ན་༎
 bālāstattvavido jātāḥ na jñeyatattvakāraṇam ||	དེ་ཉིད་མཁྱེན་པ་བྱིས་པར་འགྱུར་༎ དེ་ཉིད་ཡེ་ཤེས་བྱ་རྒྱུ་མེད་༎
 [uktaṃ] laṅkāvatārasūtre |	ལང་ཀར་གཤེགས་པའི་མདོ་ལས་།
