skt	tib
 daśākuśalakarmapathadeśanā namo ratnatrayāya	༄༣༠༦བ་༅་༎ རྒྱ་གར་སྐད་དུ་། ད་ཤའ་ཀུ་ཤ་ལ་ཀརྨ་པ་ཐའ་། བོད་སྐད་དུ་། མི་དགེ་བ་བཅུའི་ལས་ཀྱི་ལམ་བསྟན་པ་། དཀོན་མཆོག་གསུམ་ལ་ཕྱག་འཚལ་ལོ་༎
 kenacit sugatiprāptukāmena heyā daśākuśalakarmapathāḥ prakṛtisāvadyāḥ, tadyathā-	གང་ཞིག་བདེ་འགྲོ་ཐོབ་པར་འདོད་པས་སྤང་བར་བྱ་བའི་མི་དགེ་བ་བཅུའི་ལས་ཀྱི་ལམ་རང་བཞིན་གྱིས་ཁ་ན་མ་ཐོ་བ་དང་བཅས་པ་འདི་ལྟ་སྟེ་། 
 “trividhaṃ kāyikaṃ karma vācikaṃ tu caturvidham |	ལུས་ཀྱི་ལས་ནི་རྣམ་གསུམ་༄༣༠༧ཨ་༌་༎
 mānasaṃ triprakāraṃ ca daśaite 'kuśalā matāḥ || 1 ||	དང་༏་། ངག་གི་རྣམ་པ་བཞི་དག་དང་༎ ཡིད་ཀྱི་རྣམ་པ་གསུམ་པོ་དང་༎ འདི་བཅུ་མི་དགེ་བ་རུ་གསུངས་༎ འདི་རྣམས་རབ་ཏུ་ཕྱེ་ནས་བཤད་པར་བྱ་སྟེ་།
 ete pravibhāgaśaḥ vyākhyāyante- tatra tāvat kāyikam-prāṇātipātaḥ, adattādānam, kāmamithyācāraśceti |	དེ་ལ་རེ་ཞིག་ལུས་ཀྱི་ནི་སྲོག་གཅོད་པ་དང་། མ་བྱིན་པར་ལེན་པ་དང་། འདོད་པས་ལོག་པར་སྤྱོད་པའོ་༎
 vācikam- mṛṣāvādaḥ, paiśunyam, pāruṣyam, saṃbhinnapralāpaśca |	ངག་གི་ནི་བརྫུན་དུ་སྨྲ་བ་དང་། ཕྲ་མ་དང་། ངག་རྩུབ་པོ་དང་། ཚིག་འཁྱལ་པའོ་༎
 mānasañca- abhidhyā, vyāpādo, mithyādṛṣṭiśca |	ཡིད་ཀྱི་ནི་བརྣབ་སེམས་དང་། གནོད་སེམས་དང་། ལོག་པར་ལྟ་བའོ་༎
 tatra prāṇātipātastu prāṇibhāvaḥ, prāṇisaṃjñābhāvaḥ, vadhakacittopasthitiḥ, etadupāyakaraṇam,	དེ་ལ་སྲོག་གཅོད་པ་ནི་སྲོག་ཆགས་སུ་གྱུར་པ་དང་། སྲོག་ཆགས་སུ་འདུ་ཤེས་པར་གྱུར་པ་དང་། གསོད་པའི་སེམས་ཉེ་བར་གནས་པར་གྱུར་པ་དང་། དེའི་ཐབས་ཀྱང་བྱེད་པ་དང་། སྲོག་འགགས་པར་གྱུར་པ་སྟེ་།
 prāṇāvarodhabhāvaśceti etatpañcāṅgaiḥ saṃyukto bhavati prāṇātipātaḥ |	ཡན་ལག་ལྔ་པོ་དེ་དག་དང་ལྡན་ན་སྲོག་གཅོད་པ་ཡིན་ནོ་༎
 tatra katamat adattādānam? parabhāvaḥ, paraparigrahasaṃjñatvam ca, steyacittopasthitiḥ, tadupāyakaraṇam, sthānacyutiśca etatpañcāṅgasaṃyuktaṃ bhavatyadattādānam |	དེ་ལ་མ་བྱིན་པར་ལེན་པ་གང་ཞེ་ན་། གཞན་གྱིར་གྱུར་པ་དང་། ཕ་རོལ་གྱིས་ཡོངས་སུ་བཟུང་བར་ཡང་འདུ་ཤེས་པ་དང་། རྐུ་བའི་སེམས་ཀྱང་ཉེ་བར་གནས་པར་གྱུར་པ་དང་། དེའི་ཐབས་ཀྱང་བྱེད་པ་དང་། གནས་ནས་བསྐྱོད་པ་སྟེ་ཡན་ལག་ལྔ་པོ་དེ་དག་དང་ལྡན་ན་མ་བྱིན་པར་ལེན་པར་འགྱུར་རོ་༎ 
