skt	tib
 mahāyānasūtrālaṃkāraḥ oṃ namaḥ sarvabuddhabodhisatvebhyaḥ prathamo 'dhikāraḥ	༄༡བ་༅་༎ རྒྱ་གར་སྐད་དུ་། མ་ཧའ་ཡའ་ན་སའུ་ཏྲ་ཨཨ་ལམ་ཀ་ར་ནའ་མ་ཀའ་རི་ཀའ་། བོད་སྐད་དུ་། ཐེག་པ་ཆེན་པོ་མདོ་སྡེའི་རྒྱན་ཞེས་བྱ་བའི་ཚིག་ལེ་འུར་བྱས་པ་། སངས་རྒྱས་དང་dd་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ་༎
 arthajño 'rthavibhāvanāṃ prakurute vācā padaiścāmalair duḥkhasyottaraṇāya duḥkhitajane kāruṇyatastanmayaḥ |	དོན་ཤེས་དོན་སྟོན་རབ་ཏུ་བྱེད་པ་ངག་དང་ཚིག་རྣམས་དྲི་མེད་པས་༎ སྡུག་བསྔལ་བསྒྲལ་ཕྱིར་དེ་ཡི་བདག་ཉིད་སྡུག་བསྔལ་འགྲོ་ལ་སྙིང་རྗེ་ལས་༎
 dharmasyottamayānadeśitavidheḥ satveṣu tadgāmiṣu śliṣṭāmarthagatiṃ niruttaragataṃ pañcātmikāṃ darśayan || msa_1|1 ||	ཐེག་མཆོག་བསྟན་པའི་རྣམ་པ་ཆོས་ཀྱི་དེ་ཡིས་འགྲོ་བའི་སེམས་ཅན་ལ་༎ འབྱོར་པའི་དོན་ཚུལ་བླ་མེད་གྱུར་པ་རྣམ་ལྔའི་བདག་ཉིད་སྟོན་པར་བྱེད་༎
 ghaṭitamiva suvarṇaṃ vārijaṃ vā vibuddhaṃ sukṛtamiva subhojyaṃ bhujyamānaṃ kṣudhārtaiḥ |	གསེར་ལས་བརྡུངས་བྱས་འདྲ་ཞིང་པདམ་རྒྱས་པ་བཞིན་༎ བཀྲེས་པས་ཉེན་པ་ག-ཡོས་ལེགས་ཁ་ཟས་ཟ་བ་འདྲ་༎
 vidita iva sulekho ratnapeṭeva muktā vivṛta iha sa dharmaḥ prītimagryāṃ dadhāti || msa_1|2 ||	འཕྲིན་ཡིག་ལེགས་པ་ཐོས་འདྲ་རིན་ཆེན་སྒྲོམ་ཕྱེ་ལྟའི་༎ ཆོས་དེ་འདིར་བཤད་པ་ཡང་དགའ་བའི་མཆོག་སྐྱེད་དོ་༎
 yathā bimbaṃ bhūṣāprakṛtiguṇavaddarpaṇagataṃ viśiṣṭaṃ prāmodyaṃ janayati nṛṇāṃ darśanavaśāt |	གཟུགས་རྒྱན་རང་བཞིན་ཡོན་ཏན་ལྡན་པ་མེ་ལོང་ནང་སོང་ན་༎ མཐོང་བའི་དབང་གིས་མི་རྣམས་རབ་ཏུ་དགའ་བའི་༄༢ཨ་༌་༎
 tathā dharmaḥ sūktaprakṛtiguṇayukto 'pi satataṃ vibhaktārthastuṣṭiṃ janayati viśiṣṭāmiha satām || msa_1|3 ||	མཆོག་སྐྱེད་པ་༎ དེ་བཞིན་ལེགས་གསུངས་རྟག་ཏུ་རང་བཞིན་ཡོན་ཏན་ལྡན་པ་ཡི་༎ ཆོས་ཀྱང་དོན་རྣམས་ཕྱེ་བས་མཁས་རྣམས་འདི་ན་དགའ་མཆོག་སྐྱེད་༎
 āghrāyamāṇakaṭukaṃ svādurasaṃ yathauṣadhaṃ tadvat |	ཇི་ལྟར་མནམས་ན་རབ་དཀུ་ལ་༏་། མྱངས་ན་ཞིམ་པའི་སྨན་བཞིན་དུ་༎ ཆོས་ཀྱང་དེ་བཞིན་གཉིས་སུ་གནས་༎
 dharma[rmo] dvayavyavasthā[stho] vyañjanato 'rtho na ca[rthataśca] jñeyaḥ || msa_1|4 ||	དོན་དང་ཡི་གེར་ཤེས་པར་བྱ་༎
 rājeva durārādho dharmo 'yaṃ vipulagāḍhagambhīraḥ |	ཆོས་དཀའ་རྒྱ་ཆེན་ཟབ་མོ་འདི་༎ རྒྱལ་པོ་བཞིན་དུ་མཉེས་པར་དཀའ་༎ མཉེས་པར་བྱས་ན་དེ་བཞིན་དུ་༎
 ārādhitaśca tadvadvaraguṇadhanadāyako bhavati || msa_1|5 ||	ཡོན་ཏན་མཆོག་གི་ནོར་སྦྱིན་བྱེད་༎ རིན་ཆེན་རིགས་ལྡན་རིན་ཐང་མེད་༎
 ratnaṃ jātyamanarthaṃ[rghaṃ]yathā 'parīkṣakajanaṃ na toṣayati |	ལྟ་མི་ཤེས་པའི་མིག་མི་མགུ་༎
