skt	tib
 āryamaitreyapraṇītā madhyāntavibhāgakārikā (mvk) lakṣaṇaparicchedaḥ prathamaḥ	༄༤༠ཨ་༌༎ དབུས་དང་མཐའ་རྣམ་པར་འབྱེད་པའི་ཚིག་ལེའུར་བྱས་པ་བཞུགས་སོ་༎ ༄༤༠བ་༅་༎ རྒྱ་གར་སྐད་དུ་། མ་དྷཡའནཏ་བི་བྷམ་ག་ཀའ་རི་ཀའ་། བོད་སྐད་དུ་། དབུས་དང་མཐའ་རྣམ་པར་འབྱེད་པའི་ཚིག་ལེའུར་བྱས་པ་། འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་ལ་ཕྱག་འཚལ་ལོ་༎
 lakṣaṇaṃ hyāvṛtistattvaṃ pratipakṣasya bhāvanā |	མཚན་ཉིད་སྒྲིབ་པ་དེ་ཁོ་ན་༎
 tatrāvasthā phalaprāptiryānānuttaryameva ca || mvk_1|1 ||	གཉེན་པོ་དག་ནི་བསྒོམ་པ་དང་༎ དེ་ཡི་གནས་དང་འབྲས་བུ་འཐོབ་༎ ཐེག་པ་བླ་ན་མེད་པའོ་༎
 abhūtaparikalpo 'sti dvayaṃ tatra na vidyate |	ཡང་དག་མ་ཡིན་ཀུན་རྟོག་ཡོད་༎ དེ་ལ་གཉིས་པོ་ཡོད་མ་ཡིན་༎
 śūnyatā vidyate tvatra tasyāmapi sa vidyate || mvk_1|2 ||	སྟོང་པ་ཉིད་ནི་འདི་ལ་ཡོད་༎ དེ་ལ་ཡང་ནི་དེ་ཡོད་དོ་༎
 na śūnyaṃ nāpi cāśūnyaṃ tasmāt sarvaṃ vidhīyate |	སྟོང་པ་མ་ཡིན་མི་སྟོང་མིན་༎ དེ་ལྟ་བས་ན་ཐམས་ཅད་བཤད་༎
 sattvādasattvāt sattvācca madhyamā pratipacca sā || mvk_1|3 ||	ཡོད་པས་མེད་པས་ཡོད་པས་ན་༎ དེ་ནི་དབུ་མའི་ལམ་ཡིན་ནོ་༎
 arthasattvātmavijñaptipratibhāsaṃ prajāyate |	།
 vijñānaṃ nāsti cāsyārthastadabhāvāttadapyasat || mvk_1|4 ||	རབ་ཏུ་སྐྱེའོ་དེའི་དོན་མེད་༎ དེ་མེད་པས་ན་དེ་ཡང་མེད་༎ ཡང་དག་མ་ཡིན་ཀུན་རྟོག་པ་༎
 abhūtaparikalpatvaṃ siddhamasya bhavatyataḥ |	དེ་ནི་དེ་ཕྱིར་གྲུབ་པ་ཡིན་༎
 na tathā sarvathābhāvāt tatkṣayānmuktiriṣyate || mvk_1|5 ||	དེ་བཞིན་མ་ཡིན་ཡེ་མེད་ཡིན་༎ དེ་ཟད་ནམ་ནི་གྲོལ་བར་འདོད་༎
 kalpitaḥ paratantraśca pariniṣpanna eva ca |	བརྟགས་པ་དག་ནི་གཞན་དབང་དང་༎ ཡོངས་སུ་གྲུབ་པ་ཉིད་ཀྱང་ངོ་༎
 arthādabhūtakalpācca dvayābhāvācca deśitaḥ || mvk_1|6 ||	དོན་ཕྱིར་ཡང་དག་མིན་རྟོག་ཕྱིར་༎ གཉིས་པོ་མེད་པའི་ཕྱིར་བཤད་དོ་༎
 upalabdhiṃ samāśritya nopalabdhiḥ prajāyate |	དམིགས་པ་ལ་ནི་བརྟེན་ནས་སུ་༎ མི་དམིགས་པ་ནི་རབ་ཏུ་སྐྱེ་༎
 nopalabdhiṃ samāśritya nopalabdhiḥ prajāyate || mvk_1|7 ||	མི་དམིགས་པ་ལ་བརྟེན་ནས་སུ་༎
 upalabdhestataḥ siddhā nopalabdhisvabhāvatā |	མི་དམིགས་པ་ནི་རབ་ཏུ་སྐྱེ་༎ དེ་ཡི་ཕྱིར་ན་དམིགས་པ་ནི་༎ མི་དམིགས་ངོ་བོ་ཉིད་དུ་གྲུབ་༎
 tasmācca samatā jñeyā nopalambhopalambhayoḥ || mvk_1|8 ||	དེ་ལྟ་བས་ན་དམིགས་པ་དང་༎ མི་དམིགས་མཉམ་པར་ཤེས་པར་བྱ་༎
 abhūtaparikalpaśca cittacaittāstridhātukāḥ |	ཡང་དག་མ་ཡིན་ཀུན་རྟོག་ནི་༎ སེམས་དང་སེམས་བྱུང་ཁམས་གསུམ་པ་༎
 tatrārthadṛṣṭirvijñānaṃ tadviśeṣe tu caitasāḥ || mvk_1|9 ||	དེ་ལ་དོན་མཐོང་རྣམ་པར་ཤེས་༎ དེ་ཡི་ཁྱད་པར་སེམས་ལས་བྱུང་༎
 evaṃ pratyayavijñānaṃ dvitīyaṃ caupabhogikam |	གཅིག་ནི་རྐྱེན་གྱི་རྣམ་པར་ཤེས་༎ གཉིས་པ་ཉེ་བར་སྤྱོད་པ་ཅན་༎
 upabhogaparicchedaprerakāstatra caitasāḥ || mvk_1|10 ||	ཉེ་བར་སྤྱོད་དང་ཡོངས་གཅོད་དང་༎ དེ་ཡི་འཇུག་བྱེད་སེམས་ལས་བྱུང་༎
 chādanādropaṇāccaiva nayanātsaṃparigrahāt |	སྒྲིབ་པའི་ཕྱིར་དང་འདེབས་པའི་ཕྱིར་༎ ཁྲིད་པའི་ཕྱིར་དང་ཀུན་འཛིན་ཕྱིར་༎
 pūraṇāt triparicchedādupabhogācca karṣaṇāt || mvk_1|11 ||	རྫོགས་བྱེད་ཕྱིར་དང་གསུམ་གཅོད་ཕྱིར་༎ ཉེ་བར་གཅོད་ཕྱིར་སྡུད་པའི་ཕྱིར་༎ སྦྱོར་བའི་ཕྱིར་དང་མངོན་དུའི་ཕྱིར་༎
 nibandhanādābhimakhyād duḥkhanāt kliśyate jagat |	སྡུག་བསྔལ་ཕྱིར་ནི་འགྲོ་ཉོན་མོངས་༎
 tredhā dvedhā ca saṃkleśaḥ saptadhābhūtakalpanāt || mvk_1|12 ||	རྣམ་གསུམ་རྣམ་གཉིས་ཀྱང་ཉོན་མོངས་༎ རྣམ་བདུན་ཡང་དག་མིན་རྟོག་ལས་༎ སྟོང་༄༤༡ཨ་༌་༎ པ་ཉིད་ནི་མདོར་བསྡུ་ན་༎
 lakṣaṇaṃ cātha paryāyastadartho bheda eva ca | sādhanañceti vijñeyaṃ śūnyatāyāḥ samāsataḥ || mvk_1|13 ||	མཚན་ཉིད་དང་ནི་རྣམ་གྲངས་དང་༎ དེ་ཡི་དོན་དང་དབྱེ་བ་དང་༎ སྒྲུབ་པ་དག་སྟེ་ཤེས་པར་བྱ་༎
 dvayābhāvo hyabhāvasya bhāvaḥ śūnyasya lakṣaṇam |	གཉིས་དངོས་མེད་དང་དངོས་མེད་པའི་༎ དངོས་པོ་སྟོང་པའི་མཚན་ཉིད་དོ་༎
 na bhāvo nāpi cābhāvao na pṛthaktvaikalakṣaṇam || mvk_1|14 ||	ཡོད་པ་མ་ཡིན་མེད་པའང་མིན་༎ ཐ་དད་གཅིག་པའི་མཚན་ཉིད་མིན་༎ སྟོང་པ་ཉིད་ནི་མདོར་བསྡུ་ན་༎
 tathatā bhūtakoṭiścānimittaṃ paramārthatā |	དེ་བཞིན་ཉིད་དང་ཡང་དག་མཐའ་༎ མཚན་མ་མེད་དང་དོན་དམ་དང་༎ ཆོས་ཀྱི་དབྱིངས་ནི་རྣམ་གྲངས་སོ་༎ གཞན་མིན་ཕྱིན་ཅི་ལོག་མ་ཡིན་༎
 dharmadhātuśca paryāyāḥ śūnyatāyāḥ samāsataḥ || mvk_1|15 || ananyathāviparyāsatannirodhāryagocaraiḥ | hetutvāccāryadharmaṇāṃ paryāyārtho yathākramam || mvk_1|16 ||	དེ་འགོག་འཕགས་པའི་སྤྱོད་ཡུལ་དང་༎ འཕགས་པའི་ཆོས་ཀྱི་རྒྱུ་ཡི་ཕྱིར་༏་། རྣམ་གྲངས་དོན་ཏེ་གོ་རིམས་བཞིན་༎
 saṃkliṣṭā ca viśuddhā ca samalā nirmalā ca sā |	ཀུན་ནས་ཉོན་མོངས་རྣམ་པར་དག་། དེ་ནི་དྲི་བཅས་དྲི་མ་མེད་༎ ཆུ་ཁམས་གསེར་དང་ནམ་མཁའ་རྣམས་༎
 abdhātukanakākāśaśuddhivacchuddhiriṣyate || mvk_1|17 ||	དག་པ་བཞིན་དུ་དག་པར་འདོད་༎
 bhoktṛbhojanataddhehapratiṣṭhāvastuśūnyatā |	ཟ་བ་བཟའ་དང་དེ་ཡི་ལུས་༎ གནས་ཀྱི་གཞི་ཡི་སྟོང་པ་ཉིད་༎
 tacca yena yathā dṛṣṭaṃ yadarthaṃ tasya śūnyatā || mvk_1|18 ||	དེ་ཡང་གང་གིས་ཇི་ལྟར་མཐོང་༎ གང་ཕྱིར་དེ་ཡང་སྟོང་པ་ཉིད་༎
 śubhadvayasya prāptyartha sadā sattvahitāya ca |	དགེ་གཉིས་ཐོབ་པར་བྱ་བའི་ཕྱིར་༎ རྟག་ཏུ་སེམས་ཅན་ཕན་བྱའི་ཕྱིར་༎
 saṃsārātyajanārthaṃ ca kuśalasyākṣayāya ca || mvk_1|19 ||	འཁོར་བ་གཏང་བར་མི་བྱའི་ཕྱིར་༎ དགེ་བ་མི་ཟད་བྱ་བའི་ཕྱིར་༎
 gotrasya ca viśuddhayarthaṃ lakṣaṇavyañjanāptaye |	རིགས་ཀྱང་རྣམ་པར་དག་བྱའི་ཕྱིར་༎ མཚན་དང་དཔེ་བྱད་ཐོབ་བྱའི་ཕྱིར་༏་། སངས་རྒྱས་ཆོས་རྣམས་དག་བྱའི་ཕྱིར་༎
 śuddhaye bu[ddha]dharmāṇāṃ bodhisattvaḥ prapadyate || mvk_1|20 ||	བྱང་ཆུབ་སེམས་དཔའ་སྒྲུབ་པར་བྱེད་༎
 pudgalasyātha dharmāṇāmabhāvaḥ śūnyatātra hi |	གང་ཟག་དང་ནི་ཆོས་རྣམས་ཀྱི་༎ དངོས་པོ་མེད་འདིར་སྟོང་པ་ཉིད་༎
 tadabhāvasya sadbhāvastasmin sā śūnyatāparā || mvk_1|21 ||	དེ་དངོས་མེད་པའི་དངོས་ཡོད་པ་༎ དེ་ནི་དེ་ལས་སྟོང་ཉིད་གཞན་༎
 saṃkliṣṭā cedbhavennāsau muktāssyuḥ sarvadehinaḥ |	གལ་ཏེ་ཉོན་མོངས་དེ་མ་གྱུར་༎ ལུས་ཅན་ཐམས་ཅད་གྲོལ་བར་གྱུར་༎
 viśuddhā cedbhavennāsau vyāyāmo niṣphalo bhavet || mvk_1|22 ||	གལ་ཏེ་རྣམ་དག་དེ་མ་གྱུར་༎ འབད་པ་འབྲས་བུ་མེད་པར་འགྱུར་༎
 na kliṣṭā nāpi va 'ākliṣṭā śuddhāśuddhā na caiva sā | prabhāsvaratvāccittasya kleśasyāgantukatvataḥ || mvk_1|23 ||	ཉོན་མོངས་མ་ཡིན་མི་རྨོངས་མིན་༎ དེ་ནི་དག་དང་མ་དག་མིན་༎ བསྟན་བཅོས་དབུས་དང་མཐའ་རྣམ་པར་འབྱེད་པ་ལས་།
 || iti lakṣaṇaparicchedaḥ prathamaḥ || āvaraṇaparicchedo dvitīyaḥ	མཚན་ཉིད་ཀྱི་ལེའུར་བཅད་པ་ཞེས་བྱ་བ་སྟེ་དང་པོའོ་།
 vyāpi prādeśikodriktasamādānavivarjanam |	༎ ། ཁྱབ་དང་ཉི་ཚེ་ལྷག་པ་དང་༎ མཉམ་དང་ལེན་དང་སྤོང་བ་ནི་༎
