skt	tib
 1| sarvākārajñatācaryāparivarto nāma prathamaḥ || namaḥ sarvabuddhabodhisattvebhyaḥ |	༄༡བ་༅་༎ རྒྱ་གར་སྐད་དུ་། ཨའརྱ་ཨཨཤཏ་ས་ཧ་སྲི་ཀ་པྲཛཉའ་པའ་ར་མི་ཏའ་པཉཛི་ཀ་སའ་རོཏཏ་མ་ནའ་མ་། བོད་སྐད་དུ་། འཕགས་པ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་བརྒྱད་སྟོང་པའི་དཀའ་འགྲེལ་dd་སྙིང་པོ་མཆོག་ཅེས་བྱ་བ་། ཕྱོགས་བཅུ་མཐའ་ཡས་པ་ན་རྣམ་པར་བཞུགས་པའི་སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ལ་ཕྱག་འཚལ་ལོ་༎
 bhavati bahutarārke kevalaṃ yasya loke dinamudayasamṛddhyā rātrirastaṅgamena | prativiṣayavisārī śuddhimānastu vaṃśaḥ (?)	གང་ཞིག་ཉི་མ་མང་པོ་ཕུན་སུམ་ཚོགས་པ་ཇི་སྲིད་དུ་༏་།འཆར་དང་ནུབ་པས་འཇིག་རྟེན་ཉིན་དང་མཚན་མོར་འགྱུར་བ་ཡིན་༎ ཡུལ་རྣམས་སོ་སོར་ཁྱབ་པར་བྱེད་པ་དག་ལྡན་ཐོགས་མེད་པའི་༎
 sa guruguṇanidhervo jāyatāṃ buddhabodhaḥ || |||||||||||||namaḥ śaraṇaṃ daśabalāste vā (?) ||	སངས་རྒྱས་རྟོགས་པའི་ཡོན་ཏན་གཅེས་གཏེར་ཁྱེད་ལ་འབྱུང་གྱུར་ཅིག་། 
 yasyāḥ katipayavarṇā dhṛtāḥ karṇapuṭairapi |	ཡི་གེ་གང་ཞིག་རྣ་ལམ་དུ་༎ ཅུང་ཟད་འཛིན་པར་བྱེད་པ་ཡང་༎
 bodherbhavanti bījāni jinamātā pyatyasau |	བྱང་ཆུབ་ས་བོན་འགྱུར་བ་ཡི་༎ རྒྱལ་བའི་ཡུམ་འདི་རྒྱལ་གྱུར་ཅིག་། 
 maitreyasya vibhoralaṃkṛtimayaḥ poto yadarthārṇave	ཁྱབ་བདག་བྱམས་པ་གང་གི་རྒྱན་གྱི་རང་བཞིན་གྲུས་ནི་གང་ཞིག་རྒྱ་ཆེན་པོ་༎
 nirṇītaṃ bahuvistarākṛtisamairyasyā nijāṃśerapi |	མང་པོའི་དོན་གྱི་རྒྱ་མཚོ་མཉམ་པར་རང་གི་ཡན་ལག་དག་གིས་གཏན་ལ་ཕབ་༎ ཤེས་རབ་ཕ་རོལ་ཕྱིན་པའི་གཞུང་ལུགས་ཆེན་པོ་གང་ཡིན་དེ་ནི་བརྒྱད་སྟོང་པ་༎
 vyācaṣṭe vacasā sphuṭena laghunā mando 'pi ratnākāraḥ prajñāpāramitāṃ|||||||na mahatāṃ (tīṃ) tāmaṣṭasāhasrikām ||	༄༢ཨ་༅་༎ རིན་ཆེན་འབྱུང་གནས་དམན་པའི་ཚིག་ཉུང་ཤིན་ཏུ་གསལ་བས་རྣམ་པར་བཤད་པར་བྱ་༎
 (rst_2) atha kasmādiyaṃ vyākhyāyate?	ཅི་སྟེ་ཡང་ཅིའི་ཕྱིར་འདི་བཤད་ཅེ་ན་། བཅོམ་ལྡན་འདས་ཀྱི་གསུང་རབ་ཀྱི་ནང་ན་། མདོ་སྡེ་རིན་པོ་ཆེ་ཉིད་ཡིན་པའི་ཕྱིར་ཏེ་༏་དེའི་ཕྱིར་གསུང་རབ་ནི་བཅུ་གཉིས་ཏེ་།
 sūtraṃ geyaṃ vyākaraṇaṃ gāthā udānaṃ nidānaṃ avadānaṃ itivṛttakaṃ jātakaṃ vaipulyaṃ adbhutā dharmāḥ upadeśāśceti |	མདོའི་སྡེ་དང་། དབྱངས་ཀྱིས་བསྙད་པའི་སྡེ་དང་། ལུང་བསྟན་པ་དང་། ཚིགས་སུ་བཅད་པ་དང་། ཆེད་དུ་བརྗོད་པ་དང་། གླིང་གཞི་དང་། རྟོག་པ་བརྗོད་པ་དང་། དེ་ལྟ་བུ་བྱུང་བ་དང་། སྐྱེས་པའི་རབས་དང་། ཤིན་ཏུ་རྒྱས་པ་དང་། རྨད་དུ་བྱུང་བའི་ཆོས་དང་། གཏན་ལ་དབབ་པ་དག་གོ་། 
