skt	tib
 ācāryadiṅnāgakṛtā namaḥ sarvabuddhabodhisattvebhyaḥ	༄༨༦ཨ་༌་༎ རྒྱ་གར་སྐད་དུ་། ཨའ་ལམ་བ་ན་པ་རའཀཤི་། བོད་སྐད་དུ་། དམིགས་པ་བརྟག་པ་། སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ་༎
 yadyapīndriyavijñaptergrāhyāṃśaḥ(=aṇavaḥ) kāraṇaṃ bhavet|	དབང་པོ་རྣམ་པར་རིག་པའི་རྒྱུ་༎ ཕྲ་རབ་རྡུལ་དག་ཡིན་མོད་ཀྱི་༎
 atadābhatayā tasyā nākṣavadviṣayaḥ sa tu(aṇavaḥ) || āp_1 ||	དེར་མི་སྣང་ཕྱིར་དེའི་ཡུལ་ནི་༎ རྡུལ་ཕྲན་མ་ཡིན་དབང་པོ་བཞིན་༏་། གང་ལྟར་སྣང་དེ་དེ་ལས་མིན་༎
 yadābhāsā na tasmāt sā dravyābhāvāt dvicandravat | evaṃ bāhyadvayañcaiva na yuktaṃ matigocaraḥ || āp_2 || sādhanaṃ sañcitākāramicchanti kila kecana |	རྫས་སུ་མེད་ཕྱིར་ཟླ་གཉིས་བཞིན་༎ དེ་ལྟར་ཕྱི་རོལ་གཉིས་ཀ་ཡང་༎ བློ་ཡི་ཡུལ་དུ་མི་རུང་ངོ་༎ ཁ་ཅིག་འདུས་པའི་རྣམ་པ་དག་། སྒྲུབ་པ་ཡིན་པར་འདོད་པར་བྱེད་༎
 aṇvākāro na vijñapterarthaḥ kaṭhinatādivat || āp_3 ||	།
 bhaveddhaṭaśarāvādestathā sati samā matiḥ |	དེ་དག་ལྟར་ན་བུམ་པ་དང་༎ ཁམ་ཕོར་སོགས་བློ་མཚུངས་པར་འགྱུར་༎
 ākārabhedādbhedaścet, nāsti tu dravyasatyaṇau || āp_4 ||	གལ་ཏེ་རྣམ་པའི་དབྱེ་བས་དབྱེ་༎ དེ་ནི་རྡུལ་ཕྲན་རྫས་ཡོད་ལ་༎
 pramāṇabhedābhāvāt saḥ,	མེད་དེ་ཚད་དབྱེ་མེད་ཕྱིར་རོ་༎
 adravye 'sti tataḥ sa hi |	དེ་ཕྱིར་དེ་རྫས་མེད་ལ་ཡོད་༎
 aṇūnāṃ parihāre hi tadābhajñānaviplavāt || āp_5 ||	རྡུལ་ཕྲན་ཡོངས་སུ་བསལ་ན་ནི་༎ དེར་སྣང་ཤེས་པ་ཉམས་འགྱུར་ཞིང་༎ ནང་གི་ཤེས་བྱའི་ངོ་བོ་ནི་༎
 yadantarjñeyarūpaṃ tu vahirvadavabhāsate |	ཕྱི་རོལ་ལྟར་སྣང་གང་ཡིན་དེར་༎
 so 'rtho vijñānarūpatvāttatpratyayatayāpi ca || āp_6 ||	དོན་ཡིན་རྣམ་ཤེས་ངོ་བོའི་ཕྱིར་༎ དེའི་རྐྱེན་ཉིད་ཀྱང་ཡིན་ཕྱིར་རོ་༎ གཅིག་ཆའང་མི་འཁྲུལ་ཕྱིར་ན་རྐྱེན་༎
 ekāṃśaḥ pratyayo 'vītāt śaktyarpaṇātkrameṇa[vā] |	ནུས་པ་འཇོག་ཕྱིར་རིམ་གྱིས་ཡིན་༎ ལྷན་ཅིག་བྱེད་དབང་ནུས་པ་ཡི་༎
 sahakārivaśādyaddhi śaktirūpaṃ [tat] indriyam || āp_7 ||	ངོ་བོ་གང་ཡིན་དབང་པོའང་ཡིན་༎
 sā cāviruddhā vijñapterevaṃ viṣayarūpakam |	དེའང་རྣམ་རིག་ལ་མི་འགལ་༎
 pravartate 'nādikālaṃ śaktiścānyonyahetuke || āp_8 ||	དེ་ལྟར་ཡུལ་གྱི་ངོ་བོ་དང་༎ ནུས་པ་ཕན་ཚུན་རྒྱུ་ཅན་དང་༎ ཐོགས་མེད་དུས་ནས་འཇུག་པ་ཡིན་༎
