skt	tib
 h 63a6; c 328c5 (0) samāhitā bhūmiḥ katamā?	༎ ། མཉམ་པར་གཞག་པའི་ས་གང་ཞེ་ན་།
 uddānam:	སྡོམ་ལ་།
 uddeśas tadvyavasthānaṃ manaskāro nimittatā	བསྟན་དང་དེ་ཡི་རྣམ་གཞག་དང་༎ ཡིད་ལ་བྱེད་དང་མཚན་མ་དང་༎ མདོ་སྡེ་རྣམ་པ་སྣ་ཚོགས་ལས་༎
 sūtrāntasaṃgrahaś ceti vicitraḥ paścimo bhavet|	བསྡུས་པ་ཐ་མར་གྱུར་པ་ཡིན་༎ མཉམ་པར་གཞག་པའི་ས་ནི་མདོར་བསྡུ་ན་།
 samāhitā bhūmiḥ samāsata uddeśato ’pi, tadvyavasthānato ’pi, manasikāraprabhedato ’pi, nimittaprabhedato ’pi, sūtrāntasaṃgrahato ’pi veditavyā|	བསྟན་པ་དང་། དེའི་རྣམ་པར་གཞག་པ་དང་། ཡིད་ལ་བྱེད་པའི་རབ་ཏུ་དབྱེ་བ་དང་། མཚན་མའི་རབ་ཏུ་དབྱེ་བ་དང་། མདོ་སྡེའི་བསྡུ་བ་ཡིན་པར་རིག་པར་བྱའོ་༎
 h 63a7; c 328c11 (1|0) uddeśaḥ katamaḥ?	བསྟན་པ་གང་ཞེ་ན་།
 samāsataḥ samāhitā bhūmiś caturvidhā, tadyathā dhyānaṃ vimokṣaḥ samādhiḥ samāpattiś ca|	མདོར་བསྡུ་ན་མཉམ་པར་གཞག་པའི་ས་ནི་རྣམ་པ་བཞི་སྟེ་། འདི་ལྟ་སྟེ་། བསམ་གཏན་དང་། རྣམ་པར་ཐར་པ་དང་། ཏིང་ངེ་འཛིན་དང་། སྙོམས་པར་འཇུག་པའོ་༎
 h 63a7; c 328c12 (1|1) dhyānaṃ katamat?	བསམ་གཏན་གང་ཞེ་ན་།
 catvāri dhyānāni:	བསམ་གཏན་བཞི་སྟེ་།
 vivekajaṃ savitarkaṃ savicāram, samādhijam avitarkam avicāram, niṣprītikam, upekṣāsmṛtipariśuddhaṃ ca|	དབེན་པ་ལས་སྐྱེས་པ་རྟོག་པ་དང་བཅས་དཔྱོད་པ་དང་བཅས་པ་དང་། ཏིང་ངེ་འཛིན་ལས་སྐྱེས་པ་རྟོག་པ་མེད་ཅིང་དཔྱོད་པ་མེད་པ་དང་། དགའ་བ་མེད་པ་དང་། བཏང་སྙོམས་དང་དྲན་པས་ཡོངས་སུ་དག་པའོ་༎
 h 63a7; c 328c15 (1|2) vimokṣaḥ katamaḥ?	རྣམ་པར་ཐར་པ་གང་ཞེ་ན་།
 aṣṭau vimokṣāḥ:	རྣམ་པར་ཐར་པ་བརྒྱད་དེ་།
 rūpī rūpāṇi paśyatīti prathamo vimokṣaḥ|	གཟུགས་ཅན་གཟུགས་རྣམས་ལ་ལྟ་བ་ནི་། རྣམ་པར་ཐར་པ་དང་པོའོ་༎
 adhyātmam arūpasaṃjñī bahirdhā rūpāṇi paśyatīti dvitīyo vimokṣaḥ|	ནང་གཟུགས་མེད་པར་འདུ་ཤེས་པས་ཕྱི་རོལ་གྱི་གཟུགས་རྣམས་ལ་ལྟ་བ་ནི་རྣམ་པར་ཐར་པ་གཉིས་པའོ་༎ 
 śubhaṃ vimokṣaṃ kāyena sākṣātkṛtvopasaṃpadya viharatīti tṛtīyo vimokṣaḥ|	སྡུག་པའི་རྣམ་པར་ཐར་པ་ལུས་ཀྱིས་མངོན་སུམ་དུ་བྱས་ནས་བསྒྲུབས་ཏེ་གནས་པ་གཉིས་པའོ་༎ ནི་། རྣམ་པར་ཐར་པ་གསུམ་པའོ་༎
 ākāśānantyāyatanam … vijñānānantyāyatanam … ākiṃcanyāyatanam … naivasaṃjñānāsaṃjñāyatanam … saṃjñāvedayitanirodhaṃ kāyena sākṣātkṛtyopasaṃpadya viharatīty aṣṭamo vimokṣaḥ|	ནམ་མཁའ་མཐའ་ཡས་སྐྱེ་མཆེད་དང་། རྣམ་ཤེས་མཐའ་ཡས་སྐྱེ་མཆེད་དང་། ཅི་ཡང་མེད་པའི་སྐྱེ་མཆེད་དང་། འདུ་ཤེས་མེད་འདུ་ཤེས་མེད་མིན་སྐྱེ་མཆེད་དང་། འདུ་ཤེས་དང་ཚོར་བ་འགོག་པ་ལུས་ཀྱིས་མངོན་སུམ་དུ་བྱས་ཏེ་། བསྒྲུབས་ནས་གནས་པ་ནི་རྣམ་པར་ཐར་པ་བརྒྱད་པའོ་༎ ཏིང་ངེ་འཛིན་༄༡༢༡ཨ་༌་༎
 h 63b2; c 328c19 (1|3) samādhiḥ katamaḥ?	གང་ཞེ་ན་།
 śūnyatā, apraṇihitaḥ, ānimittaḥ|	སྟོང་པ་ཉིད་དང་། སྨོན་པ་མེད་པ་དང་། མཚན་མ་མེད་པའོ་༎
 punas trayaḥ samādhayaḥ:	ཡང་ཏིང་ངེ་འཛིན་ནི་གསུམ་སྟེ་།
 savitarkaḥ savicāraḥ, avitarko vicāramātraḥ, avitarko ’vicāraḥ|	རྟོག་པ་དང་བཅས་དཔྱོད་པ་དང་བཅས་པ་དང་། རྟོག་པ་མེད་ལ་དཔྱོད་པ་ཙམ་དང་། རྟོག་པ་མེད་ཅིང་དཔྱོད་པ་མེད་པའོ་༎
 punas trayaḥ:	ཡང་གསུམ་སྟེ་།
 parīttaḥ, mahadgataḥ, apramāṇaḥ|	ཆུང་ངུ་དང་། ཆེན་པོར་གྱུར་པ་དང་། ཚད་མེད་པའོ་༎
 punas trayaḥ:	ཡང་གསུམ་སྟེ་།
 prītisahagataḥ, sātasahagataḥ, upekṣāsahagataḥ|	དགའ་བ་ལྡན་པ་དང་། བདེ་བ་དང་ལྡན་པ་དང་། བཏང་སྙོམས་དང་ལྡན་པའོ་༎
 punar ekāṃśabhāvitaḥ samādhiḥ, ubhayāṃśabhāvitaḥ samādhiḥ| punaś catuḥsamādhibhāvanāsahagataḥ samādhiḥ| punar āryaḥ pañcajñānikaḥ samādhiḥ| punar āryaḥ pañcāṅgikaḥ samādhiḥ|	ཡང་ཆ་གཅིག་བསྒོམས་པའི་ཏིང་ངེ་འཛིན་དང་། གཉིས་ཀའི་ཆ་བསྒོམས་པའི་ཏིང་ངེ་འཛིན་ཏོ་༎
 punar ārya eva samādhiḥ sopaniṣat sapariṣkāraḥ| punar vajropamaḥ samādhiḥ| punaḥ śaikṣaḥ samādhiḥ, aśaikṣaḥ samādhiḥ, naiva śaikṣo nāśaikṣaḥ samādhiḥ|	ཡང་ཏིང་ངེ་འཛིན་བཞི་བསྒོམས་པ་དང་ལྡན་པའི་ཏིང་ངེ་འཛིན་དང་། ཡང་འཕགས་པའི་ཤེས་པ་ལྔ་དང་ལྡན་པའི་ཏིང་ངེ་འཛིན་དང་། ཡང་ཡན་ལག་ལྔ་དང་ལྡན་པའི་ཏིང་ངེ་འཛིན་དང་། ཡང་འཕགས་པ་ཉིད་ཀྱི་ཏིང་ངེ་འཛིན་རྒྱུ་དང་བཅས་ཤིང་ཡོ་བྱད་དང་བཅས་པ་དང་། ཡང་རྡོ་རྗེ་ལྟ་བུའི་ཏིང་ངེ་འཛིན་དང་། ཡང་སློབ་པའི་ཏིང་ངེ་འཛིན་དང་། མི་སློབ་པའི་ཏིང་ངེ་འཛིན་དང་། སློབ་པ་ཡང་མ་ཡིན་མི་སློབ་པ་ཡང་མ་ཡིན་པའི་ཏིང་ངེ་འཛིན་ཏོ་༎
 h 63b3; c 329a1 (1|4) samāpattiḥ katamā?	སྙོམས་པར་འཇུག་པ་གང་ཞེ་ན་།
 pañca darśanasamāpattayaḥ, aṣṭāv abhibhvāyatanasamāpattayaḥ, daśa kṛtsnāyatanasamāpattayaḥ, catasra ārūpyasamāpattayaḥ, asaṃjñāsamāpattiḥ, nirodhasamāpattiś	མཐོང་བའི་སྙོམས་པར་འཇུག་པ་ལྔ་དང་། ཟིལ་གྱིས་གནོན་པའི་སྐྱེ་མཆེད་བརྒྱད་ཀྱི་སྙོམས་པར་འཇུག་པ་དང་། ཟད་པར་གྱི་སྐྱེ་མཆེད་བཅུའི་སྙོམས་པར་འཇུག་པ་དང་། གཟུགས་མེད་པའི་སྙོམས་པར་འཇུག་པ་བཞི་དང་། འདུ་ཤེས་མེད་པའི་སྙོམས་པར་འཇུག་པ་དང་། འགོག་པའི་སྙོམས་པར་འཇུག་པའོ་༎
 h 63b4; c 329a4 (2|0|0) tadvyavasthānaṃ katamat?	དེའི་རྣམ་པར་གཞག་པ་གང་ཞེ་ན་།
 h 63b4; c 329a4 (2|0|1) kasmāt punar eṣaiva samāhitā bhūmiḥ, na punar yāpi kāmadhātau cittaikāgratā?	ཅིའི་ཕྱིར་དེ་ཁོ་ན་ལ་མཉམ་པར་གཞག་པའི་ས་ཞེས་བྱ་ལ་། གང་འདོད་པའི་ཁམས་ཀྱི་སེམས་རྩེ་གཅིག་པ་ཉིད་ནི་མ་ཡིན་ཞེ་ན་།
 yasmād eṣa samādhir avipratisāraprāmodyaprītiprasrabdhisukhābhinirhṛtaḥ, na tu kāmāvacaraḥ|	འདི་ལྟར་ཏིང་ངེ་འཛིན་དེ་ནི་འགྱོད་པ་མེད་པ་དང་། མཆོག་ཏུ་དགའ་བ་དང་། དགའ་བ་དང་། ཤིན་ཏུ་སྦྱངས་པ་དང་། བདེ་བས་མངོན་པར་བསྒྲུབས་པ་ཡིན་ལ་། འདོད་པ་ན་སྤྱོད་པ་ནི་དེ་ལྟ་མ་ཡིན་ཏེ་།
