skt	tib
 nāgārjuna: bhavasaṅkrāntiparikathā namaḥ kumārabhūtāya mañjuśriye |	༄༡༦༧བ་༅་༎ རྒྱ་གར་སྐད་དུ་༏་བྷའ་བ་སམ་ཀརའན་ཏ་པ་རི་ཀ་ཐའ་། བོད་སྐད་དུ་། སྲིད་པ་ལས་འདས་པའི་གཏམ་། འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་ལ་ཕྱག་འཚལ་ལོ་༎
 bhāvānna jāyate 'bhāvo nābhāvādapi jāyate |	དངོས་མེད་དངོས་ལས་མི་སྐྱེ་སྟེ་༎ དངོས་མེད་ལས་ཀྱང་སྐྱེ་མ་ཡིན་༎
 bhāva utpaddyate nityaṃ bhābo bhrāntiḥ khapuṣpavat || 1 || sati dharme nabhastulye khatulyaṃ jāyate param |	དངོས་པོ་རྟག་ཏུ་སྐྱེ་བ་སྟེ་༎ དངོས་འཁྲུལ་ནམ་མཁའི་མེ་ཏོག་བཞིན་༎ མཁའ་དང་འདྲ་བའི་ཆོས་ཡོད་ན་༎ གཞན་ནི་མཁའ་དང་འདྲ་བ་སྐྱེ་༎
 pratītya sarva khasamaṃ bhāvastasmādabhāvavān || 2 ||	བརྟེན་ནས་ཐམས་ཅད་མཁའ་དང་འདྲ་༎ དེ་ནས་སྲིད་པ་མེད་པ་ཅན་༎
 sbabhāvataḥ karma nāsti heturnāsti phalaṃ na ca |	ངོ་བོ་ཉིད་ཀྱིས་ལས་མེད་ཅིང་༎ རྒྱུ་མེད་འབྲས་བུ་ཡོད་མ་ཡིན་༎
 na viddyata idaṃ sarbaṃ loko nāsti na bhañjanam || 3 ||	འདི་དག་ཐམས་ཅད་མེད་པ་སྟེ་༎ འཇིག་རྟེན་པ་མེད་འཇིག་པ་མེད་༎
 anutpannaśca yo bhāvaḥ paraṃ (sa)	མ་སྐྱེས་པ་ཡི་དངོས་པོ་གང་༎
 janayetkatham |	ཇི་ལྟར་གཞན་ཞིག་སྐྱེད་པར་འགྱུར་༎
 lokaḥ prathamato 'jātaḥ kenāpi na hi nirmitaḥ |	འཇིག་རྟེན་དང་པོར་མ་བྱུང་སྟེ་༎ འགའ་ཞིག་གིས་ཀྱང་སྤྲུལ་པ་མིན་༎ ཟླ་བ་སེང་གེའི་གྲོང་ཁྱེར་བཞིན་༎
 somasiṃhapurītulyo loko bhramyatyanarthake || 4 ||	འཇིག་རྟེན་དོན་མེད་གྱི་ན་འཁྱམས་༎
