skt	tib
 ācāryakamalaśīlaviracito madhyamakālokaḥ	༄༡༣༣བ་༅་༎ རྒྱ་གར་སྐད་དུ་། མ་དྷྱ་མ་ཀའ་ལོ་ཀ་ནའ་མ་། བོད་སྐད་དུ་། དབུ་མ་སྣང་བ་ཞེས་བྱ་བ་། འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་ལ་ཕྱག་འཚལ་ལོ་༎
 ajñānino ye 'tra vipannadṛṣṭyā bhāveṣu cāsaktimahāgrahāṇāṃ	འདི་ན་མི་མཁས་གང་དག་ལྟ་བ་ཉམས་པས་དངོས་ལ་ཞེན་པའི་གདོན་ཆེན་གྱིས་༎
 vaśena grastā hi praṇaṣṭaprajñā nāgārjunādīṃśca mahāmahimnaḥ |	ཟིན་པའི་དབང་གིས་བློ་གྲོས་ཉམས་པས་ཆེ་བའི་ཆེ་བ་ཀླུ་སྒྲུབ་ལ་སོགས་ལ་༎
 kṣipanti tenātmavināśa eva teṣāṃ mahābhūtagrahopaśāntyai	སྨོད་པར་བྱེད་ཀྱང་བདག་ཉིད་ཕུང་བ་འབའ་ཞིག་བྱེད་དུ་ཟད་པ་དེ་དག་གི་།འབྱུང་པོའི་གདོན
 prārabhyate poṣakaro 'bhyupāyaḥ kāruṇyamāśritya mayādhūnātra ||	རྣམས་ཞི་བར་བྱ་ཕྱིར་སྙིང་རྗེས་གསོ་བའི་ཐབས་ནི་བརྩམ་པར་བྱ་༎
 bhāvābhiniveśa eva tāvat samastasaṅkleśajālamūlam,	ཀུན་ནས་ཉོན་མོངས་པའི་དྲ་བ་མཐའ་དག་འབྱུང་བའི་རྩ་བ་ནི་དངོས་པོར་མངོན་པར་ཞེན་པ་ཡིན་པས་དེ་ཡོངས་སུ་སྤངས་ཏེ་།
 atastatparihṛtya niḥśreyasapadābhilāṣiṇāṃ sarvadharmaniḥsvabhāvatāvyutpādanārthamidamārabhyate |	ལེགས་པའི་གོ་འཕང་འདོད་པ་རྣམས་ལ་ཆོས་ཐམས་ཅད་ངོ་བོ་ཉིད་མེད་པར་བསྟན་པའི་ཕྱིར་འདི་རྩོམ་མོ་༎ 
 paramārthagambhīrodadhinayamanavagāhya atra kecidāhuḥ - yuktyāgamābhyāṃ sarvadharmaniḥsvabhāvatā sidhyatīti cet?	འདི་ན་ཁ་ཅིག་དོན་དམ་པ་ཟབ་མོའི་ཚུལ་གྱི་རྒྱ་མཚོའི་གཏིང་མི་དཔོགས་ནས་རྩོམ་མོ་༎ སྨྲ་བ་། ལུང་ངམ་རིགས་པའི་སྒོ་ནས་ཆོས་ཐམས་ཅད་ངོ་བོ་ཉིད་མེད་པར་བསྒྲུབ་པར་འགྱུར་གྲང་ན་།
 [1] nāgamastāvacchaktaḥ,	རེ་ཞིག་བཀའ་ལུང་གི་སྒོ་ནས་ནི་ནུས་པ་མ་ཡིན་ཏེ་།
 kenāpi tathābhyupagamābhāvād,	དེ་༄༡༣༤ཨ་༌་༎ སུ་ཡང་ཁས་མི་ལེན་པའི་ཕྱིར་རོ་༎
 vivakṣādhīnatvād vacanānāṃ tadvastusambandhābhāvācca na prāmāṇyam |	ཚིག་ནི་འདོད་པ་ཙམ་གྱི་རྗེས་སུ་བྱེད་པ་ཡིན་ཏེ་། དེ་ལྟ་བུའི་དངོས་པོ་དང་འབྲེལ་པ་མེད་པས་ཚད་མ་དང་མི་ལྡན་པའི་ཡང་ཕྱིར་རོ་༎ འབྲེལ་པ་ཡོད་དུ་ཆུག་ན་ཡང་ཚུ་རོལ་མཐོང་བ་རྣམས་ཀྱིས་གཏན་ལ་དབབ་པར་མི་ནུས་པའི་ཕྱིར་རོ་༎ 
 syādapi sambandhastathāpyarvāgdarśibhiravadhārayituṃ na śakyate prekṣakāstatpravacanamata - mabhyupagamyamānebhyo 'pi niḥsaṃśayaṃ sarvabhāvānāṃ niḥsvabhāvatāpratipādakaṃ kimapi vacanamupadarśayituṃ na śaknuvanti	རྟོགས་པར་བྱེད་པ་གང་དག་དེའི་གསུང་རབ་ཀྱི་ལུགས་ཁས་ལེན་པ་དེ་དག་ལ་ཡང་གང་གིས་ན་ཐེ་ཚོམ་མེད་པར་དངོས་པོ་མ་ལུས་པའི་ངོ་བོ་ཉིད་མེད་པར་རྟོགས་པར་འགྱུར་བ་དེ་ལྟ་བུའི་ཚིག་ནི་ཅུང་ཟད་ཀྱང་ཉེ་བར་བསྟན་པར་མི་ནུས་སོ་༎
 [2] sūtreṣu keṣucit - 'niḥsvabhāvāḥ sarvadharmāḥ, anutpannāḥ, ādiśāntāḥ prakṛtiparinirvṛtā ityādīni [vacanāni] āgacchanti, tānyapi neyārthānyeva veditavyāni,	མདོ་ཁ་ཅིག་ལས་ཆོས་ཐམས་ཅད་ནི་ངོ་བོ་ཉིད་མེད་པ་མ་སྐྱེས་པ་གཟོད་མ་ནས་ཞི་བ་། རང་བཞིན་གྱིས་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པའོ་ཞེས་བྱ་བ་ལ་སོགས་པ་འབྱུང་བ་གང་ཡིན་པ་དེ་ཡང་དྲང་བའི་དོན་ཉིད་དུ་རྟོགས་པར་བྱ་སྟེ་།
 nānābhisandhidvāreṇa bhagavato deśanayā avatāraṇāt |	བཅོམ་ལྡན་འདས་ཀྱི་བསྟན་པ་ནི་དགོངས་པ་སྣ་ཚོགས་ཀྱི་སྒོ་ནས་འཇུག་པའི་ཕྱིར་རོ་༎
 trayāṇāṃ svabhāvānāṃ parikalpitaparatantrapariniṣpannānāṃ kramaśaḥ lakṣaṇata utpattitaḥ paramārthataḥ niḥsvabhāvatāṃ sandhāya sarvadharmā niḥsvabhāvā	དེ་ལ་ངོ་བོ་ཉིད་གསུམ་པོ་ཀུན་བརྟགས་པ་དང་། གཞན་གྱི་དབང་དང་། ཡོངས་སུ་གྲུབ་པ་རྣམས་ནི་གོ་རིམས་བཞིན་དུ་མཚན་ཉིད་དང་། སྐྱེ་བ་དང་། དོན་དམ་པ་ངོ་བོ་ཉིད་མེད་པ་ལས་དགོངས་ནས་ཆོས་ཐམས་ཅད་ངོ་བོ་ཉིད་མེད་པ་ཉིད་དུ་གསུངས་ཏེ་། 
 tena niḥsvabhāvatvādanutpannā,	དེ་བས་ན་ངོ་བོ་ཉིད་མེད་པའི་ཕྱིར་མ་སྐྱེས་པའོ་༎
 tata ādiśāntāḥ,	དེའི་ཕྱིར་གཟོད་མ་ནས་ཞི་བའོ་༎
 tena prakṛtiparinirvṛtāḥ |	དེའི་ཕྱིར་རང་བཞིན་གྱིས་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་སྟེ་།
 tathaiva bhagavatā āryasandhinirmocanasūtrādau sūtrārthābhiprāyayogo deśitaḥ |	དེ་བཞིན་དུ་བཅོམ་ལྡན་འདས་ཉིད་ཀྱིས་འཕགས་པ་དགོངས་པ་ངེས་པར་འགྲེལ་པ་ལ་སོགས་པ་ལས་མདོའི་དོན་གྱི་དགོངས་པ་སྦྱར་བ་བསྟན་པ་ཡིན་ནོ་༎ 
 [3] dvaitābhāsivijñānamātreṇa sarvadharmāṇāmutpattyādayo vibhajyante,	གཞན་ཡང་གཉིས་སུ་སྣང་བའི་རྣམ་པར་ཤེས་པ་ཁོ་ནར་ཆོས་ཐམས་ཅད་སྐྱེ་བ་ལ་སོགས་པ་བྱེ་བྲག་འབྱེད་ཀྱི་།
 na tu svasaṃvedanamātreṇa |	རང་རིག་པ་ཙམ་གྱིས་ནི་མ་ཡིན་ནོ་༎
 dvaitābhāso 'pi mithyā, tena sarvabhāvā api mṛṣā eva vyavasthāpyante |	གཉིས་སུ་སྣང་བ་ཡང་བརྫུན་པའི་ཕྱིར་དེས་རྣམ་པར་གཞག་པའི་ངོ་བོ་ཐམས་ཅད་ཀྱང་བརྫུན་པ་ཉིད་ཡིན་ནོ་༎ 
 parikalpitasya lakṣaṇaniḥsvabhāvatvāt sarvadharmānutpādādayo deśitāḥ,	དེ་བས་ན་ཀུན་བརྟགས་པའི་མཚན་ཉིད་ངོ་བོ་ཉིད་མེད་པ་ཉིད་ཀྱིས་ཆོས་ཐམས་ཅད་སྐྱེ་བ་མེད་པ་ལ་སོགས་པར་གསུངས་ཉིད་ཡིན་ནོ་༎ 
 na tu paramārthataḥ |	།
 ato nāgamadvārā [sarvadharmaniḥsvabhāvatā] sādhayituṃ śakyate |	དེའི་ཕྱིར་རེ་ཞིག་ལུང་གི་སྒོ་ནས་ནི་ནུས་པ་མ་ཡིན་ནོ་༎
 [4] nāpi yuktidvārā |	རིགས་པའི་སྒོ་ནས་ཀྱང་མ་ཡིན་ཏེ་།
 na khalu sarve bhāvāḥ pratyakṣata evaṃ viviktāḥ [śūnyāḥ] anubhūyante | vastutvāttasya viṣayāṇām | abhāvāya tāvad nīrūpatayā na kathamapi svarūpopadarśanena vijñānajanakatvaṃ yujyate,	འདི་ལྟར་རེ་ཞིག་མངོན་སུམ་གྱིས་ནི་དངོས་པོ་མ་ལུས་པ་དབེན་པར་རྟོགས་པར་མི་འགྱུར་ཏེ་། དེའི་ཡུལ་ནི་དངོས་པོ་ཡིན་པའི་ཕྱིར་༄༡༣༤བ་རོ་༏་། དངོས་པོ་མེད་པ་ནི་ངོ་བོ་ཉིད་མེད་པ་ཉིད་ཀྱིས་ཇི་ལྟར་ཡང་རང་གི་ངོ་བོ་ཉེ་བར་སྟོན་པས་རྣམ་པར་ཤེས་པ་སྐྱེད་པར་བྱེད་པ་ཉིད་དུ་རིགས་པ་མ་ཡིན་པའི་ཕྱིར་རོ་༎ 
 janakatve sati vastutvaprasaṅgaḥ,	ཇི་སྟེ་སྐྱེད་པར་བྱེད་པ་ཉིད་ཡིན་ན་ནི་དངོས་པོ་ཉིད་དུ་ཐལ་བར་འགྱུར་ཏེ་རོ་༎ 
