skt	tib
 samādhisaṃbhāraparivartaḥ lokanāthāya namaḥ	༄༡༣༤བ་༅་༎ རྒྱ་གར་སྐད་དུ་། ས་མའ་དྷི་སམབྷ་ར་བ་རི་བརྟ་། བོད་སྐད་དུ་། ཏིང་ངེ་འཛིན་ཚོགས་ཀྱི་ལེའུ་། འཇིག་རྟེན་མགོན་པོ་ལ་ཕྱག་འཚལ་ལོ་༎ དང་པོའི་སྙིང་རྗེའི་སྟོབས་ལས་བྱུང་༎
 bodhicittaṃ dṛḍhaṃ kuryāt pūrva kāruṇyaśaktijam |	རྫོགས་པའི་བྱང་ཆུབ་སེམས་བརྟན་བྱ་༎
 bhavabhogasukhe 'saktaḥ parigrahaparāṅmukhaḥ || 1 ||	སྲིད་པའི་ལོངས་སྤྱོད་བདེ་མ་ཆགས་༎ ཡོངས་སུ་འཛིན་པ་རྒྱབ་ཀྱིས་ཕྱོགས་༎ དད་སོགས་ནོར་ནི་ཕུན་སུམ་ཚོགས་༎
 śraddhādidhanasampanno guruṃ buddhasamaṃ bhajet |	བླ་མ་སངས་རྒྱས་དང་མཉམ་གུས་༎
 taddiṣṭasamayācāraṃ paripālitumudyataḥ || 2 ||	དེས་བསྟན་དམ་ཚིག་སྤྱོད་པ་ནི་༎ ཡོངས་སུ་བསྐྱང་ལ་རབ་ཏུ་བརྩོན་༎
 kumbhaguhyābheṣekaṃ tu prasādāllabhate guroḥ |	བུམ་པ་གསང་བའི་དབང་བསྐུར་བ་༎ བླ་མའི་དྲིན་གྱིས་ཡོངས་སུ་ཐོབ་༎
 kāyavāk cittasaṃśuddhaḥ siddhipātraṃ sa sādhakaḥ || 3 ||	ལུས་ངག་སེམས་ནི་རྣམ་༄༡༣༥ཨ་༌་༎ དག་པའི་༎ སྒྲུབ་པ་པོ་དེ་དངོས་གྲུབ་སྣོད་༎
 samādhyaṅgasamudbhūtasaṃbhārapāripūritaḥ | śīghraṃ siddhyāptirevaṃ ca guhyamantranayasthitiḥ || 4 ||	ཏིང་འཛིན་ཡན་ལག་ལས་བྱུང་བའི་༎ ཚོགས་ནི་ཡོངས་སུ་རྫོགས་པ་༅་༎ རྒྱ་གར་སྐད་དུ་། ས་མའ་དྷི་སམབྷ་ར་བ་རི་བརྟ་། བོད་ཚུལ་གནས་ཡིན་༎ ཏིང་འཛིན་ཡན་ལག་ཉམས་གྱུར་ཅིང་༎
 samādhyaṅgacyutau tasya vipakṣasthititastathā |	དེ་ཡི་མི་མཐུན་ཕྱོགས་གནས་ན་༎
 janmakoṭisahasraiśca samādhirna prasidhyati || 5 ||	སྐྱེ་བ་བྱེ་བ་སྟོང་གིས་ཀྱང་༎ ཏིང་འཛིན་རབ་ཏུ་གྲུབ་མི་འགྱུར་༎ ཏིང་ངེ་འཛིན་ནི་རབ་གྲུབ་ཕྱིར་༎
 tatsamādhiprasidhyartha guhyavṛttasthayogavit |	གསང་སྔགས་སྤྱོད་གནས་རྣལ་འབྱོར་བས་༎
 tad bhinnaṃ cintanaṃ tyaktvā dṛḍhavīryeṇa codyamet || 6 ||	དེ་ལས་གཞན་པའི་སེམས་སྤངས་ཏེ་༎ ག-ཡེང་མེད་བརྩོན་པས་འབད་པར་བྱ་༎
 samādheryāni cāṅgāni vipakṣastadviniścaye |	ཏིང་ངེ་འཛིན་གྱི་ཡན་ལག་དང་༎ མི་མཐུན་ཕྱོགས་གང་ངེས་བྱའི་ཕྱིར་༎
 samādhyaṅgaṃ vipakṣaśca saṃkṣepeṇa samucyate || 7 ||	ཏིང་འཛིན་ཡན་ལག་མི་མཐུན་ཕྱོགས་༎ དེ་ནི་མདོར་བསྡུས་ནས་བཤད་བྱ་༎
