skt	tib
 namo bhagavatyā āryaprajñāpāramitāyai ||	༄༢༨༨ཨ་། །རྒྱ་གར་སྐད་དུ་། ཨའརྱ་པྲཛཉའ་པ་ར་མི་ཏ་ན་ཡ་ཤ་ཏ་པ་ཉཙ་ཤ་ཏི་ཀའ་༎ བོད་སྐད་དུ་། འཕགས་པ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་ཚུལ་བརྒྱ་ལྔ་བཅུ་བ་༎ བཅོམ་ལྡན་འདས་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ལ་ཕྱག་འཚལ་ལོ་༎
 aśp 1| evam mayā śrutam ekasmin samaye bhagavān sarvatathāgatavajrādhiṣṭhānasamayajñānavividhaviśeṣasamanvāgataḥ	འདི་སྐད་བདག་གིས་ཐོས་པའི་དུས་གཅིག་ན་།བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་ཐམས་ཅད་ཀྱིས་མཁྱེན་པའི་བྱེ་བྲག་རྣམ་པ་ཐ་དད་པ་དང་ལྡན་པ་། དེ་བཞིན་གཤེགས་པ་རིན་པོ་ཆེ་ཐམས་ཅད་ཀྱི་ཅོད་པན་གྱིས་།
 sarvatathāgataratnamukuṭatraidhātukābhiṣekaprāptaḥ sarvatathāgatasarvajñajñānamahāyogeśvaraḥ	ཁམས་གསུམ་དུ་དབང་བཅུ་རྫོགས་པ་། དེ་བཞིན་གཤེགས་པ་ཐམས་ཅད་ཀྱི་མ་། ཐམས་ཅད་མཁྱེན་པའི་ཡེ་ཤེས་དང་ལྡན་པ་།
 sarvatathāgatasarvamudrāsamatādhigato viśvakāryakaraṇatayāśeṣānavaśeṣasattvadhātusarvāśāparipūrisarvakarmakṛn	རྣལ་འབྱོར་ཅན་ཆེན་པོའི་དབང་ཕྱུག་། དེ་བཞིན་གཤེགས་པ་ཐམས་ཅད་ཀྱི་ཕྱག་རྒྱས་ཆོས་ཐམས་ཅད་ཀྱི་མཉམ་པ་ཉིད་ཐུགས་སུ་ཆུད་པ་། སྣ་ཚོགས་ཀྱི་བྱ་བ་མཛད་དེ་མ་ལུས་པ་ན་སེམས་ཅན་གྱི་ཁམས་ལུས་པ་མེད་པ་ཐམས་ཅད་ཀྱི་རེ་བ་ཐམས་ཅད་ཡོངས་སུ་བསྐང་བའི་འཕྲིན་ལས་མཛད་པ་། ཐུགས་རྗེ་ཆེན་པོ་རྣམ་པར་སྣང་མཛད་ཆེན་པོ་།
 mahāvairocanaḥ śāśvatas tryadhvasamatāsthitasarvakāyavākcittavajras tathāgataḥ sarvatathāgatādhyuṣitapraśastabhūṣite	རྟག་པ་ཁམས་གསུམ་༄༢༨༨བ་གྱི་མཉམ་པ་ཉིད་ལ་བཞུགས་པ་། སྐུ་དང་། གསུང་དང་། ཐུགས་ཐམས་ཅད་རྡོ་རྗེ་དེ་བཞིན་གཤེགས་པ་། ལྷའི་རྒྱལ་པོ་གཞན་འཕྲུལ་དབང་བྱེད་ཀྱི་གནས་༎ འདོད་པའི་ཁམས་ཐམས་ཅད་ན་།
 mahāmaṇiratnapratyupte vicitravarṇaghaṇṭāvasaktamārutoddhūtapaṭtapatākāsragdāmacāmarahārārdhahāracandropaśobhite sarvakāmadhātūpariparanirmitavaśavartino devarājasya bhavane vijahāra ||	ནོར་བུ་རིན་པོ་ཆེ་ཆེན་པོས་རབ་ཏུ་སྤྲས་པ་དང་། བ་དན་ཁ་དོག་སྣ་ཚོགས་དྲིལ་བུ་བརྒྱུས་པ་རླུང་གིས་བསྐྱོད་པ་དང་། མེ་ཏོག་གི་ཕྲེང་བ་དང་། རྔ་མ་དང་། རྒྱན་ཕྲེང་དང་། ཆུན་འཕྱང་དང་། ཟླ་བ་ལྟ་བུས་མཛེས་པར་བྱས་པ་༎ དེ་བཞིན་གཤེགས་པ་ཐམས་ཅད་བཞུགས་པ་། ཤེས་པ་བསྟོད་པ་ན་།
 aśp 2| aṣṭābhir bodhisattvakoṭībhiḥ sārdham | tadyathā vajrapāṇinā ca bodhisattvena mahāsattvena | avalokiteśvareṇa ca bodhisattvena mahāsattvena | ākāśagarbheṇa ca bodhisattvena mahāsattvena | vajramuṣṭinā ca bodhisattvena mahāsattvena | mañjuśriyā ca bodhisattvena mahāsattvena | sahacittotpāditadharmacakrapravartinā ca bodhisattvena mahāsattvena | gaganagañjena ca bodhisattvena mahāsattvena | sarvamārabalapramardinā ca bodhisattvena mahāsattvena ||	བྱང་ཆུབ་སེམས་དཔའ་བྱེ་བ་ཕྲག་བརྒྱ་དང་ཐབས་ཅིག་ཏུ་བཞུགས་པ་ལ་འདི་ལྟ་སྟེ་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ལག་ན་རྡོ་རྗེ་དང་། སྤྱན་རས་གཟིགས་དབང་ཕྱུག་དང་། ནམ་མཁའི་སྙིང་པོ་དང་། རྡོ་རྗེ་ཁུ་ཚུར་དང་། འཇམ་དཔལ་དང་། སེམས་བསྐྱེད་མ་ཐག་ཏུ་ཆོས་ཀྱི་འཁོར་ལོ་བསྐོར་བ་དང་། ནམ་མཁའ་མཛོད་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བདུད་ཀྱི་སྟོབས་ཐམས་ཅད་རབ་ཏུ་འཇོམས་པ་དང་། དེ་དག་ལ་སོགས་པ་བྱང་ཆུབ་སེམས་དཔའ་བྱེ་བ་ཕྲག་བརྒྱ་དང་ཐབས་ཅིག་སྟེ་།
 aśp 3| evaṃ pramukhābhir aṣṭābhir bodhisattvakoṭībhiḥ parivṛtaḥ puraskṛto dharmaṃ deśayati sma | ādau kalyāṇaṃ madhye kalyāṇaṃ paryavasāne kalyāṇaṃ svarthaṃ suvyañjanam kevalaṃ paripūrṇaṃ pariśuddhaṃ paryavadātaṃ sarvadharmaviśuddhimukhaṃ brahmacaryam saṃprakāśayati sma ||	ཡོངས་སུ་བསྐོར་ཅིང་མདུན་གྱིས་བལྟས་ནས་ཆོས་སྟོན་ཏེ་།
 aśp 4| yad uta sarvadharmasvabhāvaviśuddhimukhaṃ nama	ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་ཚུལ་ཆོས་ཐམས་ཅད་ཀྱི་ངོ་བོ་ཉིད་རྣམ་པར་དག་པའི་སྒོ་ཞེས་བྱ་བ་། ཐོག་མར་དགེ་བ་། བར་དུ་༄༢༨༩ཨ་༌༎ དགེ་བ་། ཐ་མར་དགེ་བ་། དོན་བཟང་པོ་། ཚིག་འབྲུ་བཟང་པོ་། མ་འདྲེས་པ་། ཡོངས་སུ་རྫོགས་པ་། ཡོངས་སུ་བྱང་བ་།
 prajñāpāramitānayaṃ deśayati sma | tadyathā (1) surataviśuddhipadam etad yat uta bodhisattvapadam |	ཡང་དག་པར་སྟོན་ཏེ་། འདི་ལྟར་རབ་ཏུ་དགའ་བ་རྣམ་པར་དག་པའི་གནས་དེ་ནི་།
