skt	tib
 maṅgalācaraṇam	༄༣༣༦བ་༅་༎ རྒྱ་གར་སྐད་དུ་། ཏརྐ་བྷའ་ཤའ་། བོད་སྐད་དུ་། རྟོག་གེའི་སྐད་། སངས་རྒྱས་ལ་ཕྱག་འཚལ་ལོ་༎
 guruṃ praṇamya lokeśaṃ śiśunāmalpamedhasām |	བླ་མ་འཇིག་རྟེན་དབང་བཏུད་ནས་༎ བྱིས་པ་ཡིད་གཞུངས་ཆུང་བ་རྣམས་༎
 dharmakīrtimataṃ śrutyai tarkabhāṣā prakāśyate || pramāṇasāmānyalakṣaṇam	ཆོས་ཀྱི་གྲགས་པའི་ལུགས་མཉན་ཕྱིར་༎ རྟོག་གེའི་སྐད་ནི་རབ་གསལ་བྱ་༎
 iha khalu prekṣāpūrvakāriṇo 'rthijanāḥ sarvapuruṣārthasiddhinimittaṃ pramāṇamanusarantīti pramāṇamādau vyutpādyate |	འདིར་རྟོག་པ་སྔོན་དུ་གཏོང་བ་དོན་དུ་གཉེར་བའི་སྐྱེ་བོ་རྣམས་། སྐྱེས་བུའི་དོན་ཐམས་ཅད་འགྲུབ་པའི་རྒྱུ་མཚན་ཚད་མའི་རྗེས་སུ་འབྲང་བས་དང་པོར་ཚད་མ་གཏན་ལ་དབབ་པར་བྱའོ་༎
 pramāṇaṃ samyagjñānamapūrvagocaram |	ཚད་མ་ནི་ཡང་དག་པའི་ཤེས་པ་སྔར་མ་རྟོགས་པའི་སྤྱོད་ཡུལ་ཅན་ནོ་༎
 pramīyate 'rtho 'neneti pramāṇam | tadeva samyagjñānam, sandehaviparyāsadoṣarahitatvāt |	འདིས་དོན་འཇལ་བས་ན་ཚད་མ་ཡིན་ལ་དེ་ཉིད་ཡང་དག་པའི་ཤེས་པ་སྟེ་ཐེ་ཚོམ་དང་ཕྱིན་ཅི་ལོག་གི་སྐྱོན་དང་བྲལ་བ་ཉིད་ཀྱི་ཕྱིར་རོ་༎ 
 avisaṃvādakaṃ jñānaṃ loke samyag jñānamabhidhīyate |	སླུ་བ་མེད་པའི་ཤེས་པ་ནི་འཇིག་རྟེན་ན་ཡང་དག་པའི་ཤེས་པར་བརྗོད་ལ་ཕྱིར་རོ་༎ 
 na ca saṃśayaviparyāsajñānayoravisaṃvādakatvamasti | yathā sthāṇurvā puruṣo veti jñānasya, marīcikāsu vā jalajñānasya |	། ཐེ་ཚོམ་དང་ཕྱིན་ཅི་ལོག་གི་ཤེས་པ་དག་ལ་མི་སླུ་བ་ཉིད་ཡོད་པ་ཡང་མ་ཡིན་ཏེ་ཤིང་སྐམ་མམ་མི་ཡིན་སྙམ་པའི་ཤེས་པ་དང་། སྨིག་རྒྱུ་ལ་ཆུའི་རྣམ་པར་ཤེས་པ་བཞིན་ནོ་༎
 apūrvo gocaro asyetyapūrvagocaram |	དེའི་སྤྱོད་ཡུལ་སྔར་མེད་པ་ཡིན་པས་སྔར་མ་རྟོགས་པའི་སྤྱོད་ཡུལ་ཅན་ནོ་༎
 gocaro viṣayo ghaṭādiḥ |	སྤྱོད་ཡུལ་ནི་ཡུལ་དེ་བུམ་པ་ལ་སོགས་པ་ཡིན་ལ་༎
