skt	tib
 sūtrārthasamuccayopadeśaḥ	༄༣༠༤ཨ་༅་༎ རྒྱ་གར་སྐད་དུ་། སའུ་ཏརའ་རཐ་ས་མུ་ཙཚ་ཡོ་པ་དེ་ཤ་། བོད་སྐད་དུ་། མདོའི་སྡེའི་དོན་ཀུན་ལས་བཏུས་པའི་མན་ངག་། 
 namo ratnatrayāya	དཀོན་མཆོག་གསུམ་ལ་ཕྱག་འཚལ་ལོ་༎
 saṃdṛśya gambhīramudāramabdhyākāśopamaṃ sūtrasumātṛkāṃ ca |	རྒྱ་མཚོ་ནམ་མཁའ་ལྟར་ཟབ་རྒྱ་ཆེ་བ་༎ མདོ་སྡེའི་སྡེ་སྣོད་མ་མོ་ཀུན་བལྟས་ཤིང་༎
 śrīmadgurorāsyasamudgatārthān duṣprāpaṇīyāṃn vilikhāmi cāham || 1 ||	དཔལ་ལྡན་བླ་མའི་ཞལ་ནས་བྱུང་བ་ཡི་༎
 atra bodhisattvānāṃ ratnopamāḥ pañcāśad dharmāḥ prāṇopamādayaḥ |	རྙེད་པར་དཀའ་བའི་དོན་རྣམས་བྲི་བར་༄༣༠༤བ་བྱ་༏་༏འདིར་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ནོར་ལྟ་བུའི་ཆོས་ནི་ལྔ་བཅུ་སྟེ་། སྲོག་ལྟ་བུ་ལ་སོགས་པའོ་༎
 tān abhidhāsye kiñcit | tadyathā-	དེ་རྣམས་ཅུང་ཟད་བཤད་པར་བྱ་སྟེ་། ཇི་སྐད་དུ་།
 āyurjīvitamādhāra ūṣmavijñānayorhi yaḥ | 2 a ba | yathā sattvāḥ prāṇeṣu snihyantaḥ prāṇāṃścāśrayante,	སྲོག་ནི་ཚེ་ཡིན་དྲོད་དང་ནི་༎ རྣམ་ཤེས་རྟེན་ཉིད་ཡིན་པའོ་༎ ཞེས་སོ་༎
 tathā bodhisattvā api prāṇopamabodhicitte snihyantastadāśrayante |	དེ་ལྟར་སེམས་ཅན་རྣམས་ལ་སྲོག་གཅེས་ཤིང་སྲོག་ལ་བརྟེན་པ་དེ་བཞིན་དུ་བྱང་ཆུབ་སེམས་དཔའ་ལ་ཡང་སྲོག་ལྟ་བུའི་བྱང་ཆུབ་ཀྱི་སེམས་གཅེས་ཤིང་ལ་དེ་ལ་བརྟེན་པའོ་༎
 mātāpitṛsamo dharmastu śūnyatā-karuṇe |	ཕ་མ་ལྟ་བུའི་ཆོས་ནི་སྟོང་པ་ཉིད་དང་། སྙིང་རྗེ་ཡིན་ཏེ་།
 tadanotpāde na bodhisattvasambhavaḥ |	དེས་མ་བསྐྱེད་པའི་བྱང་ཆུབ་སེམས་དཔའ་འབྱུང་བར་མི་འགྱུར་རོ་༎
 gṛhiṇīvat mṛti-śikṣā-karmaṇisaṃcitisaṃjñāni ahorātraṃ triḥ samāgamaḥ |	བྱན་མོ་ལྟ་བུ་ནི་འཆི་བ་དང་༏་བསླབ་པ་དང་། ལས་ཀྱིས་བསགས་པ་བགྲང་བ་རྣམས་ཏེ་། ཉིན་མཚན་ལན་གསུམ་དུ་འགྲོགས་དགོས་པའོ་༎
 gṛhavad daśa kuśalāni |	ཁང་པ་ལྟ་བུ་ནི་དགེ་བ་བཅུ་པོ་ཡིན་ཏེ་།
 imāmi tu gṛhameva durgatidvārapidhānāt |	འདི་ནི་ཁང་པ་ཉིད་དེ་ངན་འགྲོ་དག་གི་སྒོ་གཅོད་པའི་ཕྱིར་།
 dhanopamāni āryasaptadhanāni, alpecchatā, saṃtoṣaśca |	ནོར་ལྟ་བུ་ནི་འཕགས་པའི་ནོར་བདུན་དང་། འདོད་པ་ཆུང་བ་དང་། ཆོག་ཤེས་པའོ་༎
 mitravat tridhātuprayogaṃ kurvannapi nirvāṇāśayatā, vipuladāne 'pi vipākanirapekṣatā, sarvadharmānutpādajñāne 'pi karmavipākānutsargaḥ, sarvadharmanairātmyajñāne 'pi sattveṣu karuṇotpādaḥ |	གྲོགས་པོ་ལྟ་བུ་ནི་སྦྱོར་བ་ཁམས་གསུམ་ན་བྱེད་ཀྱང་བསམ་པ་མྱ་ངན་ལས་འདས་པ་དང་། སྦྱིན་པ་རྒྱ་ཆེན་པོ་གཏོང་ཡང་རྣམ་པར་སྨིན་པ་ལ་རེ་བ་མེད་པ་དང་། ཆོས་ཐམས་ཅད་སྐྱེ་བ་མེད་པར་ཤེས་ཀྱང་ལས་ཀྱི་རྣམ་པར་སྨིན་པ་མི་འདོར་བ་དང་། ཆོས་ཐམས་ཅད་བདག་མེད་པར་ཤེས་ཀྱང་སེམས་ཅན་ལ་སྙིང་རྗེ་བསྐྱེད་པའོ་༎
 mūlasamāḥ śraddhā, śravaṇaṃ, tyāgaḥ , kṣāntiśca |	རྩ་བ་ལྟ་བུ་ནི་དད་པ་དང་། ཐོས་པ་དང་། གཏོང་བ་དང་། བཟོད་པའོ་༎
 kṣetropamaṃ śīlam |	ཞིང་ལྟ་བུ་ནི་ཚུལ་ཁྲིམས་སོ་༎
 bandhusamāḥ daśapāramitāḥ |	ཉེ་དུ་ལྟ་བུ་ནི་ཕ་རོལ་ཏུ་ཕྱིན་པ་བཅུའོ་༎
 ācāryopamāstu ṣaḍanusmṛtayaḥ |	སློབ་དཔོན་ལྟ་བུ་ནི་རྗེས་སུ་དྲན་པ་དྲུག་གོ་༎
