skt	tib
 ālambanaparīkṣāvṛttiḥ (āpv) ācāryadiṅnāgakṛtā namaḥ sarvabuddhabodhisattvebhyaḥ	༄༨༦ཨ་༌་༎ རྒྱ་གར་སྐད་དུ་། ཨའ་ལམ་བ་ན་པ་རའིཀཤི་བྲིཏཏི་། བོད་སྐད་དུ་། དམིགས་པ་བརྟག་པའི་འགྲེལ་པ་། སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ་༎
 ye cakṣurādijñānasyālambanaṃ bāhyārtho 'stītīcchanti | nanu te kalpayanti paramāṇun; tatkāraṇātvāt[jñānasya] | saṃghātaṃ vā tadābhajñānasya jāyamānatvāt | tatra tāvat	གང་དག་མིག་ལ་སོགས་པའི་རྣམ་པར་ཤེས་པའི་དམིགས་པ་ཕྱི་རོལ་གྱི་དོན་ཡིན་པར་འདོད་པ་དེ་དག་ནི་དེའི་རྒྱུ་ཡིན་པའི་ཕྱིར་རྡུལ་ཕྲ་རབ་དག་ཡིན་པའམ་དེར་སྣང་བའི་ཤེས་པ་སྐྱེ་བའི་ཕྱིར་དེ་འདུས་པ་ཡིན་པར་རྟོག་གྲང་ན་། དེ་ལ་རེ་ཞིག་། 
 yadyapīndriyavijñaptergrāhyāṃśaḥ(=aṇavaḥ) kāraṇaṃ bhavet |	དབང་པོ་རྣམ་པར་རིག་པའི་རྒྱུ་༎ ཕྲ་རབ་རྡུལ་དག་ཡིན་མོད་ཀྱི་༎
 atadābhatayā tasyā nākṣavadviṣayaḥ sa tu(aṇavaḥ) || āv_1 ||	དེར་མི་སྣང་ཕྱིར་དེ་ཡུལ་ནི་༎ རྡུལ་ཕྲན་མ་ཡིན་དབང་པོ་བཞིན་༎
 viṣaya iti | jñānena svarūpa meva nirdhāryate | tadākāratayā jāyamānatvāt |	ཡུལ་ཞེས་བྱ་བ་ནི་ཤེས་པས་གང་གིས་རང་གི་ངོ་བོ་ངེས་པར་འཛིན་པ་ཡིན་ཏེ་དེའི་རྣམ་པར་སྐྱེ་བའི་ཕྱིར་རོ་༎
 yadyapyaṇavaḥ tatkāraṇam | tathāpi na tādṛśāḥ akṣavat |	རྡུལ་༄༨༦བ་ཕྲ་མོ་དག་གི་ནི་དེའི་རྒྱུ་ཉིད་ཡིན་དུ་ཟིན་ཀྱང་དེ་ལྟ་མ་ཡིན་ཏེ་དབང་པོ་བཞིན་ནོ་༎ 
 evañca nāṇavastāvadālambanam | saṃghātastu tadābhatve 'pi[jñānamya nālambanam | yataḥ]	དེ་ལྟར་ན་རེ་ཞིག་རྡུལ་ཕྲ་མོ་དག་དམིགས་པ་མ་ཡིན་ནོ་༎ འདུས་པ་ནི་དེར་སྣང་བ་ཉིད་ཡིན་དུ་ཟིན་ཀྱང་། གང་ལྟར་སྣང་དེ་དེ་ལས་མིན་༎
 yadābhāsā na tasmātsā yo 'rthaḥ svāvabhāsivijñaptimutpādayati sahyālambanaṃ yujyate | yataḥ sa eva hyutpattipratyaya ucyate |	དོན་གང་ཞིག་རང་སྣང་བའི་རྣམ་པར་རིག་པ་བསྐྱེད་པ་དེ་ནི་དམིགས་པ་ཡིན་པར་རིགས་ཏེ་། འདི་ལྟར་དེ་ནི་སྐྱེ་བའི་རྐྱེན་ཉིད་དུ་བཤད་པས་སོ་༎
 saṃghātastu naivam |	འདུས་པ་ནི་དེ་ལྟ་ཡང་མ་ཡིན་ཏེ་།
 dravyābhāvād dvicandravat |	རྫས་སུ་མེད་ཕྱིར་ཟླ་གཉིས་བཞིན་༎
 indriyavaikalyāt dvicandradarśanasya tadābhatve 'pi na tasya viṣayo 'sti |	དབང་པོ་མ་ཚང་བའི་ཕྱིར་ཟླ་བ་གཉིས་མཐོང་བ་ནི་དེར་སྣང་བ་ཉིད་ཡིན་དུ་ཟིན་ཀྱང་དེའི་ཡུལ་མ་ཡིན་ནོ་༎
 tadvat saṃghātaḥ dravyato 'sattvena akāraṇātvāt nālambanam |	དེ་བཞིན་དུ་རྫས་སུ་ཡོད་པ་མ་ཡིན་པ་ཉིད་ཀྱིས་རྒྱུ་མ་ཡིན་པའི་ཕྱིར་འདུས་པ་དམིགས་པ་མ་ཡིན་ནོ་༎
 evaṃ bāhyadūyañcaiva na yuktaṃ matigocaraḥ || āv_2 ||	དེ་ལྟར་ཕྱི་རོལ་གཉིས་ཀར་ཡང་༎ བློ་ཡི་ཡུལ་དུ་མི་རུང་ངོ་༎
 aṇuḥ kalāpaśceti bāhyo 'rthaḥ nālambanam, ekāṅgavaikalyāt ||	ཡན་ལག་གཅིག་མ་ཚང་བའི་ཕྱིར་ཕྱི་རོལ་གྱི་རྡུལ་ཕྲ་མོ་དང་ཚོགས་པ་ཞེས་བྱ་བའི་དོན་ནི་དམིགས་པ་མ་ཡིན་ནོ་༎ འདི་ལ་ནི་།
 tatra sādhanaṃ sañcitākāramicchanti kila kecana |	།
