skt	tib
 || namo mañjuśriye kumārabhūtāya || ācāryavasubandhupraṇītaḥ trisvabhāvanirdeśaḥ (tsn)	༄༢༨༡ཨ་༅་༎ རྒྱ་གར་སྐད་དུ་། སབ༹་བྷའ་ཝ་ཏྲ་ཡ་པྲ་བེ་ཤ་སའ་དྷ་ན་། བོད་སྐད་དུ་། རང་བཞིན་གསུམ་ལ་འཇུག་པའི་སྒྲུབ་པ་། སངས་རྒྱས་ལ་ཕྱག་འཚལ་ལོ་༎
 kalpitaḥ paratantraśca pariniṣpanna eva ca |	ཀུན་བརྟགས་དང་ནི་གཞན་དབང་དང་༎ ཡོངས་སུ་གྲུབ་པ་ཉིད་ཀྱང་ནི་༎
 trayaḥ svabhāvā dhīrāṇāṃ gambhīrajñeyamiṣyate || tsn_1 ||	བརྟན་པ་རྣམས་ཀྱི་རང་བཞིན་གསུམ་༎ ཤེས་བྱ་ཟབ་པར་འདོད་པ་ཡིན་༎
 yat khyāti paratantro 'sau yathā khyāti sa kalpitaḥ |	གང་སྣང་དེ་ནི་གཞན་དབང་ཡིན་༎ ཇི་ལྟར་སྣང་བ་ཀུན་བརྟགས་ཏ་༎
 pratyayādhīnavṛttitvāt kalpanāmātrabhāvataḥ || tsn_2 ||	རྐྱེན་ལ་འཇུག་པའི་དབང་ཕྱིར་དང་༎ བརྟག་པའི་དངོས་པོ་ཙམ་ཕྱིར་རོ་༎ དེ་ཡི་སྣང་བ་ཇི་བཞིན་སྣང་༎
 tasya khyāturyathākhyānaṃ yā sadāvidyamānatā |	བརྟག་ཏུ་མེད་པ་ཉིད་གང་ནི་༎ གཞན་དུ་མི་འགྱུར་ཕྱིར་ཉིད་དེ་༎
 jñeyaḥ sa pariniṣpannasvabhāvo 'nanyathātvataḥ || tsn_3 ||	ཡོངས་གྲུབ་རང་བཞིན་ཤེས་པར་བྱ་༎
 tatra kiṃ khyātyasatkalpaḥ kathaṃ khyāti dvayātmanā |	།
 tasya kā nāstitā tena yā tatrādvayadharmatā || tsn_4 ||	དེ་ཡི་མེད་ཉིད་གང་དེ་ཡིས་༎ དེ་རུ་གཉིས་མེད་ཆོས་ཉིད་གང་༎ སེམས་དེ་དེ་རུ་ཡོད་མིན་རྟོག་། 
 asatkalpo 'tra kaścittaṃ yatastena hi kalpyate |	གང་ཕྱིར་དེ་ནི་བརྟགས་པ་ཡིན་༎
 yathā ca kalpayatyartha tathātyantaṃ na vidyate || tsn_5 ||	ཇི་ལྟར་དོན་ནི་བརྟག་བྱེད་པ་༎ དེ་བཞིན་ཤིན་ཏུ་ཡད་?་མ་ཡིན་༎
 taddhetuphalabhāvena cittaṃ dvividhamiṣyate |	རྒྱུ་དང་འབྲས་བུའི་དབྱེ་བ་ཡིས་༎ སེམས་དེ་རྣམ་པ་གཉིས་སུ་འདོད་༎
 yadālayākhyaṃ vijñānaṃ pravṛttyākhyaṃ ca saptadhā || tsn_6 ||	ཀུན་གཞི་རྣམ་པར་ཤེས་གང་དང་༎ འཇུག་པ་ཤེས་བྱ་རྣམས་བདུན་པའི་༎
 saṃkleśavāsanābījaiścitatvāccittamucyate |	ཀུན་ནས་ཉོན་མོངས་བག་ཆགས་ཀྱི་༎ ས་བོན་བསགས་ཕྱིར་སེམས་བརྗོད་དོ་༎ རྣམ་ཤེས་ལྔ་པོ་གཞན་མ་༄༢༨༡བ་ཡིན་༎
 cittamādyaṃ dvitīyaṃ tu citrākārapravṛttitaḥ || tsn_7 ||	སྣ་ཚོགས་རྣམ་པ་འཇུག་ཕྱིར་རོ་༎ ཡང་དག་མ་ཡིན་ཀུན་རྟོག་གང་༎
 samāsato 'bhūtakalpaḥ sa caiṣa trividho mataḥ |	དེ་ནི་བསྡུས་པར་རྣམ་གསུམ་འདོད་༎
 vaipākikastathā naimittiko 'nyaḥ prātibhāsikaḥ || tsn_8 ||	རྣམ་སྨིན་དེ་བཞིན་མཚན་མ་ཅན་༎ སོ་སོར་སྣང་བ་གཞན་མའོ་༎
 prathamo mūlavijñānaṃ tadvipākātmakaṃ yataḥ |	དང་པོའི་རྩ་བའི་རྣམ་ཤེས་ཏེ་༎ གང་ཕྱིར་རྣམ་སྨིན་བདག་ཉིད་དེ་༎
 anyaḥ pravṛttivijñānaṃ dṛśyadṛgvittivṛttitaḥ || tsn_9 ||	འཇུག་པའི་རྣམ་ཤེས་ཕན་ཚུན་མཐོང་༎ མཐོང་བྱ་ཡན་ལག་གཉིས་འཇུག་ཕྱིར་༎
 sadasattvād dvayaikatvāt saṃkleśavyavadānayoḥ |	ཡོད་མེད་ཕྱིར་དང་གཉིས་གཅིག་ཕྱིར་༎ ཀུན་ནས་ཉོན་མོངས་རྣམ་བྱང་ལ་༎
 lakṣaṇābhedataśceṣṭā svabhāvānāṃ gaṃbhīratā || tsn_10 ||	མཚན་ཉིད་དབྱེར་མེད་ཕྱིར་ཟབ་ཉིད་༎ རང་བཞིན་རྣམས་ལ་འདོད་པ་ཡིན་༎ ཤིན་ཏུ་མེད་པ་ཉིད་དག་ནི་༎
