skt	tib
 ratnagotravibhāgo mahāyānottaratantraśāstram 1| prathamaḥ paricchedaḥ oṃ namaḥ śrīvajrasattvāya |	༄༧༤བ་༌་༎ རྒྱ་གར་སྐད་དུ་། མ་ཧའ་ཡའ་ན་ཨཽཏཏ་ར་ཏནཏྲ་ཤའསྟྲ་བཡའ་ཁྱ་། བོད་སྐད་དུ་། ཐེག་པ་ཆེན་པོ་རྒྱུད་བླ་མའི་བསྟན་བཅོས་རྣམ་པར་བཤད་པ་། སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ་༎
 buddhaśca dharmaśca gaṇaśca dhāturbodhirguṇāḥ karma ca bauddhamantyam |	སངས་རྒྱས་ཆོས་ཚོགས་ཁམས་དང་བྱང་ཆུབ་དང་༎ ཡོན་ཏན་སངས་རྒྱས་ཕྲིན་ལས་ཐ་མ་སྟེ་༎
 kṛtsnasya śāstrasya śarīrametat samāsato vajrapadāni sapta || 1 ||	བསྟན་བཅོས་ཀུན་གྱི་ལུས་ནི་མདོར་བསྡུ་ན་༎ རྡོ་རྗེ་ཡི་ནི་གནས་བདུན་འདི་དག་གོ་༎
 vajropamasyādhigamārthasya padaṃ sthānamiti vajrapadam |	རྟོགས་པའི་དོན་རྡོ་རྗེ་ལྟ་བུའི་གནས་ཏེ་། གཞི་ཡིན་པའི་ཕྱིར་རྡོ་རྗེའི་གནས་སོ་༎
 tatra śruticintāmayajñānaduṣprativedhādanabhilāpyasvabhāvaḥ pratyātmavedanīyo 'rtho vajravadveditavyaḥ | yānyakṣarāṇi tamarthamabhivadanti tatprāptyanukūlamārgābhidyotanatastāni tatpratiṣṭhābhūtatvāt padamityucyante |	དེ་ལ་ཐོས་པ་དང་བསམས་པ་ལས་བྱུང་བའི་ཤེས་པས་ཕིགས་པར་དཀའ་བའི་ཕྱིར་ནས་བརྗོད་དུ་མེད་པའི་རང་བཞིན་སོ་སོ་རང་གིས་རིག་པར་བྱ་བའི་དོན་རྡོ་རྗེ་ལྟ་བུར་རིག་པར་བྱའོ་༎ དེ་ཐོབ་པ་དང་རྗེས་སུ་མཐུན་པའི་ལམ་སྟོན་པར་བྱེད་པས་ན་དོན་དེ་བརྗོད་པའི་ཡི་གེ་གང་ཡིན་པ་དེ་དག་ནི་གནས་ཞེས་བརྗོད་༎ དོ་༎ དེའི་རྟེན་དུ་གྱུར་པའི་ཕྱིར་རོ་༎
 iti duṣprativedhārthena pratiṣṭhārthena ca vajrapadatvamarthavyañjanayoranugantavyam |	དེ་ལྟར་ཕིགས་པར་དཀའ་བའི་དོན་དང་། རྟེན་གྱི་དོན་གྱིས་དོན་དང་ཡི་གེ་དག་རྡོ་རྗེ་དང་གནས་ཉིད་དུ་རྟོགས་པར་བྱའོ་༎
 tatra katamo 'rthaḥ katamadvyañjanam |	དེ་ལ་དོན་ནི་གང་། ཡི་གེ་ནི་གང་ཞེ་ན་། རྟོགས་པའི་དོན་རྣམ་པ་བདུན་ནི་དོན་ཞེས་བརྗོད་དེ་། འདི་ལྟ་སྟེ་།
 artha ucyate saptaprakāro 'dhigamārtho yaduta buddhārtho dharmārthaḥ saṃghārtho dhātvartho bodhyartho guṇārthaḥ (rgv 2) karmārthaśca | ayamucyate 'rthaḥ |	སངས་རྒྱས་ཀྱི་དོན་དང་། ཆོས་ཀྱི་དོན་དང་། དགེ་འདུན་གྱི་དོན་དང་། ཁམས་ཀྱི་དོན་དང་། བྱང་ཆུབ་ཀྱི་དོན་དང་། ཡོན་ཏན་གྱི་དོན་དང་། ཕྲིན་ལས་ཀྱི་དོན་དང་། འདི་ནི་དོན་ཞེས་བྱའོ་༎
 yairakṣaraireṣa saptaprakāro 'dhigamārthaḥ sūcyate prakāśyata idamucyate vyañjanam |	ཡི་གེ་གང་དག་གིས་རྟོགས་པའི་དོན་རྣམ་པ་བདུན་པོ་འདི་དག་སྟོན་པར་བྱེད་། གསལ་བར་བྱེད་པ་དེ་ནི་ཡི་གེ་ཞེས་བྱའོ་༎
 sa caiṣa vajrapadanirdeśo vistareṇa yathāsūtramanugantavyaḥ |	རྡོ་རྗེའི་གནས་བསྟན་པ་དེ་ཡང་རྒྱས་པར་མདོ་ཇི་ལྟ་བ་བཞིན་དུ་རྟོགས་པར་བྱ་སྟེ་།
