skt	tib
 śāntidevaviracitaḥ bodhicaryāvatāraḥ | || oṃ namo buddhāya || 1 bodhicittānuśaṃso nāma prathamaḥ paricchedaḥ |	༄༡བ་༅་༎ རྒྱ་གར་སྐད་དུ་། བོ་དྷི་སཏབ༹་ཙརྱ་ཨཨ་བ་ཏའ་ར་། བོད་སྐད་དུ་། བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པ་། སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་dd་ལ་ཕྱག་འཚལ་ལོ་༎
 sugatān sasutān sadharmakāyān praṇipatyādarato 'khilāṃśca vandyān |	བདེ་གཤེགས་ཆོས་ཀྱི་སྐུ་མངའ་སྲས་བཅས་དང་༎ ཕྱག་འོས་ཀུན་ལའང་གུས་པར་ཕྱག་འཚལ་ཏེ་༎
 sugatātmajasaṃvarāvatāraṃ kathayiṣyāmi yathāgamaṃ samāsāt || sbca_1|1 ||	བདེ་གཤེགས་སྲས་ཀྱི་སྡོམ་ལ་འཇུག་པ་ནི་༎ ལུང་བཞིན་མདོར་བསྡུས་ནས་ནི་བརྗོད་པར་བྱ་༎ སྔོན་ཆད་མ་བྱུང་བ་ཡང་འདིར་བརྗོད་མེད་༎
 na hi kiṃcidapūrvamatra vācyaṃ na ca saṃgrathanakauśalaṃ mamāsti |	སྡེབ་སྦྱོར་མཁས་པའང་བདག་ལ་ཡོད་མིན་ཏེ་༎
 ata eva na me parārthacintā svamano vāsayituṃ kṛtaṃ mayedam || sbca_1|2 ||	དེ་ཕྱིར་གཞན་དོན་བསམ་པ་བདག་ལ་མེད་༎ རང་གི་ཡིད་ལ་བསྒོམ་ཕྱིར་ངས་འདི་བརྩམས་༎
 mama tāvadanena yāti vṛddhiṃ kuśalaṃ bhāvayituṃ prasādavegaḥ |	དགེ་བ་བསྒོམ་ཕྱིར་བདག་གི་དད་པའི་ཤུགས་༎ འདི་དག་གིས་ཀྱང་རེ་ཞིག་འཕེལ་འགྱུར་ལ་༎ བདག་དང་སྐལ་བ་མཉམ་པ་གཞན་གྱིས་ཀྱང་༎
 atha matsamadhātureva paśyed aparo 'pyenamato 'pi sārthako 'yam || sbca_1|3 ||	ཅི་སྟེ་འདི་དག་མཐོང་ན་དོན་ཡོད་འགྱུར་༎
 kṣaṇasaṃpadiyaṃ sudurlabhā pratilabdhā puruṣārthasādhanī |	དལ་འབྱོར་འདི་ནི་རྙེད་པར་ཤིན་ཏུ་དཀའ་༎ སྐྱེས་བུའི་དོན་སྒྲུབ་ཐོབ་པར་གྱུར་པ་ལ་༎
 yadi nātra vicintyate hitaṃ punarapyeṣa samāgamaḥ kutaḥ || sbca_1|4 ||	གལ་ཏེ་འདི་ལ་ཕན་པ་༄༢ཨ་༌་༎ མ་བསྒྲུབས་ན་༎ ཕྱིས་འདི་ཡང་དག་འབྱོར་པར་ག་ལ་འགྱུར་༎
 rātrau yathā meghaghanāndhakāre vidyut kṣaṇaṃ darśayati prakāśam |	ཇི་ལྟར་མཚན་མོ་མུན་ནག་སྤྲིན་རུམ་ན་༎ གློག་འགྱུ་སྐད་ཅིག་བར་སྣང་སྟོན་པ་ལྟར་༎ ད་བཞིན་སངས་རྒྱས་མཐུ་ཡིས་བརྒྱ་ལམ་ན་༎
 buddhānubhāvena tathā kadācil lokasya puṇyeṣu matiḥ kṣaṇaṃ syāt || sbca_1|5 ||	འཇིག་རྟེན་བསོད་ནམས་བློ་གྲོས་ཐང་འགའ་འབྱུང་༎
 tasmācchubhaṃ durbalameva nityaṃ balaṃ tu pāpasya mahatsughoram |	དེ་ལྟས་དགེ་བ་ཉམ་ཆུང་ཉིད་ལ་རྟག་༎ སྡིག་པ་སྟོབས་ཆེན་ཤིན་ཏུ་མི་བཟད་པ་༎ དེ་ནི་རྫོགས་པའི་བྱང་ཆུབ་སེམས་མིན་པ་༎
 tajjīyate 'nyena śubhena kena saṃbodhicittaṃ yadi nāma na syāt || sbca_1|6 ||	དགེ་གཞན་གང་གིས་ཟིལ་གྱིས་གནོན་པར་འགྱུར་༎
 kalpānanalpān pravicintayadbhi rdṛṣṭaṃ munīndrairhitametadeva |	བསྐལ་པ་དུ་མར་རབ་དགོངས་མཛད་པ་ཡི་༎ ཐུབ་དབང་རྣམས་ཀྱིས་འདི་ཉིད་ཕན་བར་གཟིགས་༎ འདིས་ནི་ཚད་མེད་སྐྱེ་བོའི་ཚོགས་རྣམས་ཀྱིས་༎
 yataḥ sukhenaiva sukhaṃ pravṛddham utplāvayatyapramitāñjanaughān || sbca_1|7 ||	བདེ་མཆོག་བདེ་བླག་ཉིད་དུ་ཐོབ་པར་བྱེད་༎
 bhavaduḥkhaśatāni tartukāmairapi sattvavyasanāni hartukāmaiḥ |	སྲིད་པའི་སྡུག་བསྔལ་བརྒྱ་ཕྲག་གཞོམ་འདོད་ཅིང་༎
 bahusaukhyaśatāni bhoktukāmair na vimocyaṃ hi sadaiva bodhicittam || sbca_1|8 ||	སེམས་ཅན་མི་བདེ་བསལ་བར་འདོད་པ་དང་༎ བདེ་མང་བརྒྱ་ཕྲག་སྤྱོད་པར་འདོད་པས་ཀྱང་༎ བྱང་ཆུབ་སེམས་ཉིད་རྟག་ཏུ་གཏང་མི་བྱ་༎ བྱང་ཆུབ་སེམས་སྐྱེས་གྱུར་ན་སྐད་ཅིག་གིས་༎ འཁོར་བའི་བཙོན་རར་བསྡམས་པའི་ཉམ་ཐག་རྣམས་༎
 bhavacārakabandhano varākaḥ sugatānāṃ suta ucyate kṣaṇena |	བདེ་གཤེགས་རྣམས་ཀྱི་སྲས་ཞེས་བརྗོད་བྱ་ཞིང་༎
