skt	tib
 āryaśūraviracitā bodhisattvāvadānamālāparaparyāyā jātakamālā oṃ namaḥ śrīsarvabuddhabodhisattvebhyaḥ ||	༄༡བ་༅་༎ རྒྱ་གར་སྐད་དུ་། ཛའ་ཏ་ཀ་ནའ་ལ་། བོད་སྐད་དུ་། སྐྱེས་པའི་རབས་ཀྱི་རྒྱུད་། བམ་པོ་དང་པོ་། བཅོམ་ལྡན་འདས་ངག་གི་དབང་པོ་ལ་ཕྱག་འཚལ་ལོ་༎
 śrīmanti sadguṇaparigrahamaṅgalāni kīrtyāspadānyanavagītamanoharāṇi |	དཔལ་dd་ལྡན་ཡོན་ཏན་དམ་པས་ཡོངས་བཟུང་བཀྲ་ཤིས་པ་༎ གྲགས་པའི་གཞིར་གྱུར་མ་སྨད་ཤིན་ཏུ་ཡིད་དུ་འོང་༎ ཐུབ་པའི་སྐུ་ཚེ་སྔ་མའི་སྤྱོད་པ་རྨད་བྱུང་རྣམས་༎
 pūrvaprajanmasu muneścaritādbhu tāni bhaktyā svakāvyakusumāñjalinārcayiṣye || jm_1|1 ||	བདག་གི་སྙན་དངགས་མེ་ཏོག་སྙིམ་པས་གུས་པས་མཆོད་༎
 ślādhyairamībhirabhilakṣitacinhabhūtairādeśito bhavati yatsugatatvamārgaḥ |	གྲགས་པའི་མཚན་མར་གྱུར་པ་བཟང་པོ་འདི་རྣམས་ཀྱིས་༎ བདེ་བར་གཤེགས་འགྱུར་ལམ་རྣམས་གང་ཡིན་བསྟན་པར་འགྱུར་༎
 syādeva rūkṣamanasāmapi ca prasādo dharmyāḥ kathāśca ramaṇīyataratvamīyuḥ || jm_1|2 ||	ཡིད་ལ་དད་པ་མེད་པ་རྣམས་ཀྱང་དད་པར་འགྱུར་༎ ཆོས་དང་ལྡན་པའི་གཏམ་གྱིས་རབ་ཏུ་དགའ་བར་འགྱུར་༎ འཇིག་རྟེན་མཆོག་གི་སྤྱོད་པ་དམ་པ་ཕྱོགས་ཙམ་གྱིས་༎
 lokārthamityabhisamīkṣya kariṣyate 'yaṃ śrutyārṣayuktyaviguṇena pathā prayatnaḥ | lokottamasya caritātiśayapradeśaiḥ svaṃ prātibhaṃ gamayituṃ śrutivallabhatvam || jm_1|3 ||	བདག་གི་སྙན་དངགས་མཉན་དུ་རུང་བར་བྱ་བའི་ཕྱིར་༎ ལུང་དང་གཙུག་ལག་རིག་པར་མི་འགལ་ལམ་བདག་གིས་༎ དེ་ལྟར་འཇིག་རྟེན་དོན་གྱུར་སྙམ་ནས་འདི་བརྩམས་སོ་༎
 svārthodyatairapi parārthacarasya yasya naivānvagamyata guṇapratipattiśobhā |	རང་དོན་བརྩོན་པས་གཞན་དོན་བརྩོན་པ་གང་༄༢ཨ་༌་༎ ཡིན་པ་༏་། ཡོན་ཏན་བསྒྲུབ་པ་བཟང་པོའི་རྗེས་སུ་མཐུན་མ་གྱུར་༎
 sarvajña ityavitathākṣaradīptakīrti mūrdhnā name tamasamaṃ sahadharmasaṃgham || jm_1|4 || 1 vyāghrījātakam	ཐམས་ཅད་མཁྱེན་ཅེས་བརྗོད་པ་མ་ནོར་གསལ་བར་གྲགས་༎ མཉམ་མེད་དེ་དང་ཆོས་དང་དགེ་འདུན་སྤྱི་བོས་འདུད་༎
 sarvasattveṣvakāraṇaparamavatsalasvabhāvaḥ sarvabhūtātmabhūtaḥ pūrvajanmasvapi sa bhagavāniti buddhe bhagavati paraḥ prasādaḥ kāryaḥ ||	བཅོམ་ལྡན་འདས་དེ་སྐུ་ཚེ་སྔ་མ་ལ་ཡང་། སེམས་ཅན་ཐམས་ཅད་ལ་རྒྱུ་མེད་པར་རབ་ཏུ་བྱམས་པའི་ངོ་བོ་ཉིད་ཡིན་པས་། སངས་རྒྱས་བཅོམ་ལྡན་འདས་ལ་སེམས་རབ་ཏུ་དང་བས་ཕྱག་འཚལ་ལོ་༎ དེ་ཡང་འདི་སྐད་ཐོས་སོ་༎ བདག་ཅག་གི་བླ་མ་དཀོན་མཆོག་གསུམ་བླ་མར་བྱེད་པ་།
 tadyathānuśrūyate - ratnatrayagurubhiḥ pratipattiguṇābhirādhitagurubhirguṇapravicayagurubhirasmadgurubhiḥ parikīrtyamānamidaṃ bhagavataḥ pūrvajanmāvadānam	སྒྲུབ་པའི་ཡོན་ཏན་རྣམས་ཀྱིས་བླ་མ་མགུ་བར་བྱས་པ་། ཡོན་ཏན་གྱི་ཚོགས་ཀྱིས་བླ་མར་གྱུར་པ་རྣམས་ཀྱིས་། བཅོམ་ལྡན་འདས་ཀྱི་སྐུ་ཚེ་སྔ་མའི་རྟོགས་པ་བརྗོད་པ་འདི་ཡོངས་སུ་བསྒྲགས་པ་རྗེས་སུ་ཐོས་ཏེ་། བྱང་ཆུབ་སེམས་དཔའ་ཡིད་དམ་བཅས་པ་ཁྱད་པར་ཅན་དང་མཐུན་པར་གྱུར་པ་།
 bodhisattvaḥ kilāyaṃ bhagavānbhūtaḥ pratijñātiśayasadṛśairdānapriyavacanārthacaryāprabhṛtibhiḥ prajñāparigrahaniravadyaiḥ kārūṇyanisyandairlokamanugṛhṇan svadharmābhiratyupanataśucivṛttinyuditodite mahati brāhmaṇakule janmaparigrahaṃ cakāra |	སྦྱིན་པ་དང་། ཚིག་སྙན་པ་དང་། དོན་སྤྱོད་པ་ལ་སོགས་པ་ཤེས་རབ་ཀྱིས་ཡོངས་སུ་ཟིན་པས་སྐྱོན་མེད་ཅིང་སྙིང་རྗེའི་རྒྱུ་མཐུན་པ་རྣམས་ཀྱིས་འཇིག་རྟེན་ཡོངས་སུ་འཛིན་པ་ན་། རང་གི་ཆོས་ལ་མངོན་པར་དགའ་བ་ལས་གྱུར་པའི་གཙང་སྦྲ་དང་། སྤྱོད་པ་དང་ལྡན་པའི་བྲམ་ཟེའི་རིགས་ཆེན་པོ་ཇེ་མཐོ་ཇེ་མཐོར་གྱུར་པ་ཞིག་ཏུ་སྐྱེ་བ་༄༢བ་ཡོངས་སུ་བཟུང་བར་གྱུར་ཏོ་༎ ཞེས་གྲགས་སོ་༎
 sa kṛtasaṃskārakramo jātakarmādibhirabhivardhamānaḥ (vaidya 2)	དེ་སྐྱེས་པའི་ལས་བྱ་བ་ལ་སོགས་པས་སྦྱངས་པ་རིམ་པ་བཞིན་དུ་བྱས་ཤིང་མངོན་པར་སྐྱེས་པ་ནི་། 
