skt	tib
 vigrahavyāvartanī (vv)	༄༢༧ཨ་༌་༎ རྒྱ་གར་སྐད་དུ་། བི་གྲ་ཧ་བྱ་བརྟ་ནི་ཀའ་རི་ཀའ་ནའ་མ་། བོད་སྐད་དུ་། རྩོད་པ་བཟློག་པའི་ཚིག་ལེའུར་བྱས་པ་ཞེས་བྱ་བ་། འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་ལ་ཕྱག་འཚལ་ལོ་༎
 sarveṣāṃ bhāvānāṃ sarvatra na vidyate svabhāvaścet |	གལ་ཏེ་དངོས་པོ་ཐམས་ཅད་ཀྱི་༎ རང་བཞིན་ཀུན་ལ་ཡོད་མིན་ན་༎ ཁྱོད་ཀྱི་ཚིག་ཀྱང་རང་བཞིན་མེད་༎
 tvadvacanamasvabhāvaṃ na nivartayituṃ svabhāvamalam || vv_1 ||	རང་བཞིན་བཟློག་པར་མི་ནུས་སོ་༎
 atha sasvabhāvametadvākyaṃ śrutvā hatā pratijñā te |	འོན་ཏེ་ཚིག་དེ་རང་བཞིན་བཅས་༎ ཁྱོད་ཀྱི་དམ་བཅའ་སྔ་མ་ཉམས་༎ མི་འདྲ་ཉིད་དེ་དེ་ཡིན་ན་༎
 vaiṣamikatvaṃ tasmin viśeṣahetuśca vaktavyaḥ || vv_2 ||	ཁྱད་པར་གཏན་ཚིགས་བརྗོད་པར་གྱིས་༎
 mā śabdavadityetat syātte buddhirna caitadupapannam |	དེ་སྒྲ་མ་འབྱིན་ལྟ་བུའོ་ཞེས་༎ ཁྱོད་བློ་སེམས་ན་དེ་མི་འཐད་༎
 śabdenātra satā bhaviṣyato vāraṇaṃ tasya || vv_3 || pratiṣedhaḥ pratiṣeddhyo 'pyevamiti mataṃ bhavet tadasadeva |	འདི་ལ་སྒྲ་ནི་ཡོད་པ་ཡིས་༎ འབྱུང་བར་འགྱུར་བ་དེ་བཟློག་ཡིན་༎ འགོག་པའི་འགོག་པའང་དེ་ལྟ་ཞེས་༎ འདོད་ན་དེ་ཡང་བཟང་མིན་ཏེ་༎
 evaṃ tava pratijñā lakṣaṇato duṣyate na mama || vv_4 ||	ཁྱོད་ཀྱི་དམ་བཅའི་མཚན་ཉིད་ལས་༎ དེ་ལྟར་སྐྱོན་ཡོད་ངེད་ལ་མེད་༎
 pratyakṣeṇa hi tāvan yadyupalabhya vinivartayasi bhāvān |	རེ་ཞིག་གལ་ཏེ་མངོན་སུམ་གྱིས་༎ དངོས་རྣམས་དམིགས་ནས་ཟློག་བྱེད་པ་༎
 tannāsti pratyakṣaṃ bhāvā yenopalabhyante || vv_5 ||	གང་གིས་དངོས་རྣམས་དམིགས་འགྱུར་བ་༎ མངོན་སུམ་དེ་ནི་མེད་པ་ཡིན་༎
