skt	tib
 namo bodhisattvāya mañjuśriye kumārabhūtāya |	༄༢༣༨ཨ་༅་༎ རྒྱ་གར་སྐད་དུ་། བོ་དྷི་པའ་ཐ་པྲ་དའི་པམ་། བོད་སྐད་དུ་། བྱང་ཆུབ་ལམ་གྱི་སྒྲོན་མ་། བྱང་ཆུབ་སེམས་དཔའ་འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་ལ་ཕྱག་འཚལ་ལོ་༎
 kālatrayākhilajināṃśca tadīyadharmān saṅghān mahādaratayā praṇipatya cāpi |	དུས་གསུམ་རྒྱལ་བ་ཐམས་ཅད་དག་དང་དེའི་ཆོས་དང་༎ དགེ་འདུན་རྣམས་ལ་གུས་པ་ཆེན་པོས་ཕྱག་བྱས་ཏེ་༎
 bodhiprabheṇa kathito viśadīkaromi śiṣyottamena khalu bodhipathapradipam || bpp_1 ||	སློབ་མ་བཟང་པོ་བྱང་ཆུབ་འོད་ཀྱིས་བསྐུལ་གྱུར་པས་༎ བྱང་ཆུབ་ལམ་གྱི་སྒྲོན་མ་རབ་ཏུ་གསལ་བར་བྱ་༎ ཆུང་ངུ་༄༢༣༨བ་འབྲིང་དང་མཆོག་གྱུར་པས་༎
 puruṣāstrividhā jñeyā uttamādhamamadhmāḥ |	སྐྱེས་བུ་གསུམ་དུ་ཤེས་པར་བྱ་༎
 likhyate lakṣaṇaṃ teṣāṃ sphuṭaṃ pratyekabhedataḥ || bpp_2 ||	དེ་དག་མཚན་ཉིད་རབ་གསལ་བ་༎ སོ་སོའི་དབྱེ་བ་བྲི་བར་བྱ་༎
 upāyena tu kenāpi kevalaṃ saṃsṛteḥ sukham |	གང་ཞིག་ཐབས་ནི་གང་དག་གིས་༎ འཁོར་བའི་བདེ་བ་ཙམ་དག་ལ་༎ རང་ཉིད་དོན་དུ་གཉེར་བྱེད་པ་༎
 svasyaivārthe ya īheta jñeyaḥ so puruṣo 'dhamaḥ || bpp_3 ||	དེ་ནི་སྐྱེས་བུ་ཐ་མར་ཤེས་༎
 pāpakarmanivṛttātmā bhavasukhāt parāṅmukhaḥ |	སྲིད་པའི་བདེ་ལ་རྒྱབ་ཕྱོགས་ཤིང་༎ སྡིག་པའི་ལས་ལས་ལྡོག་བདག་ཉིད་༎
 ātmanirvāṇamātrārthī yo naro madhyamastu saḥ || bpp_4 ||	གང་ཞིག་རང་ཞི་ཙམ་དོན་གཉེར་༎ སྐྱེས་བུ་དེ་ནི་འབྲིང་ཞེས་བྱ་༎
 svasantānagatairduḥkhairduḥkhasyānyasya sarvathā |	རང་རྒྱུད་གཏོགས་པའི་སྡུག་བསྔལ་གྱིས་༎ གང་ཞིག་གཞན་གྱི་སྡུག་བསྔལ་ཀུན་༎ ཡང་དག་ཟད་པར་ཀུན་ནས་འདོད་༎
 sarvasya yaḥ kṣayaṃ kāṅkṣeduttamaḥ puruṣastu saḥ || bpp_5 || kāṅkṣanto hi varāṃ bodhiṃ sattvānāmuttamāstathā |	སྐྱེས་བུ་དེ་ནི་མཆོག་ཡིན་ནོ་༏་། སེམས་ཅན་དམ་བ་བྱང་ཆུབ་མཆོག་།འདོད་པར་གྱུར་བ་དེ་དག་ལ་༎
 darśitān gurubhistebhyaḥ sadupāyāṃ pracakṣmahe || bpp_6 ||	བླ་མ་རྣམས་ཀྱིས་བསྟན་པ་ཡི་༎ ཡང་དག་ཐབས་ནི་བཤད་པར་བྱ་༎
 sambuddhacitramūrtyādistūpasaddharmasammukhaḥ |	རྫོགས་སངས་བྲིས་སྐུ་ལ་སོགས་དང་༎ མཆོད་རྟེན་དམ་པ་མངོན་ཕྱོགས་ནས་༎
 puṣpaidhupaiḥ padārthaiśca yathāprāptaiḥ supūjayet || bpp_7 ||	།
 samantabhadracaryoktā pūjā saptavidhāpi ca |	ཀུན་བཟང་སྤྱོད་ལས་གསུངས་པ་ཡི་༎ མཆོད་པ་རྣམ་པ་བདུན་དག་ཀྱང་༎ བྱང་ཆུབ་སྙིང་པོའི་མཐར་ཐུག་པར་༎
 bodhisārasya paryantam avaivartikacittataḥ || bpp_8 ||	མི་ལྡོག་པ་ཡི་སེམས་དག་གིས་༎ དཀོན་མཆོག་གསུམ་ལ་རབ་དད་ཅིང་༎
 suśraddhayā triratneyaḥ bhumau saṃsthāpya jānunī |	པུས་མོ་ལྷ་ང་སར་བཙུགས་ནས་༎
 bhūtvā kṛtāñjaliścāpi triścādau śaraṇaṃ vrajet || bpp_9 ||	ཐལ་མོ་སྦྱར་བ་བྱས་ནས་ནི་༎ དང་པོར་སྐྱབས་འགྲོ་ལན་གསུམ་བྱ་༎
 tataḥ samastasattveṣu maitrīcitta puraskṛtaḥ |	དེ་ནས་སེམས་ཅན་ཐམས་ཅད་ལ་༎ བྱམས་པའི་སེམས་ནི་སྔོན་འགྲོ་བས་༎
 durgatitrayājanmādisaṅkrāntimaraṇādibhiḥ || bpp_10 ||	ངན་སོང་གསུམ་དུ་སྐྱེ་སོགས་དང་༎ འཆི་འཕོ་སོགས་ཀྱིས་སྡུག་བསྔལ་བའི་༎ འགྲོ་བ་ས་ལུས་ལ་བལྟས་ཏེ་༎
 dṛṣṭvāśeṣaṃ jagaddukhaṃ duḥkhena dukhitāyāśca |	སྡུག་བསྔལ་གྱིས་ནི་སྡུག་བསྔལ་བ་༎
 duḥkhahetostathā duḥkhāt jagatāṃ muktikāṅkṣayā || bpp_11 ||	སྡུག་བསྔལ་སྡུག་བསྔལ་རྒྱུ་མཚན་ལས་༎ འགྲོ་བ་ཐར་པར་འདོད་པ་ཡིས་༎ ལྡོག་པ་མེད་པར་དམ་འཆའ་བའི་༎
 bodhicittaṃ samutpādyamanāpāyipratijñayā |	བྱང་ཆུབ་སེམས་ནི་བསྐྱེད་པར་བྱ་༎
 evaṃ praṇidhicittānām utpādetu guṇāśca ye || bpp_12 ||	དེ་ལྟར་སྨོན་པའི་སེམས་དག་ནི་༎ བསྐྱེད་པའི་ཡོན་ཏན་གང་ཡིན་པ་༎
 te gaṇḍavyūhasūtreṣu maitreyeṇa prabhāṣitāḥ |	དེ་ནི་སྡོང་པོ་བཀོད་པ་ཡི་༎ མདོ་ལས་བྱམས་པས་རབ་ཏུ་བཤད༎
 sūtrasya tasya paṭhanācchravaṇād gurorvā	དེ་ཡི་མདོ་ཀློག་པའམ་བླ་མ་ལ་མཉན་ཏེ་༎
 sambodhicittaguṇakāni nirantakāni || bpp_13 ||	རྫོགས་པའི་བྱང་ཆུབ་སེམས་ཀྱི་ཡོན་ཏན་མཐའ་མེད་པ་༎
 vijñāya tasya khalu saṃsthitārarṇāna |	རྣམ་པར་ཤེས་པར་བྱས་ལ་དེ་ནས་རྒྱུ་མཚན་དུ་༎
 cittaṃ tathā samudayeta muhurmuhaśca |	དེ་ལྟར་ཡང་དང་ཡང་དུ་སེམས་ནི་བསྐྱེད་པར་བྱ་༎
 vīradattaparīpṛcchāsūtre puṇyaṃ pradarśitam || bpp_14 ||	དཔའ་སྦྱིན་གྱིས་ཞུས་མདོ་དག་ལས་༎ འདི་ཡི་བསོད་ནམས་རབ་བསྟན་པ་༎
