skt	tib
 pratītyasamutpādahṛdayakārikā (pshk) nāgārjunakṛtā	༄༡༤༦བ་༅་༎ རྒྱ་གར་སྐད་དུ་། པྲ་ཏི་ཏྱ་ས་མུ་ཏཔ་ད་ཧྲི་ད་ཡ་ཀའ་རི་ཀའ་། བོད་སྐད་དུ་། རྟེན་ཅིང་འབྲེལ་པར་འབྱུང་བའི་སྙིང་པོའི་ཚིག་ལེའུར་བྱས་པ་། འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་ལ་ཕྱག་འཚལ་ལོ་༎ ཡན་ལག་བྱེ་བྲག་བཅུ་གཉིས་གང་༎
 dvādaśa ye 'ṅgaviśeṣā muninoddiṣṭāḥ pratītyasambhūtāḥ |	ཐུབ་པས་རྟེན་འབྱུང་གསུངས་དེ་དག་། 
 te kleśakarmaduḥkheṣu saṅgṛhītāstriṣu yathāvat || pshk_1 ||	ཉོན་མོངས་ལས་དང་སྡུག་བསྔལ་དང་༎ གསུམ་པོ་དག་ཏུ་ཟད་པར་འདུས་༎
 ādyāṣṭamanavamāḥ syuḥ kleśāḥ karma dvitīyadaśamau ca |	དང་པོ་བརྒྱད་དང་དགུ་ཉོན་མོངས་༎ གཉིས་དང་བཅུ་པ་ལས་ཡིན་ཏེ་༎
 śeṣāḥ sapta ca duḥkhaṃ trisaṅgrahā dvādaśa tu dharmāḥ || pshk_2 ||	ལྷག་མ་བདུན་ཡང་སྡུག་བསྔལ་ཡིན་༎ བཅུ་གཉིས་ཆོས་ནི་གསུམ་དུ་འདུས་༎
 tribhyo bhavati dvandvaṃ dvandvātprabhavanti sapta saptabhyaḥ | traya udbhavanti bhūyastadeva[tu] bhramati bhavacakram || pshk_3 ||	གསུམ་པོ་དག་ལས་གཉིས་འབྱུང་སྟེ་༎ གཉིས་ལས་བདུན་འབྱུང་བདུན་ལས་ཀྱང་༎ གསུམ་འབྱུང་སྲིད་པའི་འཁོར་ལོ་དེ་༎ ཉིད་ནི་ཡང་དང་ཡང་དུ་འཁོར་༎ འགྲོ་ཀུན་རྒྱུ་དང་འབྲས་བུ་སྟེ་༎
 hetuphalañca[hi]sarvaṃ jagadanyo nāsti kaścidiha sattvaḥ |	འདི་ལ་སེམས་ཅན་ཅི་ཡང་མེད་༎
 śūnyebhya eva śūnyā dharmāḥ prabhavanti dharmebhyaḥ || pshk_4 ||	སྟོང་པ་ཁོ་ནའི་ཆོས་རྣམས་ལས་༎ སྟོང་པའི་ཆོས་རྣམས་འབྱུང་བ་ཟད་༎ བདག་དང་བདག་གི་མེད་པའི་ཆོས་༎
 svādhyāyadīpamudrādarpaṇaghoṣa 'rkakāntabījāmlaiḥ |	ཁ་ཐོན་མར་མེ་མེ་ལོང་རྒྱ་༎ མེ་ཤེལ་ས་བོན་སྐྱུར་དང་སྒྲས་༎
 skandhapratisandhirasaṅkramaśca vidvadbhiravadhāryau || pshk_5 ||	ཕུང་པོ་ཉིང་མཚམས་སྦྱོར་བ་ཡང་༎ མི་འཕོ་བར་ཡང་མཁས་རྟོགས་བྱ་༎ ཤིན་ཏུ་ཕྲ་བའི་དངོས་ལ་ཡང་༎
 ya ucchedaṃ prakalpayatyatisūkṣme 'pi vastuni |	གང་གི་ཆད་པར་རྣམ་བརྟགས་པ་༏་། རྣམ་པར་མི་མཁས་དེ་ཡི་ནི་༎
 pratītyasambhavasyārthamavijñaḥ sa na paśyati || pshk_6 ||	རྐྱེན་ལས་བྱུང་བའི་དོན་མ་མཐོང་༎ འདི་ལ་གསལ་བྱ་གང་ཡང་མེད་༎
 nāpaneyamataḥ kiñcit prakṣepyaṃ nāpi kiñcana | draṣṭavyaṃ bhūtato bhūtaṃ bhūtadarśī vimucyate || pshk_7 ||	གཞག་པར་བྱ་བ་ཅི་ཡང་མེད་༎ ཡང་དག་ཉིད་ལ་ཡང་དག་བལྟ་༎ ཡང་དག་མཐོང་ན་རྣམ་པར་གྲོལ་༎
