skt	tib
 ācārya vasubandhuviracitam pañcaskandhaprakaraṇam prathamādhikāraḥ - skandhoddeśanirdeśakaḥ	༄༡༡བ་༌་༎ རྒྱ་གར་སྐད་དུ་། པཉཙ་སྐནདྷ་པྲ་ཀ་ར་ན་། བོད་སྐད་དུ་། ཕུང་པོ་ལྔའི་རབ་ཏུ་བྱེད་པ་། འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་ལ་ཕྱག་འཚལ་ལོ་༎
 pañcaskandhāḥ rūpaskandhaḥ vedanāskandhaḥ saṃjñāskandhaḥ saṃskāraskandhaḥ vijñānaskandhaśca || 1 || rūpasya dvau bhedau	ཕུང་པོ་ལྔ་ནི་གཟུགས་ཀྱི་ཕུང་པོ་དང་། ཚོར་བའི་ཕུང་པོ་དང་། འདུ་ཤེས་ཀྱི་ཕུང་པོ་དང་། འདུ་བྱེད་ཀྱི་ཕུང་པོ་དང་། རྣམ་པར་ཤེས་པའི་ཕུང་པོའོ་༎
 rūpaṃ katamat |	གཟུགས་གང་ཞེ་ན་།
 yat kiñcid rūpaṃ sarvaṃ taccatvāri mahābhūtāni catvāri ca mahābhūtānyupādāya || 2 || mahābhūtanāmāni	གཟུགས་གང་ཡིན་པ་ཅི་ཡང་རུང་སྟེ་། དེ་དག་ཐམས་ཅད་འབྱུང་བ་ཆེན་པོ་བཞི་དག་དང་། འབྱུང་བ་ཆེན་པོའི་བཞི་དག་རྒྱུར་བྱས་པའོ་༎
 katamāni catvāri mahābhūtāni |	འབྱུང་བ་ཆེན་པོ་བཞི་དག་གང་ཞེ་ན་།
 pṛthivī dhātuḥ abdhātuḥ tejodhātuḥvāyudhātuśca || 3 || mahābhūtalakṣaṇāni	སའི་ཁམས་དང་། ཆུའི་ཁམས་དང་། མེའི་ཁམས་དང་། རླུང་གི་ཁམས་སོ་༎
 tatra pṛthivīdhātuḥ katamaḥ | kaṭhinatā || 4 ||	དེ་ལ་སའི་ཁམས་གང་ཞེ་ན་། སྲ་བ་ཉིད་དོ་༎
 abdhātuḥ katamaḥ | niṣyandatā || 5 ||	ཆུའི་ཁམས་གང་ཞེ་ན་།
 tejodhātuḥ katamaḥ uṣṇatā || 6 ||	གཤེར་བ་ཉིད་དོ་༎ མེའི་ཁམས་གང་ཞེ་ན་། ཚ་བ་ཉིད་དོ་༎
 vāyudhātuḥ katamaḥ |	རླུང་གི་ཁམས་གང་ཞེ་ན་༎
 paunaḥ punyakampanatā || 7 || upādāyarūpanāmāni	ཡང་ཞིང་ག-ཡོ་བ་ཉིད་དོ་༎
 upādayarūpaṃ katamat |	རྒྱུར་བྱས་པའི་གཟུགས་གང་ཞེ་ན་།
 cakṣurindriyam, śrotrendriyam, ghraṇendriyam, jihvendriyam, kāyendriyam, rūpam, śabdaḥ, gandhaḥ,	མིག་གི་དབང་པོ་དང་། རྣ་བའི་དབང་པོ་དང་། སྣའི་དབང་པོ་དང་། ལྕེའི་དབང་བོ་དང་། ལུས་༄༡༢ཨ་༌་༎
 rasaḥ, spraṣṭavyaikadeśaḥ, abijñaptiśca || 8 ||	ཀྱི་དབང་པོ་དང་། གཟུགས་དང་། སྒྲ་དང་། དྲི་དང་། རོ་དང་། རེག་བྱའི་ཕྱོགས་གཅིག་དང་། རྣམ་པར་རིག་བྱེད་མ་ཡིན་པའོ་༎
 upādāyarūpalakṣaṇāni cakṣurindrayaṃ katamat |	དེ་ལ་མིག་གི་དབང་པོ་གང་ཞེ་ན་།
 varṇabiṣayo rūpaprasādaḥ || 9 ||	ཡུལ་ཁ་དོག་གཟུགས་དང་བའོ་༎
 śrotrendrayaṃ katamat |	རྣ་བའི་དབང་པོ་གང་ཞེ་ན་།
 śabdaviṣayo rūpaprasādaḥ || 10 ||	ཡུལ་སྒྲ་གཟུགས་དང་བའོ་༎
 ghrāṇendriyam katamat |	སྣའི་དབང་པོ་གང་ཞེ་ན་།
 gandhaviṣayo rūpaprasādaḥ || 11 ||	ཡུལ་དྲི་གཟུགས་དང་བའོ་༎
 jihvendriyam katamat |	ལྕེའི་དབང་པོ་གང་ཞེ་ན་།
 rasaviṣayo rūpaprasādaḥ || 12 ||	ཡུལ་རོ་གཟུགས་དང་བའོ་༎
 kāyendriyam katamat |	ལུས་ཀྱི་དབང་པོ་གང་ཞེ་ན་།
 spraṣṭavyaviṣayo rūpaprasādaḥ || 13 ||	ཡུལ་རེག་བྱ་གཟུགས་དང་བའོ་༎
 rūpaṃ katamat |	གཟུགས་གང་ཞེ་ན་།
 cakṣurgocaraḥ |	མིག་གི་ཡུལ་ཏེ་།
 varṇaḥ saṃsthānam bijñaptiśca || 14 ||	ཁ་དོག་དང་། དབྱིབས་དང་། རྣམ་པར་རིག་བྱེད་དོ་།
 śabdaḥ katamaḥ |	སྒྲ་གང་ཞེ་ན་།
 śrotragocaraḥ | niṣpannḥ aniṣpannaḥ ubhayaḥ |	རྣ་བའི་ཡུལ་ཏེ་།
 upāttacatumarhābhutahetukaḥ anupāttacaturmahābhūtahetukaḥ ubhayacaturmahābhūtahetukaśca || 15 ||	ཟིན་པ་དང་མ་ཟིན་པ་དང་གཉི་གའི་སྟེ་། འབྱུང་བ་ཆེན་པོ་བཞིའི་རྒྱུ་ལས་བྱུང་བའོ་༎
 gandhaḥ katamaḥ |	དྲི་གང་ཞེ་ན་།
 ghrāṇagocaraḥ |	སྣའི་ཡུལ་ཏེ་།
 surabhiḥ asurabhiḥ tadanyaśca || 16 ||	དྲི་ཞིམ་པ་དང་། དྲིང་བ་དང་། དེ་ལས་གཞན་པའོ་༎
 rasaḥ katamaḥjihvāgocaraḥ |	རོ་གང་ཞེ་ན་། ལྕེའི་ཡུལ་ཏེ་།
 madhuraḥ amalaḥ lavaṇaḥ kaṭuḥ tiktaḥ kaṣāyaśc || 17 ||	མངར་བ་དང་། སྒྱུར་བ་དང་། ལན་ཚབ༹་དང་། ཚ་བ་དང་། ཁ་བ་དང་། བསྐ་བ་ཞེས་བྱའོ་༎
 spraṣṭavyaḥ katamaḥ |	རེག་བྱའི་ཕྱོགས་གཅིག་གང་ཞེ་ན་།
 kāyagocaraḥ |	ལུས་ཀྱི་ཡུལ་ཏེ་།
 mahābhūtānyupādāya ślakṣṇatvam karkasatbam gurutvam laghutvam śītatvam jighatsā pipāsā ca || 18 ||	འབྱུང་བ་ཆེན་པོ་རྣམས་བཞག་སྟེ་། འཇམ་པ་ཉིད་དང་། རྩུབ་པ་ཉིད་དང་། ལྕི་བ་ཉིད་དང་། ཡང་བ་ཉིད་དང་། གྲང་བ་ཉིད་དང་། བཀྲེས་པ་ཉིད་དང་། སྐམ་པའོ་༎
 abijñaptirūpaṃ katamat |	རྣམ་པར་རིག་བྱེད་མ་ཡིན་པ་གང་ཞེ་ན་།
 vijñaptisamādhisaṃbhūtaṃ rūpam anidarśanam apratigham || 19 || rūpaskandhaḥ soniddeśaḥ pariniṣṭhitaḥ |	རྣམ་པར་རིག་བྱེད་དང་། ཏིང་ངེ་འཛིན་ལས་བྱུང་བའི་གཟུགས་ཏེ་། བསྟན་དུ་མེད་ལ་ཐོགས་པ་མེད་པའོ་༎
 atha vedanā salakṣaṇaprabhedā vedanā katamā |	ཚོར་བ་གང་ཞེ་ན་།
