skt	tib
 gurupañcāśikā oṃ namo buddhāya |	༄༡༠ཨ་༅་༎ རྒྱ་གར་སྐད་དུ་། གུ་རུ་པཉཙ་བིམ་ཤི་ཀ་། བོད་སྐད་དུ་། བླ་མ་ལྔ་བཅུ་པ་། བཅོམ་ལྡན་འདས་རྡོ་རྗེ་སེམས་དཔའ་ལ་ཕྱག་འཚལ་ལོ་༎
 śrīvajrasattvapadavīpratilambhahetornatvā yathāvidhi guroścaraṇāravindam |	དཔལ་ལྡན་རྡོ་རྗེ་སེམས་དཔའི་གནས་ཐོབ་རྒྱུར་གྱུར་པ་༎ བླ་མའི་ཞབས་ཀྱི་པདམར་ཇི་བཞིན་བཏུད་བྱས་ཏེ་༎
 tatparyupāstiramalā bahutantragītā saṃkṣipya kathyata iyaṃ śṛṇutādareṇa || 1 ||	དེ་བསྟན་པ་ནི་དྲི་མེད་རྒྱུད་མང་ལས་གསུངས་པ་༎ མདོར་བསྡུས་བཤད་པ་འདི་ནི་གུས་པས་མཉན་པར་གྱིས་༎
 abhiṣekāgralabdho hi vajrācāryastathāgataiḥ |	དབང་བསྐུར་མཆོག་ཐོབ་རྡོ་རྗེ་ཡི་༎ སློབ་དཔོན་ལ་ནི་དེ་བཞིན་གཤེགས་༎
 daśadiglokadhātusthaistrikālametya vandyate || 2 ||	ཕྱོགས་བཅུའི་འཇིག་རྟེན་ཁམས་བཞུགས་པས་༎ དུས་གསུམ་དུ་ནི་མངོན་ཕྱག་འཚལ་༎ མཆོག་ཏུ་དད་པས་དུས་གསུམ་དུ་༎
 trikālaṃ parayā bhaktyā sapuṣpāñjalimaṇḍalaiḥ |	དཀྱིལ་འཁོར་མེ་ཏོག་བཅས་ཐལ་མོས་༎
 paryupāsyo guruḥ śāstā śirasā pādavandanāt || 3 ||	སྟོན་པ་བླ་མ་བསྙེན་བཀུར་ཞིང་༎ ཞབས་ལ་སྤྱི་བོས་ཕྱག་བྱའོ་༎
 saddharmādīn puraskṛtya gṛhī vā navako 'pi vā |	ཁྱིམ་པའམ་ནི་གསར་བུ་ལ་༎ འཇིག་རྟེན་སྨོད་པ་སྤང་པའི་ཕྱིར་༎ དམ་ཆོས་ལ་སོགས་མདུན་བདར་ཏེ་༎
 vandyo vratadharairbuddhyā lokāvadyāvahānaye || 4 ||	བརྟུལ་ཞུགས་འཛིན་པས་བློས་ཕྱག་བྱ་༎
 sukhāsanaṃ samutthānamarthakriyādigauravam |	གདན་བསྟབས་པ་དང་ལྡང་བ་དང་༎ དོན་གྱི་བྱ་བ་སོགས་བསྙེན་བཀུར་༎ བརྟུལ་ཞུགས་ཅན་གྱིས་ཀུན་བྱ་སྟེ་༎
 sarvameva vratī kuryāt tyaktvā cārcanavandanam || 5 ||	ཕྱག་བྱ་དམ་པ་མིན་ལས་སྤང་༎ བླ་མ་དང་ནི་སློབ་མ་དག་། མཚུངས་པར་དམ་ཚིག་ཉམས་འགྱུར་བས་༎
 prāk śiṣyācāryasaṃbandhaḥ kāryaḥ parīkṣya sūribhiḥ |	དཔའ་བོས་དང་པོར་སློབ་དཔོན་དང་༎ སློབ་མའི་འབྲེལ་པ་བརྟག་པར་བྱ་༎
 samānasamayabhraṃśo doṣo hi guruśiṣyayoḥ || 6 ||	བློ་ལྡན་སློབ་མས་བླ་མར་ནི་༎
 niṣkṛpaṃ krodhanaṃ krūraṃ stabdhaṃ laghumasaṃyatam | svotkarṣakaṃ ca no kuryād guruṃ śiṣyaṃ ca buddhimān || 7 ||	སྙིང་རྗེ་མེད་ཅིང་ཁྲོ་ལ་གདུག་། ཁེངས་ཤིང་ཆགས་ལ་མ་བསྡམས་དང་༎ སྤྱོ་མས་དང་བཅས་པར་མི་བྱའོ་༎
