skt	tib
 śaraṇagamanadeśanā namo ratnatrayāya	༄༢༩༧བ་༅་༎ རྒྱ་གར་སྐད་དུ་། ས་ར་ནམ་གཙཚའ་མི་དེ་ཤ་། བོད་སྐད་དུ་། སྐྱབས་སུ་འགྲོ་བ་བསྟན་པ་། དཀོན་མཆོག་གསུམ་ལ་ཕྱག་འཚལ་ལོ་༎
 tryapāyapañcayonīnāṃ sarvaduḥkhavighātakam |	ངན་སོང་གསུམ་དང་འགྲོ་བ་ལྔའི་༎ སྡུག་བསྔལ་མ་ལུས་སེལ་མཛད་ཅིང་༎ མཐོ་རིས་མྱ་ངན་འདས་པ་ཡི་༎
 śreyo 'bhyudayasaukhyānāṃ dātāraṃ praṇamāmi tam || 1 ||	བདེ་བ་སྩོལ་མཛད་དེ་ལ་འདུད་༎
 atra śaraṇagamanamabhidhāsye | samāsataḥ |	འདིར་སྐྱབས་སུ་འགྲོ་བ་བཤད་པར་བྱ་སྟེ་། སྡོམ་ལ་།
 adhiṣṭhānasthitī cintā kālaprakṛtimānakam |	རྟེན་དང་༄༢༩༨ཨ་༌་༎ གནས་དང་བསམ་པ་དང་༎ དུས་དང་རང་བཞིན་ཚད་དང་ནི་༎ ཚུལ་དང་བསླབ་པ་ངེས་པའི་ཚིག་། 
 nayaḥ śikṣā niruktiśca karmaupamyavibhaktayaḥ |	ལས་དང་དཔེ་དང་དབྱེ་བ་དང་༎ ཉེས་དམིགས་དགོས་པ་ཕན་ཡོན་ཏེ་༎
 ādīnavārthaśaṃsāśca proktāḥ pañcadaśa kramāt || 2 ||	རྣམ་པ་བཅོ་ལྔ་དག་ཏུ་བརྗོད་༎
 tatra adhiṣṭhānapudgalastu dvividhaḥ- mahāyānagotrīyo hīnayānagotrīyaśca |	དེ་ལ་རྟེན་གྱི་གང་ཟག་ནི་གཉིས་ཏེ་། ཐེག་པ་ཆེན་པོའི་རིགས་ཅན་དང་། ཐེག་པ་ཆུང་ངུའི་རིགས་ཅན་ནོ་༎
 sthitirdvividhā- mahā-hīna-yānabhedataḥ |	གནས་ནི་རྣམ་པ་གཉིས་ཏེ་། ཐེག་པ་ཆེ་ཆུང་གི་བྱེ་བྲག་གིས་སོ་༎
 tatraivaṃ hi tāvad mahāyānaśāstreṣu ratnatrayam- tathatāratnatrayam, abhisamayaratnatrayaṃ, sammukhasthaṃ ca ratnatrayam |	དེ་ལ་ཐེག་པ་ཆེན་པོའི་གཞུང་གིས་ནི་དཀོན་མཆོག་གསུམ་འདི་ལྟ་བུ་ཡིན་ཏེ་དེ་ཁོ་ན་ཉིད་ཀྱི་དཀོན་མཆོག་གསུམ་དང་། མངོན་པར་རྟོགས་པའི་དཀོན་མཆོག་གསུམ་དང་། མདུན་དུ་བཞུགས་པའི་དཀོན་མཆོག་གསུམ་མོ་༎
 taccaivam- jñeyāviparyastajñānam,	དེ་ཡང་འདི་ལྟར་ཤེས་བྱ་ཕྱིན་ཅི་མ་ལོག་པར་མཁྱེན་པ་།
 nirvikalpādvayajñānam, dharmadhātvavasthitatvaṃ ca |	རྣམ་པར་མི་རྟོག་པ་གཉིས་སུ་མེད་པའི་ཡེ་ཤེས་།
