skt	tib
 || namaḥ sarvabuddhabodhisattvebhyaḥ || viṃśatikākārikā (vk)	༄༣ཨ་༌་༎ རྒྱ་གར་སྐད་དུ་། བིང་ཤ་ཀ་ཀའ་རི་ཀ་། བོད་སྐད་དུ་། ཉི་ཤུ་པའི་ཚིག་ལེའུར་བྱས་པ་། འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་ལ་ཕྱག་འཚལ་ལོ་༎
 vijñaptimātramevaitadasadarthāvabhāsanāt |	འདི་དག་རྣམ་པར་རིག་ཙམ་ཉིད་༎ ཡོད་པ་མ་ཡིན་དོན་སྣང་ཕྱིར་༎
 yathā taimirikasyāsatkeśacandrādidarśanam || vk_1 ||	དཔེར་ན་རབ་རིབ་ཅན་དག་གིས་༎ སྐྲ་ཟླ་ལ་སོགས་མེད་མཐོང་བཞིན་༎
 yadi vijñaptiranarthā niyamo deśakālayoḥ |	གལ་ཏེ་རྣམ་རིག་དོན་མིན་ན་༎ ཡུལ་དང་དུས་ལ་ངེས་མེད་ཅིང་༎ སེམས་ཀྱང་ངེས་མེད་མ་ཡིན་ལ་༎
 santānasyāniyamaśca yuktā kṛtyakriyā na ca || vk_2 ||	བྱ་བ་བྱེད་པའང་མི་རིགས་འགྱུར་༎ ཡུལ་ལ་སོགས་པ་ངེས་འགྲུབ་སྟེ་༎ རྨི་འདྲའོ་སེམས་ཀྱང་དེས་པ་མེད་༎
 deśādiuniyamaḥ siddhaḥ svapnavat pretavat punaḥ |	ཡི་དགས་བཞིན་ཏེ་ཐམས་ཅད་ཀྱིས་༎
 santānāniyamaḥ sarvaiḥ pūyanadyādidarśane || vk_3 ||	ཀླུང་ལ་རྣག་ལ་སོགས་མཐོང་བཞིན་༎
 svapnopaghātavat kṛtyakriyā narakavat punaḥ |	བྱ་བྱེད་རྨི་ལམ་གནོད་པ་འདྲ་༎ ཐམས་ཅད་སེམས་ཅན་དམྱལ་བ་བཞིན་༎
 sarvaṃ narakapālādidarśane taiśca bādhane || vk_4 ||	དམྱལ་བའི་སྲུང་མ་སོགས་མཐོང་དང་༎ དེ་དག་གིས་ནི་གནོད་ཕྱིར་རོ་༎
 tiraścāṃ sambhavaḥ svarge yathā na narake tathā |	ཇི་ལྟར་དུད་འགྲོ་མཐོ་རིས་སུ་༎ འབྱུང་བ་དེ་ལྟར་དམྱལ་བ་མིན་། ཡི་དགས་མིན་ཏེ་འདི་ལྟ་བུར་༎
 na pretānāṃ yatastajjaṃ duḥkhaṃ nānubhavanti te || vk_5 ||	དེ་ཡོད་སྡུག་བསྔལ་དེས་མི་མྱོང་༎
 yadi tatkarmabhistatra bhūtānāṃ sambhavastathā | iṣyate pariṇāmaśca kiṃ vijñānasya neṣyate || vk_6 ||	གལ་ཏེ་དེ་ཡི་ལས་ཀྱིས་དེར་༎ འབྱུང་བ་དག་ནི་འབྱུང་བ་དང་༎ དེ་བཞིན་འགྱུར་བར་འདོད་ན་གོ་༎ རྣམ་པར་ཤེས་པར་ཅིས་མི་འདོད་༎
 karmaṇo vāsanānyatra phalamanyatra kalpyate |	གཞན་ན་ལས་ཀྱི་བག་ཆགས་ལ་༎ འབྲས་བུ་དག་ནི་༄༣བ་གཞན་དུ་རྟོག་། 
 tatraiva neṣyate yatra vāsanā kiṃ nu kāraṇam || vk_7 ||	གང་ན་བག་ཆགས་ཡོད་པ་དེར་༎ ཅི་ཡི་ཕྱིར་ན་འདོད་མི་བྱ་༎
 rūpādyāyatanāstitvaṃ tadvineyajanaṃ prati |	གཟུགས་སོགས་སྐྱེ་མཆེད་ཡོད་པར་ནི་༎ དེས་འདུལ་བ་ཡི་སྐྱེ་བོ་ལ་། 
 abhiprāyavaśāduktamupapādukasattvavat || vk_8 ||	དགོངས་པའི་དབང་གིས་གསུངས་པ་སྟེ་༎ རྫུས་ཏེ་འབྱུང་བའི་སེམས་ཅན་བཞིན་༎
 yataḥ svabījād vijñaptiryadābhāsā pravartate |	རང་གིས་བོན་གང་ལས་སུ་༎ རྣམ་རིག་སྣང་བ་གང་འབྱུང་བ་༎
 dvividhāyatanatvena te tasyā munirabravīt || vk_9 ||	དེ་དག་དེ་ཡི་སྐྱེ་མཆེད་ནི་༎
 tathā pudgalanairātmyapraveśo hi hyanyathā punaḥ |	རྣམ་པ་གཉིས་སུ་ཐུབ་པས་གསུངས་༎ དེ་ལྟར་གང་ཟག་བདག་མེད་པར་༎ འཇུག་པར་འགྱུར་རོ་གཞན་དུ་ཡང་༎
 deśanā dharmanairātmyapraveśaḥ kalpitātmanā || vk_10 ||	བསྟན་པས་ཆོས་ལ་བདག་མེད་པར་༎ འཇུག་འགྱུར་བརྟགས་པའི་བདག་ཉིད་ཀྱིས་༎
 na tadekaṃ na cānekaṃ viṣayaḥ paramāṇuśaḥ |	དེ་ནི་གཅིག་ནའང་ཡུལ་མིན་ལ་༎ ཕྲ་རབ་རྡུལ་དུ་དུ་མའང་མིན་༎
 na ca te saṃhatā yasmāt paramāṇurna sidhyati || vk_11 ||	དེ་དག་འདུས་པའང་མ་ཡིན་ཏེ་༎ འདི་ལྟར་རྡུལ་ཕྲན་མི་འགྲུབ་ཕྱིར་༎
