skt	tib
 pañcaviṃśatisāhasrikā prajñāpāramitā	༄༡བ་༅་༎ རྒྱ་གར་སྐད་དུ་། པཉཙ་བིད་ཤ་ཏི་ས་ཧ་སྲི་ཀ་པྲཛཉའ་པའ་ར་མི་ཏ་། བོད་སྐད་དུ་། ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་སྟོང་ཕྲག་ཉི་ཤུ་ལྔ་པ་། བམ་པོ་དང་པོ་། སངས་རྒྱས་དང་dd་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ་༎ ཉན་ཐོས་ཞི་བ་ཚོལ་རྣམས་ཀུན་ཤེས་ཉིད་ཀྱིས་ཉེར་ཞིར་ཁྲིད་མཛད་གང་ཡིན་དང་༎ འགྲོ་ལ་ཕན་པར་བྱེད་རྣམས་ལམ་ཤེས་ཉིད་ཀྱིས་འཇིག་རྟེན་དོན་སྒྲུབ་མཛད་པ་གང་༎ གང་དང་ཡང་དག་ལྡན་པས་ཐུབ་རྣམས་རྣམ་པ་ཀུན་ལྡན་སྣ་ཚོགས་འདི་གསུངས་པ་༎ ཉན་ཐོས་བྱང་ཆུབ་སེམས་དཔའི་ཚོགས་བཅས་སངས་རྒྱས་ཀྱི་ནི་ཡུམ་དེ་ལ་ཕྱག་འཚལ་༎ རྒྱལ་སྲས་གང་དག་སྐྱེ་བོ་མ་ལུས་བསྒྲལ་ཕྱིར་བྱང་ཆུབ་ཏུ་ནི་ཡིད་བྱས་དང་༎ སོ་སོར་བྱང་ཆུབ་རྟོགས་ནས་གང་དག་སླར་ཡང་མཉམ་མེད་སྒོམ་པར་བྱེད་རྣམས་དང་༎ སློབ་མ་དང་ནི་སློབ་མའི་ལམ་འགྲོ་ཉོན་མོངས་ཟིལ་མནན་འགྲོ་བ་གང་ཡིན་པ་༎ དེ་དག་ཐམས་ཅད་དམ་པའི་ཆོས་མཉན་ཕྱིར་ན་རབ་དགའི་ཡིད་ཀྱིས་འདིར་སྤྱོན་ཅིག་། གང་ཕྱིར་དྲི་མ་མང་པོས་དུས་འདི་དེ་༄༢ཨ་༌་༎ བཞིན་མ་ཡིན་འགྲོ་བ་འདི་ཡིན་ཞིང་༎ ལྟ་བ་མཆོག་ཏུ་མི་ལེགས་ཆགས་སྡང་མན་པ་རབ་ཏུ་ལྷག་གྱུར་མི་ག-ཡོ་ལ་༎ ཚེ་ཡང་རིང་པོ་མེད་དང་མུན་པས་དྲི་བྲལ་སྣང་བ་བཟང་པོ་དང་ལྡན་པས་༎ ཐེ་ཚོམ་ཡུལ་མིན་མདོ་འདི་ཀྱེ་མ་རྙེད་དཀའ་བས་ན་རིག་པར་བདག་གིས་དབྱེ་༎
 evaṃ mayā śrutam ekasmin samaye bhagavān rājagṛhe viharati sma gṛdhrakūte parvate	འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན་། བཅོམ་ལྡན་འདས་རྒྱལ་པོའི་ཁབ་ཀྱི་རི་བྱ་རྒོད་འཕུངས་པ་ན་བཞུགས་ཏེ་།
 mahatā bhikṣusaṃghena sārdhaṃ pañcamātrair bhikṣusahasraiḥ sarvair arhadbhiḥ kṣīṇāsravair	དགེ་སློང་ལྔ་སྟོང་ཙམ་གྱི་དགེ་སློང་གི་དགེ་འདུན་ཆེན་པོ་ཐམས་ཅད་ཀྱང་དགྲ་བཅོམ་པ་། ཟག་པ་ཟད་པ་། ཉོན་མོངས་པ་མེད་པ་། དབང་དུ་གྱུར་པ་།
 niḥkleśair vaśībhūtaiḥ suvimuktacittaiḥ suvimuktaprajñair ājāneyair mahānāgaiḥ kṛtakṛtyaiḥ	སེམས་ཤིན་ཏུ་རྣམ་པར་གྲོལ་བ་། ཤེས་རབ་ཤིན་ཏུ་རྣམ་པར་གྲོལ་བ་། ཅང་ཤེས་པ་། གླང་པོ་ཆེན་པོ་། བྱ་བ་བྱས་པ་།
 kṛtakaraṇīyair apahṛtabhārair anuprāptasvakārthaiḥ parikṣīṇabhavasaṃyojanaiḥ samyagājñāsuvimuktacittaiḥ	བྱེད་པ་བྱས་པ་། ཁུར་བོར་བ་། བདག་གི་དོན་རབ་ཏུ་ཐོབ་པ་། སྲིད་པར་ཀུན་ཏུ་སྦྱོར་བ་ཡོངས་སུ་ཟད་པ་། ཡང་དག་པར་ཀུན་ཤེས་པས་སེམས་ཤིན་ཏུ་རྣམ་པར་གྲོལ་བ་།
 sarvacetovaśiparamapāramitāprāptaiḥ pañcamātrair bhikṣunīśatair upāsakair upāsikābhiś	སེམས་ཀྱི་དབང་ཐམས་ཅད་ལ་ཕ་རོལ་ཏུ་ཕྱིན་པའི་མཆོག་ཐོབ་པ་རྣམས་དང་ཐབས་ཅིག་གོ་༎ གང་ཟག་གཅིག་མ་གཏོགས་པ་ནི་འདི་ལྟར་སློབ་པ་རྒྱུན་ཏུ་ཞུགས་པ་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོའོ་༎ དགེ་སློང་མ་གྲགས་འཛིན་དང་། སྐྱེ་དགུའི་བདག་མོ་ཆེན་མོ་ལ་སོགས་པ་ལྔ་བརྒྱ་ཙམ་དང་། དགེ་བསྙེན་མ་དང་། ༄༢བ་དགེ་བསྙེན་མ་ཤིན་ཏུ་མང་བ་ཀུན་ཀྱང་ཆོས་མཐོང་བ་དག་དང་ཡང་ཐབས་ཅིག་གོ་༎
 ca sārdhaṃ sarvair dṛṣṭadharmair aparimāṇaiś ca bodhisattvakoṭīniyutaśatasahasraiḥ	བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཚད་མེད་པ་བྱེ་བ་ཁྲག་ཁྲིག་བརྒྱ་སྟོང་དང་ཡང་ཐབས་ཅིག་སྟེ་། ཐམས་ཅད་ཀྱང་གཟུངས་རབ་ཏུ་ཐོབ་པ་།
 sārdhaṃ sarvair dhāraṇīpratilabdhaiḥ śūnyatāvihāribhir ānimittagocaraiḥ praṇidhānākalpitaiḥ	ཏིང་ངེ་འཛིན་རབ་ཏུ་ཐོབ་པ་། སྟོང་པ་ཉིད་ཀྱི་རྣམ་པར་སྤྱོད་པ་། མཚན་མ་མེད་པའི་སྤྱོད་ཡུལ་ཅན་། རྟོག་པ་མེད་པའི་སྨོན་ལམ་དང་ལྡན་པ་།
 kṣāntisamatāpratilabdhair asaṅgadhāraṇīpratilabdhair acyutābhijñair ādeyavacanair	ཆོས་ཐམས་ཅད་ལ་མཉམ་པ་ཉིད་ཀྱིས་བཟོད་པ་རབ་ཏུ་ཐོབ་པ་། ཆགས་པ་མེད་པའི་གཟུངས་རབ་ཏུ་ཐོབ་པ་། མངོན་པར་ཤེས་པ་ཤིན་ཏུ་མ་ཉམས་པ་། མཉན་པར་འོས་པའི་ཚིག་དང་ལྡན་པ་། ཚུལ་འཆོས་པ་མེད་པ་། ཁ་གསག་མེད་པ་།
 akūhakair alapakair apagatajñātralābhacittair nirāmiṣadharmadeśakair gambhīradharmakṣāntipāraṅgatair	གྲགས་པ་དང་། ཁེ་དང་བཀུར་སྟིའི་སེམས་མེད་པ་། ཟང་ཟིང་མེད་པའི་ཆོས་སྟོན་པ་། ཆོས་ཟབ་མོའི་བཟོད་པ་དམ་པ་རྟོགས་པར་ཁོང་དུ་ཆུད་པ་། མི་འཇིགས་པ་ཆེན་པོ་ཐོབ་པ་།
