skt	tib
 namo mañjuśriye kumārabhūtāya āryamaitreyanāthaviracitam abhisamayālaṅkāro nāma prajñāpāramitopadeśaśāstram sarvākārajñātādhikāraḥ prathamaḥ	༄༡བ་༅་༎ རྒྱ་གར་སྐད་དུ་། ཨཨ་བྷི་ས་མ་ཡ་ཨཨ་ལམ་ཀའ་ར་ནའ་མ་པྲཛཉའ་པའ་ར་མི་ཏོ་བ་དེ་ཤ་ཤའ་སྟྲ་ཀའ་རི་ཀའ་། བོད་སྐད་དུ་། ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་མན་ངག་གི་བསྟན་བཅོས་dd་མངོན་པར་རྟོགས་པའི་རྒྱན་ཞེས་བྱ་བའི་ཚིག་ལེའུར་བྱས་པ་། སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ་༎
 maṅgālācaraṇam yā sarvajñatayā nayatyupaśamaṃ śāntaiṣiṇaḥ śrāvakān yā mārgajñatayā jagaddhitakṛtāṃ lokārthasampādikā |	ཉན་ཐོས་ཞི་བ་ཚོལ་རྣམས་ཀུན་ཤེས་ཉིད་ཀྱིས་ཉེར་ཞིར་འཁྲིད་མཛད་གང་ཡིན་དང་༎ འགྲོ་ལ་ཕན་པར་བྱེད་རྣམས་ལམ་ཤེས་ཉིད་ཀྱིས་འཇིག་རྟེན་དོན་སྒྲུབ་མཛད་པ་གང་༎
 sarvākāramidaṃ vadanti munayo viśvaṃ yayā saṃgatās	གང་དང་ཡང་དག་ལྡན་པས་ཐུབ་རྣམས་རྣམ་པ་ཀུན་ལྡན་སྣ་ཚོགས་འདི་གསུངས་པ་༎
 tasyai śrāvakabodhisattvagaṇino buddhasya mātre namaḥ || asa_1|1 ||	ཉན་ཐོས་བྱང་ཆུབ་སེམས་དཔའི་ཚོགས་བཅས་སངས་རྒྱས་ཀྱི་ནི་ཡུམ་དེ་ལ་ཕྱག་འཚལ་༎
 grānthārambhaprayojanam sarvākārajñatāmārgaḥ śāsitrā yo 'tra deśitaḥ |	རྣམ་པ་ཐམས་ཅད་མཁྱེན་ཉིད་ལམ་༎ སྟོན་པས་འདི་རྣམས་བཤད་པ་གང་༎
 dhīmanto vīkṣiṣiraṃstamanālīḍhaṃ parairiti || asa_1|2 ||	གཞན་གྱིས་མྱོང་བ་མ་ཡིན་ཏེ་༎ ཆོས་སྤྱོད་བཅུ་ཡི་བདག་ཉིད་ཀྱི་༎
 smṛtau cādhāya sūtrārthaṃ dharmacaryāṃ daśātmikām |	མདོ་དོན་དྲན་པ་ལ་བཞག་ནས་༎ བློ་དང་ལྡན་པས་མཐོང་འགྱུར་ཕྱིར་༎ བདེ་བླག་ཏུ་ནི་རྟོགས་པ་༄༢ཨ་༌་༎
 sukhena pratipatsīrannityārambhaprayojanam || asa_1|3 || prajñāpāramitāyāḥ kāyikavyavasthāpanam	ཞེས་༏་། བྱ་བ་རྩམ་པའི་དགོས་པ་ཡིན་༎
 prajñāpāramitāṣṭābhiḥ padārthaiḥ samudīritā |	ཤེས་རབ་ཕ་རོལ་ཕྱིན་པ་ནི་༎ དངོས་པོ་བརྒྱད་ཀྱིས་ཡང་དག་བཤད་༎
 sarvākārajñatā mārgajñatā sarvajñatā tataḥ || asa_1|4 ||	རྣམ་ཀུན་མཁྱེན་ཉིད་ལམ་ཤེས་ཉིད་༎ དེ་ནས་ཐམས་ཅད་ཤེས་པ་ཉིད་༎
