skt	tib
 kṛtiriyamācāryavasubandhoḥ |	༄༡བ་༅་༎ རྒྱ་གར་སྐད་དུ་། ཏྲིང་ཤི་ཀ་ཀའ་རི་ཀའ་། བོད་སྐད་དུ་། སུམ་ཅུ་པའི་ཚིག་ལེའུར་བྱས་པ་། འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་ལ་ཕྱག་འཚལ་ལོ་༎
 ātmadharmopacāro hi vividho yaḥ pravartate |	བདག་དང་ཆོས་dd་སུ་ཉེར་འདོགས་པ་༎ སྣ་ཚོགས་དག་ནི་གང་བྱུང་བ་༎ དེ་ནི་རྣམ་པར་ཤེས་པར་གྱུར་༎
 vijñānapariṇāme 'sau pariṇāmaḥ sa ca tridhā || tvk_1 ||	གྱུར་པ་དེ་ཡང་རྣམ་གསུམ་སྟེ་༎
 vipāko mananākhyaśca vijñaptirviṣayasya ca |	རྣམ་པར་སྨིན་དང་ངར་སེམས་དང་༎ ཡུལ་ལ་རྣམ་པར་རིག་པའོ་༎
 tatrālayākhyaṃ vijñānaṃ vipākaḥ sarvabījakam || tvk_2 ||	དེ་ལ་ཀུན་གཞི་རྣམ་ཤེས་ནི་༎ རྣམ་སྨིན་ས་བོན་ཐམས་ཅད་པ་༎ དེ་ནི་ལེན་པ་དག་དང་གནས་༎
 asaṃviditakopādisthānavijñaptikaṃ ca tat |	རྣམ་པར་རིག་པ་མི་རིག་པ་༎
 sadā sparśamanaskāravitsañjñācetanānvitam || tvk_3 ||	རྟག་ཏུ་རེག་དང་ཡིད་བྱེད་དང་༎ རིག་དང་འདུ་ཤེས་སེམས་པར་ལྡན་༎
 upekṣā vedanā tatrānivṛtāvyākṛtaṃ ca tat |	དེ་ལ་ཚོར་བ་བཏང་སྙོམས་ཏེ་༎ དེ་ནི་མ་བསྒྲིབས་ལུང་མ་བསྟན་༎
 tathā sparśādayastacca vartate srotasaughavat || tvk_4 ||	རེག་ལ་སོགས་པའང་དེ་བཞིན་ནོ་༎ དེ་ནི་རྒྱུན་འབབ་ཆུ་བོ་བཞིན་༎ དགྲ་བཅོམ་ཉིད་ན་དེ་ལྡོག་གོ་༎
 tasya vyāvṛtirarhatve tadāśritya pravartate |	དེ་ལ་གནས་ཏེ་རབ་འབྱུང་ཞིང་༎
 tadālambaṃ manonāma vijñānaṃ mananātmakam || tvk_5 ||	དེ་ལ་དམིགས་པ་ཡིད་ཅེས་བྱ་༎ རྣམ་ཤེས་ངར་སེམས་བདག་ཉིད་ཅན་༎
 kleśaiścaturbhiḥ sahitaṃ nivṛtāvyākṛtaiḥ sadā |	བསྒྲིབས་ལ་ལུང་དུ་མ་བསྟན་པའི་༎ ཉོན་མོངས་༄༢ཨ་༌་༎ བཞི་དང་རྟག་ཏུ་འགྲོགས་༎
 ātmaduṣṭyātmamohātmamānātmasnehasañjñitaiḥ || tvk_6 || yatrajastanmayairanyaiḥ sparśādyaiścārhato na tat |	བདག་ཏུ་ལྟ་དང་བདག་ཏུ་རྨོངས་༎ བདག་རྒྱལ་བདག་ཆགས་འདུ་ཤེས་པ་༎ གང་དུ་སྐྱེས་པ་དེའིའོ་གཞན་༎ རེག་སོགས་ཀྱང་དེ་དགྲ་བཅོམ་མེད་༎
 na nirodhasamāpattau mārge lokottare na ca || tvk_7 ||	འགོག་པའི་སྙོམས་པར་འཇུག་ལ་མེད་༎ འཇིག་རྟེན་འདས་པའི་ལམ་ནའང་མེད་༎
 dvitīyaḥ pariṇāmo 'yaṃ tṛtīyaḥ ṣaḍvidhasya yā |	འདི་ནི་གྱུར་པ་གཉིས་པའོ་༎ གསུམ་པ་ཡུལ་རྣམ་དྲུག་པོ་ལ་༎
 viṣayasyopalabdhiḥ sā kuśalākuśalādvayā || tvk_8 ||	དམིགས་པ་གང་ཡིན་དེ་དག་སྟེ་༎ དགེ་དང་མི་དགེ་གཉི་ག་མིན་༎
 sarvatragairviniyataiḥ kuśalaiścaitasairasau |	ཀུན་ཏུ་འགྲོ་དང་བྱེ་བྲག་དེས་༎ སེམས་ལས་བྱུང་བ་དགེ་བ་དང་༎ དེ་བཞིན་ཉོན་མོངས་ཉེ་ཉོན་མོངས་༎
 samprayuktā tathā kleśairūpakleśaistrivedanā || tvk_9 ||	ཚོར་བ་གསུམ་དང་དེ་མཚུངས་ལྡན་༎
 ādyāḥ sparśādayaśchandādhimokṣasmṛtayaḥ saha |	དང་པོའི་རེག་ལ་སོགས་པ་དང་༎ འདུན་མོས་དྲན་དང་བཅས་པ་དང་༏་། ཏིང་ངེ་འཛིན་བློ་བྱེ་བྲག་དེས་༎
 samādhidhībhyāṃ niyatāḥ śraddhātha hrirapatrapā || tvk_10 || alobhādi trayaṃ vīryaṃ praśrabdhiḥ sāpramādikā |	དད་དང་ངོ་ཚ་ཁྲེལ་ཡོད་དང་༎ མ་ཆགས་ལ་སོགས་གསུམ་བརྩོན་འགྲུས་༎ ཤིན་ཏུ་སྦྱངས་དང་བག་ཡོད་བཅས་༎
