skt	tib
 dharmakīrtipraṇītā santānāntarasiddhiḥ	༄༣༥༥བ་༅་༎ རྒྱ་གར་སྐད་དུ་། སནཏ་ནའ་ནྱ་ཏ་ར་སིདདྷི་ནའ་མ་པྲ་ཀ་ར་ན་། བོད་སྐད་དུ་། རྒྱུད་གཞན་གྲུབ་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ་། འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་ལ་ཕྱག་འཚལ་ལོ་༎ རང་ལུས་བློ་སྔོན་འགྲོ་པ་ཡི་༎
 buddhipūrvāṃ kriyāṃ dṛṣṭvā svadehe 'nyatra tadgrahāt |	བྱ་བ་མཐོང་ནས་གཞན་ལ་དེ་༎
 jñāyate yadi dhīścittamātre 'pyeṣa nayaḥ samaḥ ||	འཛིན་ཕྱིར་གལ་ཏེ་བློ་ཤེས་འགྱུར་༎ སེམས་ཙམ་ལ་ཡང་ཚུལ་འདི་མཚུངས་༎
 ātmani cittaspandanapūrvau kriyābhilāpau dṛṣṭvānyatra tayordarśanādyadi spandanamanumīyeta,	གལ་ཏེ་བདག་ཉིད་ལ་བྱ་བ་དང་། བརྗོད་པ་སེམས་ཀྱི་ག-ཡོ་བ་སྔོན་དུ་འགྲོ་བ་ཅན་དག་མཐོང་ནས་། གཞན་ལ་དེ་དག་མཐོང་བས་ག-ཡོ་པ་རྗེས་སུ་དཔོག་པར་བྱེད་ན་།
 cittamātre 'pyaṣa nayaḥ samaḥ |	ཚུལ་འདི་ནི་སེམས་ཙམ་ལ་ཡང་མཚུངས་པས་།
 ataḥ cittamātratāvādī api paracittamanumātuṃ śaknoti |	སེམས་ཙམ་དུ་སྨྲ་བས་ཀྱང་གཞན་གྱི་སེམས་རྗེས་སུ་དཔག་པར་བྱ་ནུས་ཏེ་།
 tacca kāyavāgvijñaptipratibhāsi jñānaṃ jñānāntaraspandanaveśeṣeṇa vinā bhavatyevaṃ na matam | [1-3]	དེ་ཡང་ཤེས་པ་གཞན་གྱིས་ག-ཡོ་བའི་ཁྱད་པར་མེད་པར་ལུས་ངག་གི་རྣམ་པར་རིག་བྱེད་དུ་སྣང་པའི་ཤེས་པ་དེ་ལྟ་༄༣༥༦ཨ་༌་༎ བུ་དག་ཡོད་པར་མི་འདོད་དོ་༎
 atha parajñānasya kriyānupalambhāt paradhīranumātuṃ na yujyata iti cet?	གལ་ཏེ་གཞན་གྱི་ཤེས་པའི་བྱེད་པ་མ་དམིགས་པའི་ཕྱིར་གཞན་གྱི་རྗེས་སུ་དཔག་པར་མི་རུང་ངོ་ཞེ་ན་། འདྲ་བའི་ཕྱིར་མ་ཡིན་ཏེ་།
 na; tulyatvāt paro 'pi parajñānapūrvau tau kadāpi na paśyati 'taḥ tenāpi tanna jñāyate | [4-5]	ཕ་རོལ་པོས་ཀྱང་གཞན་གྱི་ཤེས་པ་སྔོན་དུ་འགྲོ་བ་ཅན་དེ་དག་ནམ་ཡང་མ་མཐོང་པས་དེས་ཀྱང་དེ་ཤེས་པར་མི་འགྱུར་རོ་༎
 ātmanaścittasya paravartinornimittatvānupapatteḥ paracittaṃ jñāyata iti cet |	གལ་ཏེ་བདག་ཉིད་ཀྱི་སེམས་གཞན་ལ་ཡོད་པ་དག་གི་རྒྱུ་མཚན་ཉིད་དུ་མི་རུང་བའི་ཕྱིར་རོ་༎ གཞན་གྱི་སེམས་ཤེས་པར་འགྱུར་རོ་ཞེ་ན་།
 kiṃ na yujyate?	ཇི་ལྟར་མི་རུང་།
 svasamutthāpakacittasya pratisaṃvedanābhāvāt, ātmacittaśrayiṇoścātmani darśanāt |	རང་གི་ཀུན་ནས་སློང་བའི་སེམས་སོ་སོར་ཡང་དག་པར་མྱོང་བ་མེད་པའི་ཕྱིར་དང་། བདག་ཉིད་ཀྱི་སེམས་ཀྱི་རྟེན་ཅན་ཡང་བདག་ཉིད་ལ་མཐོང་བའི་ཕྱིར་ཏེ་།
 tāvapi yadi yathā syātāṃ tādṛśāvupalabhyeyātām |	དེ་དག་ཀྱང་དེ་ལྟ་བུ་ཡིན་ན་ནི་དེ་དང་འདྲ་བར་དམིགས་པར་འགྱུར་བ་ཞིག་ན་།
 anyathā darśanādanyanimittaṃ sidhyatīti cet? aparasminnapi samānameva,	དེ་ལྟ་མ་ཡིན་པར་མཐོང་བས་། རྒྱུ་མཚན་གཞན་གྲུབ་པ་ཡིན་ནོ་ཞེ་ན་།
 svasamutthāpakacittasya saṃvedanābhāvāt |	གཞན་ལ་ཡང་རང་གི་ཀུན་ནས་སློང་བར་བྱེད་པའི་སེམས་ཡང་དག་པར་མྱོང་བ་མེད་པས་འདྲ་ལ་། 
 svacittaspandananimittake vijñaptipratibhāsinī jñāne cāntarmukhapratibhāsinī pratīteḥ bahirmukhapratibhāsinī anyanimittadutpadyete | [6-12]	རྣམ་པར་རིག་བྱེད་དུ་སྣང་བའི་ཤེས་པ་རང་གི་སེམས་ཀྱི་ག-ཡོ་བའི་རྒྱུ་མཚན་ཅན་དག་ཀྱང་ཁ་ནང་དུ་བལྟས་པའི་སྣང་བས་ཡིན་པར་རྟོགས་པའི་ཕྱིར་ཁ་ཕྱིར་པ་ལྟས་པའི་སྣང་བ་དག་རྒྱུ་མཚན་གཞན་ལས་སྐྱེ་བར་འགྱུར་རོ་ལ་། 
 animitte eva bahirmukhapratibhāsinīti kinneṣyate cet?	༎ ཁ་ཕྱིར་བལྟས་པའི་སྣང་བ་དག་རྒྱུ་མཚན་མེད་པ་ཁོ་ནར་ཅི་སྟེ་མི་འདོད་ལ་། 
 animittatve sarvasyānimittatvaṃ prasajyeta |	༎ ཅེ་ན་། རྒྱུ་མཚན་མེད་པ་ཉིད་ཡིན་ན་ཐམས་ཅད་རྒྱུ་མཚན་ཉིད་དུ་ཐལ་ལ་། 
 vicchinnāvicchinnapratibhāsakṛto bhedo na jñānayoḥ spandanatvanimittabhedavibhāgakṛt |	༎ ཅེ་ན་། བར་འགྱུར་རོ་༎ རྣམ་པར་ཆད་པ་དང་རྣམ་པར་མ་ཆད་པར་སྣང་བས་བྱས་པའི་ཁྱད་པར་ནི་ཤེས་པ་དག་པའི་རྒྱུ་མཚན་ག-ཡོ་བ་ཉིད་ཐ་དད་པར་རྣམ་པར་འབྱེད་པ་མ་ཡིན་ནོ་༎
 tenāvicchinnapratibhāsinorapyanimittatvaṃ bhavet,	དེས་ན་རྣམ་པར་མ་ཆད་པར་སྣང་བ་དག་ཀྱང་རྒྱུ་མཚན་མེད་པ་ཉིད་དུ་འགྱུར་ཏེ་།
 viśeṣābhāvāt |	ཁྱད་པར་མེད་པའི་ཕྱིར་རོ་༎
 tathā sati, avicchinnatvaviśiṣṭaḥ pratibhāsabheda eva spandanapūrvako na bhavati |	དེ་ལྟ་བས་ན་སྣང་བའི་ཁྱད་པར་རྣམ་པར་མ་ཆད་པའི་ཁྱད་པར་ཅན་ནི་ག-ཡོ་བ་སྔོན་དུ་འགྲོ་བ་ཅན་མ་ཡིན་ནོ་༎ འོ་ན་ཅི་ཞེ་ན་།
 kintarhi? vicchinnasyāpi kriyāviśeṣasya pratibhāsa eva |	རྣམ་པར་ཆད་པ་ལ་། ཡང་བྱ་བའི་ཁྱད་པར་དུ་སྣང་བ་ཁོ་ན་ཡིན་ནོ་༎
 śaropalaprakṣepaṇayantranirmāṇaparapracālanādikriyāviśeṣapratibhāsināṃ vicchinnasyāpi pratibhāsasya spandanapūrvakatvāt |	མདའ་དང་རྡོ་འཕངས་པ་དང་། སྒྱོགས་དང་སྤྲུལ་པ་དང་། གཞན་གྱིས་རབ་ཏུ་བསྐྱོད་པ་ལ་སོགས་༄༣༥༦བ་པའི་བྱ་བའི་ཁྱད་པར་དུ་སྣང་བ་ཅན་རྣམས་། ཡུལ་ཆད་པར་སྣང་ཡང་ག-ཡོ་བ་སྔོན་དུ་འགྲོ་བ་ཅན་ཡིན་པའི་ཕྱིར་ལ་།
 parakṛtacālanādināṃ cāvicchinnasyāpyatadpūrvakatvāt | [13-19]	གཞན་གྱིས་བྱས་པའི་ག-ཡོ་བ་ལ་སོགས་པ་རྣམ་པར་མ་ཆད་པ་ཡིན་ཡང་དེ་སྔོན་དུ་འགྲོ་བ་ཅན་མ་ཡིན་པའི་ཕྱིར་རོ་༎
 tena hyatra kriyāviśeṣamātreṇa spandanasya pratītiritī yujyate |	དེ་ལྟ་བས་ན་འདིར་བྱ་བའི་ཁྱད་པར་ཙམ་གྱིས་ག-ཡོ་པ་རྟོགས་པ་ཡིན་པར་རིགས་སོ་༎
 tatra yadi kasyacidpūrvakatvam,	དེ་ལ་འགའ་ཞིག་སྔོན་དུ་འགྲོ་བ་ཅན་མ་ཡིན་བ་ཉིད་ཡིན་ན་།
 na ko 'pi tatpūrvakaḥ syāt,	འགའ་ཡང་དེ་སྔོན་དུ་འགྲོ་བ་ཅན་དུ་མི་འགྱུར་ཏེ་།
 viśeṣābhāvāt |	ཁྱད་པར་མེད་པའི་ཕྱིར་རོ་༎
