skt	tib
 śikṣāsamuccayakārikā (śsk)	བོད་སྐད་དུ་། བསླབ་པ་ཀུན་ལས་བཏུས་པའི་ཚིག་ལེ་འུར་བྱས་པ་། སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་dd་ཕྱག་འཚལ་ལོ་༎
 yadā mama pareṣāṃ ca bhayaṃ duḥkhaṃ ca na priyam |	འདི་ལྟར་བདག་དང་གཞན་དག་ཀྱང་༎ འཇིགས་དང་སྡུག་བསྔལ་མི་འདོད་ན་༎ བདག་དང་བྱེ་བྲག་ཅི་ཡོད་ན་༎
 tadātmanaḥ ko viśeṣo yattaṃ rakṣāmi netaram || śsk_1 ||	གང་དེ་བསྲུང་ལ་གཞན་མི་བསྲུང་༎
 duḥkhāntaṃ kartukāmena sukhāntaṃ gantumicchatā |	སྡུག་བསྔལ་མཐར་འབྱིན་འདོད་པ་དང་༎ བདེ་བའི་མཐར་ཡང་འགྲོ་འདོད་པས་༎
 śraddhāmūlaṃ dṛḍhīkṛtya bodhau kāryā matirdṛḍhā || śsk_2 ||	དད་པའི་རྩ་བ་བརྟན་བྱ་སྟེ་༎ བྱང་ཆུབ་ལ་ཡང་བློ་བརྟན་བྱ་༎
 (śikṣādaro) mahāyānādbodhisattvasya saṃvaraḥ |	བྱང་ཆུབ་སེམས་དཔའི་སྡོམ་པ་ནི་༎ རྒྱས་པར་ཐེག་པ་ཆེ་ལས་འབྱུང་༎ གང་གིས་ལྟུང་བར་མི་འགྱུར་བའི་༎
 marmasthānānyato vidyādyenānāpattiko bhavet || śsk_3 ||	གནད་ཀྱི་གནས་རྣམས་འདིར་རིག་བྱ་༎
 ātmabhāvasya bhogānāṃ tryadhvavṛtteḥ śubhasya ca |	བདག་གི་ལུས་དང་ལོངས་སྤྱོད་དང་༎ དགེ་བ་དུས་གསུམ་སྐྱེས་པ་རྣམས་༎
 utsargaḥ sarvasattvebhyastadrakṣā śuddhivardhanam || śsk_4 ||	སེམས་ཅན་ཀུན་ལ་བཏང་བ་དང་༎ དེ་བསྲུང་དག་པ་སྤེལ་བའོ་༎
 paribhogāya sattvānāmātmabhāvādi dīyate |	སེམས་ཅན་རྣམས་ཀྱིས་ལོངས་སྤྱད་ཕྱིར་༎ ལུས་ལ་སོགས་པས་བསྲུང་བར་བྱ་༎
 arakṣite kuto bhogaḥ ki dattaṃ yanna bhujyate || śsk_5 ||	མ་བསྲུངས་ལོངས་སྤྱོད་གང་ལས་འོང་༎ གང་མི་སྤྱོད་པ་ཅི་ཞིག་སྦྱིན་༎ དེ་བས་སེམས་༄༢ཨ་༌་༎ ཅན་ལོངས་སྤྱོད་ཕྱིར་༎ དགེ་བའི་བཤེས་གཉེན་མི་གཏོང་ཞིང་༎ མདོ་སྡེ་དག་ལ་རྟག་བལྟ་བས་༎
 tasmātsattvopabhogārthamātmabhāvādi pālayet | kalyāṇamitrānutsargāt sūtrāṇāṃ ca sadekṣaṇāt || śsk_6 ||	ལུས་ལ་སོགས་པ་བསྲུང་བར་བྱ་༎
 tatrātmabhāve kā rakṣā yadanarthavivarjanam |	དེ་ལ་ལུས་བསྲུང་གང་ཞེ་ན་༎ གནོད་པར་འགྱུར་བ་སྤང་བ་སྟེ༎
 kenaitallabhyate sarvaṃ niṣphalaspandavarjanāt || śsk_7 ||	དེ་ཀུན་གང་གིས་འཐོབ་ཅེ་ན་༎ འབྲས་བུ་མེད་པའི་བྱེད་སྤངས་པས་༎
 etatsidhyetsadā smṛtyā smṛtistīvrādarādbhavet |	དེ་ཡང་རྟག་ཏུ་དྲན་པས་འགྲུབ་༎ དྲན་པ་ཤིན་ཏུ་གུས་ལས་འབྱུང་༎
 ādaraḥ śamamāhātmyaṃ jñātvātāpena jāyate || śsk_8 ||	གུས་ནི་ཞི་བའི་ཆེ་བ་ཉིད་༎ ཤེས་པར་གྱུར་ནས་བརྟུན་པས་སྐྱེད་༎
 samāhito yathābhūtaṃ prajānātītyavadanmuniḥ |	མཉམ་གཞག་ཡང་དག་ཇི་བཞིན་དུ་༎ ཤེས་པར་འགྱུར་ཞེས་ཐུབ་པས་གསུངས་༎
 śamācca na caleccitaṃ bāhyaceṣṭā nivartanāt || śsk_9 ||	ཕྱི་རོལ་ག-ཡོ་བ་བཟློག་པ་ཡིས་༎ སེམས་ནི་ཞི་ལས་མི་ག-ཡོ་ཞིང་༎
 sarvatrāpacalo mandamatisnigdhābhibhāṣaṇāt |	ཀུན་དུ་མི་རྒོད་འཇམ་པ་དང་༎ རན་ཅིང་མཉེན་པར་སྨྲ་བ་ཡིས་༎
 āvavarjayejjanaṃ bhavyamādeyaścāpi jāyate || śsk_10 ||	སྐལ་ཅན་སྐྱེ་བོ་འདུན་པར་འགྱུར་༎ གཟུང་བར་འོས་པའང་སྐྱེ་བར་འགྱུར་༎ འདི་ནི་གཟུང་འོས་མ་ཡིན་ན་༎
 anādeyaṃ tu taṃ lokaḥ paribhūya jināṅkuram |	འཇིག་རྟེན་རྒྱལ་བའི་མྱུ་གུ་བརྙས་༎
 bhasmacchanno yathā vahniḥ pacyeta narakādiṣu || śsk_11 ||	ཐལ་བས་ག-ཡོགས་པའི་མེ་བཞིན་དུ་༎ སེམས་ཅན་དམྱལ་ལ་སོགས་པར་སྲེག་། 
 ratnameghe jinenoktastena saṅkṣepasaṃvaraḥ |	དེ་ཕྱིར་རྒྱལ་བས་སྡོམ་པའི་མདོར་༎
 yenāprasādaḥ sattvānāṃ tadyatnena vivarjayet || śsk_12 ||	གང་གིས་སེམས་ཅན་མ་དད་འགྱུར་༎ དེ་ནི་བསྒྲིམས་ཏེ་རྣམ་སྤང་ཞེས་༎ དཀོན་མཆོག་སྤྲིན་ལས་བཀའ་སྩལ་ཏོ་༎
 eṣā rakṣātmabhāvasya bhaiṣajyavasānādibhiḥ |	འདི་ནི་བདག་ལུས་བསྲུང་བ་སྟེ་༎ སྨན་དང་གོས་ལ་སོགས་བཅས་པས་༎ བདག་༄༢བ་ལ་སྲེད་པས་ལོངས་སྤྱད་ན་༎
 ātmatṛṣṇopabhogāttu kliṣṭāpattiḥ prajāyate || śsk_13 ||	ཉོན་མོངས་བཅས་པའི་ལྟུང་བར་འགྱུར་༎
 sukṛṭārambhiṇā bhāvyaṃ mātrajñena ca sarvataḥ |	ལེགས་སྤྱད་དག་ལ་བརྩམ་པར་བྱ་༎ ཐམས་ཅད་ལ་ཡང་ཚོད་རིག་བྱ་༎
 iti śikṣāpadādasya bhogarakṣā na duṣkarā || śsk_14 ||	དེ་ལྟས་བསླབ་པའི་གཞི་འདི་ལས་༎ དེ་ཡི་ལོངས་སྤྱོད་བསྲུང་མི་དཀའ་༎
 svārthavipāka vaitṛṣṇyācchubhaṃ saṃrakṣitaṃ bhavet |	རང་དོན་རྣམ་སྨིན་སྲེད་སྤངས་པས་༎ དགེ་བ་ཀུན་དུ་བསྲུང་བར་འགྱུར་༎ འགྱོད་པར་ཡང་ནི་མི་བྱ་སྟེ་༎
 paścātāpaṃ na kurvīta na ca kṛtvā prakāśayet || śsk_15 ||	བྱས་པར་གྱུར་ཀྱང་བསྒྲག་མི་བྱ་༎
 lābhasatkārabhītaḥ syādunnatiṃ varjayetsadā |	རྙེད་དང་བཀུར་སྟིས་འཇིགས་བྱ་ཞིང་༎ ཁེངས་པ་རྟག་ཏུ་སྤང་བར་བྱ་༎
 bodhisattvaḥ prasannaḥ syāddharme vimatimutsṛjet || śsk_16 ||	བྱང་ཆུབ་སེམས་དཔའ་དད་བྱ་ཞིང་༎ ཆོས་ལ་ཡིད་གཉིས་སྤང་བར་བྱ་༎
 śodhitasyātmabhāvasyabhogaḥ pathyo bhaviṣyati | samyaksiddhasya bhaktasya niṣkaṇasyeva dehinām || śsk_17 ||	ལུས་ནི་རྣམ་པར་སྦྱང་བྱས་ན་༏་། ཕན་པའི་ལོངས་སྤྱོད་འགྱུར་བ་སྟེ་༎ འབྲས་ཆན་ལེགས་པར་ཚོས་པ་དང་༎ གཟེགས་མེད་ལུས་ཅན་ཕན་པ་འདྲ་༎ ཇི་ལྟར་ལོ་ཏོག་བཙས་ཁེབས་ན་༎
 tṛṇacchanna yathā śasyaṃ rogaiḥ sīdati naidhate |	ནད་ཀྱིས་ཞུམ་ཞིང་རྒྱས་མི་འགྱུར་༎
 buddhāṅkurastathā vṛddhiṃ kleśacchanno na gacchati || śsk_18 ||	དེ་ལྟར་སངས་རྒྱས་མྱུ་གུ་ཡང་༎
