skt	tib
 mahāyānapathasādhanasaṅgrahaḥ namaḥ sarvabuddhabodhisattvebhyaḥ	༄༣༠༢བ་༅་༎ རྒྱ་གར་སྐད་དུ་། མ་ཧའ་ཡའ་ན་པ་ཐའ་སའ་དྷ་ན་སམ་གྲ་ཧ་། བོད་སྐད་དུ་། ཐེག་པ་ཆེན་པོ་ལམ་གྱི་སྒྲུབ་ཐབས་ཤིན་ཏུ་བསྡུས་པ་། སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ་༎
 sarvātītādyabuddhānāṃ janakatvāt pitarau tathā | bhaktyā sādhanadharmāśca vākcittābhyāṃ mudā nataḥ || 1 ||	འདས་དང་ད་ལྟར་བདེ་གཤེགས་ཀུན་༎ སྐྱེད་པའི་ཡབ་དང་ཡུམ་གྱུར་པ་༎ སྒྲུབ་པའི་ཆོས་ལ་རབ་གུས་ཤིང་༎ ངག་༄༣༠༣ཨ་༌་༎ ཡིད་དང་བས་ཕྱག་འཚལ་ལོ་༎ བསམ་གྱིས་མི་ཁྱབ་ཆེ་བ་མངའ་༎
 acintyāṃ mahatīṃ bodhiṃ jighṛkṣuścedanuttarām |	བླ་མ་བྱང་ཆུབ་ཐོབ་འདོད་ན་༎
 bodheḥ sādhananiṣṭhatvāt sādhanaṃ sārato bhajet || 2 ||	བྱང་ཆུབ་བསྒྲུབ་ལ་རག་ལས་པས་༎ སྒྲུབ་པ་ལྷུར་བླང་སྙིང་པོར་བྱ་༎
 sa ca triśaraṇaṃ gattvā nivārya sakalāśubhān |	དེ་ཡིས་གསུམ་ལ་སྐྱབས་འགྲོ་ཞིང་༎ མི་དགེ་ཀུན་ལས་ལྡོག་པ་ཡིས་༎
 adhiśīlaṃ bhajecchuddhaṃ bodhicittasya vāhanam || 3 ||	ལྷག་པའི་ཚུལ་ཁྲིམས་དག་པར་བསྲུང་༎ བྱང་ཆུབ་སེམས་ཀྱི་བཞོན་པ་ལ་༎ བརྟེན་ནས་འཆི་བ་རྗེས་དྲན་གྱི་༎
 āśritya kaśayā bhūyas tāḍayan maraṇasmṛteḥ |	ལྕག་ནི་ཡང་དང་ཡང་བརྡབ་ཅིང་༎
 bhavamārga mahābhītiṃ krāmetainaṃ ca satvaram || 4 ||	སྲིད་ལམ་འཇིགས་པ་ཆེ་ས་ཡི་༎ ལམ་འདི་མྱུར་དུ་འདས་བྱས་ལ་༎
 abhayabuddhabhūprāptaḥ praṇidhānapade sthitaḥ |	འཇིགས་མེད་སངས་རྒྱས་སར་ཕྱིན་བྱ་༎ སྨོན་པའི་གཞི་ལ་གནས་པ་ཡིས་༏་། སེམས་དཔའི་སྡོམ་པ་རབ་བཟུང་ཞིང་༎
 sattvasaṃvaramādhāya ṣaṭ ca pāramitādikāḥ || 5 ||	ཕ་རོལ་ཕྱིན་དྲུག་ལ་སོགས་པ་༎
 sattvacaryāścarettadvat tatprajñopāyasaṅgraham |	སེམས་དཔའི་སྤྱོད་པ་ཚུལ་བཞིན་སྤྱད་༎ དེ་བསྡུས་ཐབས་དང་ཤེས་རབ་ལ་༎
 śikṣetāsthitanirvāṇaṃ tatsāro dvividhastathā || 6 || rāgadraryarahito nityaṃ pāvakārthī tathāraṇim |	མི་གནས་མྱ་ངན་འདས་ཕྱིར་བསླབ་༎ དེ་ཡི་སྙིང་པོ་རྣམ་པ་གཉིས་༎ མེ་དོན་གཉེར་བས་གཙུབ་ཤིང་ལྟར་༎ ཆགས་པའི་ལྡན་དང་བྲལ་བ་ཡིས་༎
 bhāvayet satataṃ bhaktyā buddhaḥ śīghraṃ tato bhavet || 7 ||	རྟག་ཏུ་རྒྱུན་ལྡན་གུས་པར་བསྒོམ་༎ དེ་ཡིས་མྱུར་དུ་དེ་འཚང་རྒྱ་༎
 parārtha maṇivannityam anābhogaṃ karoti saḥ |	ནོར་བུ་བཞིན་དུ་གཞན་གྱི་དོན་༎ ལྷུན་གྱིས་གྲུབ་པར་དེ་བྱེད་འགྱུར་༎
 mahāyānasya śikṣeyuḥ dhanyāḥ sādhanasaṅgraham || 8 ||	ཐེག་ཆེན་སྒྲུབ་ཐབས་བསྡུས་འདི་ལ་༎ སྐལ་ལྡན་རྣམས་ཀྱིས་ལེགས་པར་བསླབ་༎ སྙིང་ལ་བདུད་རྩིའི་ཐིགས་པ་ཆགས་༎
 cittaṃ sudhālavaiḥ raktaṃ buddhayśuddhau ca duḥspṛśam |	བློ་མ་སྦྱངས་པས་བློས་རེག་དཀའ་༎
 etatsaṅgrahapuṇyena jagad yātu mahāpatham || 9 ||	འདི་བསྡུས་དགེ་བས་འགྲོ་བ་ཀུན་༎ ཐེག་ཆེན་སྒྲུབ་པ་ལྷུར་ལེན་ཤོག་། 
 buddhabhūmimahaṃ cāptvā bhaveyaṃ lokanāyakaḥ || 10 a ba ||	བདག་ཀྱང་སངས་རྒྱས་ས་ཐོབ་ནས་༎ འགྲོ་བའི་འདྲེན་པ་བྱེད་པར་ཤོག་། 
 'atisaṃkṣiptamahāyānapathasādhanaṃ' mahācāryadīpaṅkaraśrījñānaviracitaṃ samāptam ||	ཐེག་པ་ཆེན་པོ་ལམ་གྱི་སྒྲུབ་ཐབས་ཤིན་ཏུ་བསྡུས་པ་། སློབ་དཔོན་ཆེན་པོ་དཔལ་མར་མེ་མཛད་ཡེ་ཤེས་ཀྱིས་མཛད་པ་རྫོགས་སོ་།
