skt	tib
 guru-kriyā-kramaḥ sarvabuddhabodhisattvebhyo namaḥ	༄༢༥༦བ་༅་༎ རྒྱ་གར་སྐད་དུ་། གུ་རུ་ཀྲི་ཡ་ཀྲ་མ་། བོད་སྐད་དུ་། བླ་མའི་བྱ་བའི་རིམ་པ་། སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ་༎
 prathamaṃ prāmāṇika ācāryaḥ śiṣye prasāda-sampratyayābhilāṣātmikāṃ śraddhāṃ janayet |	དང་པོར་ཚད་དང་ལྡན་པའི་སློབ་དཔོན་གྱིས་། སློབ་མ་ལ་དད་པ་དང་ཡིད་ཆེས་པ་དང་འདོད་པའི་དད་པ་བསྐྱེད་ལ་།
 tato bodhicittānuśaṃsām uktvā utsāhaṃ janayet |	དེ་ནས་བྱང་ཆུབ་ཀྱི་སེམས་ཀྱི་ཕན་ཡོན་བརྗོད་ལ་སྤྲོ་བ་བསྐྱེད་པར་བྱའོ་༎
 tataḥ paraṃ viśiṣṭavihāre viśiṣṭapūjopakaraṇaṃ sthāpayet |	དེ་ནས་གནས་ཁང་ཁྱད་པར་ཅན་དུ་མཆོད་པའི་ཚོགས་ཁྱད་པར་ཅན་བཤམས་ལ་།
 āryasaṃghān āmantrya, praṇamya, pādau prakṣālya, āsanaṃ pradāya,	འཕགས་པའི་ཚོགས་སྤྱན་དྲངས་ཏེ་།
 uttarānuttarapūjopakaraṇaiḥ sampūjya pūjāmeghamantrānapi triruccaret |	ཕྱག་འཚལ་བ་དང་། ཞབས་བསིལ་ཞིང་གདན་དབུལ་བ་དང་། བླ་ན་ཡོད་པ་དང་། བླ་ན་མེད་པའི་མཆོད་པའི་ཚོགས་ཀྱིས་ལེགས་པར་མཆོད་ཅིང་། མཆོད་པའི་སྤྲིན་གྱི་སྔགས་ཀྱང་ལན་གསུམ་བརྗོད་དོ་༎
 stotā sugataviśiṣṭaguṇasmaraṇadvārā sādaraṃ stutvā tattadvṛddhikarāṇyapi padāni uccaret |	བསྟོད་པ་བྱེད་པས་བདེ་བར་གཤེགས་པའི་ཡོན་ཏན་ཁྱད་པར་ཅན་དྲན་པའི་སྒོ་ནས་གུས་པས་བསྟོད་ཅིང་། དེ་དང་དེ་འཕེལ་བའི་ཚིག་ཀྱང་བརྗོད་དོ་༎
 tataśca deśanā-anumodanā-adhyeṣaṇā-prārthanā-pariṇāmanādayaḥ karaṇīyāḥ |	དེ་ནས་བཤགས་པ་དང་། རྗེས་སུ་ཡི་རང་བ་དང་། བསྐུལ་བ་དང་། གསོལ་བ་གདབ་པ་དང་། བསྔོ་བ་ལ་སོགས་པ་བྱ་སྟེ་།
 tataḥ śraddhāvān śiṣya ācārya praṇamet |	དེ་ནས་སློབ་མ་དད་པ་དང་ལྡན་པས་སློབ་དཔོན་ལ་ཕྱག་བྱས་ལ་།
 adhyeṣaṇādibhirdvividhaṃ bodhicittaṃ samutpādya teṣāṃ svasvabhāvaṃ bhedaṃ vaiśiṣṭyañcāpi khyāpayet |	གསོལ་བ་གདབ་པ་ལ་སོགས་པས་བྱང་ཆུབ་ཀྱི་སེམས་རྣམ་པ་གཉིས་ལེགས་པར་བསྐྱེད་ལ་། དེ་དག་གི་རང་གི་ངོ་བོ་དང་། དབྱེ་བ་དང་། ཁྱད་པར་ཡང་བརྗོད་དོ་༎
