 श्रावकभूमिः (श्भ्_स्ह्: ५)	ཉན་ཐོས་ཀྱི་ནི་ས་ཞེས་བྱ་༎
 इ। गोत्रभूमिः	རིགས་ཀྱིས་ས་གང་ཞེ་ན་། སྨྲས་པ་། རིགས་གང་ཡིན་པ་དང་། རིགས་ཀྱི་རྣམ་པར་གཞག་པ་གང་ཡིན་པ་དང་། རིགས་ལ་གནས་པའི་གང་ཟག་རྣམས་ཀྱི་རྟགས་གང་ཡིན་པ་དང་། རིགས་ལ་གནས་པའི་གང་ཟག་གང་དག་ཡིན་པ་དེ་དག་ཐམས་ཅད་གཅིག་ཏུ་བསྡུས་པ་ནི་རིགས་ཀྱི་ས་ཞེས་བྱའོ་༎ དེ་ལ་རིགས་གང་ཞེ་ན་། སྨྲས་པ་། རིགས་ལ་གནས་པའི་གང་ཟག་གི་ས་བོན་གྱི་ཆོས་གང་ཡིན་པ་སྟེ་། གང་༄༢ཨ་༌་༎ ཡོད་ཅིང་མེད་པ་མ་ཡིན་ལ་རིགས་ལ་གནས་པའི་གང་ཟག་རྣམས་ཀྱི་རྐྱེན་ཡང་རྙེད་ན་། མྱ་ངན་ལས་འདས་པ་ཐོབ་པ་དང་། རེག་པར་ནུས་ཤིང་མཐུ་ཡོད་པར་འགྱུར་བའོ་༎ རིགས་དེའི་མིང་གི་རྣམ་གྲངས་དག་གང་ཞེ་ན་། ས་བོན་དང་། ཁམས་དང་། རང་བཞིན་ཞེས་བྱ་བ་ནི་མིང་གི་རྣམ་གྲངས་དག་ཡིན་ནོ་༎ འོད་ན་རིགས་དེའི་རང་བཞིན་ཇི་ལྟ་བུ་ཞེ་ན་། དེ་ནི་ལུས་ལས་ཁྱད་པར་དུ་གྱུར་པ་དང་༏་སྐྱེ་མཆེད་དྲུག་གིས་ཟིན་པ་དང་། ཆོས་ཉིད་ཀྱིས་འཐོབ་པ་དང་། ཐོག་མ་མེད་པའི་དུས་ནས་བརྒྱུད་དེ་འོངས་པ་དེ་ལྟ་བུ་ཡིན་ཏེ་། གང་ལ་འདི་ལྟ་སྟེ་། རིགས་དང་། ས་བོན་དང་། ཁམས་དང་། རང་བཞིན་ཞེས་བྱ་བའི་མིང་གི་རྣམས་གྲངས་འདི་དག་ཡོད་པ་དེ་ནི་རིགས་ཞེས་བྱའོ་༎ རིགས་ཀྱི་རྣམ་པར་གཞག་པ་ནི་གང་། རིགས་དེ་ཕྲ་བའམ་། རིགས་པ་ཞེས་བརྗོད་པར་བྱ་ཞེ་ན་། སྨྲས་པ་། ཕྲ་བ་ཞེས་བརྗོད་པར་བྱའོ་༎ ཅིའི་ཕྱིར་ཞེ་ན་། ས་བོན་དེས་འབྲས་བུ་མ་བསྐྱེད་ཅིང་འབྲས་བུ་མ་གྲུབ་ན་ནི་དེས་ན་དེ་ཕྲ་བ་ཞེས་བྱའོ་༎ གང་གི་ཚེ་འབྲས་བུ་བསྐྱེད་ཅིང་འབྲས་བུ་གྲུབ་པར་གྱུར་པ་དེའི་ཚེ་ན་ནི་ས་བོ་ན་གང་ཡིན་པ་དེ་༄༢བ་དང་འབྲས་བུ་གང་ཡིན་པ་དེ་གཅིག་ཏུ་བསྡུས་ནས་དེའི་ཕྱིར་རིགས་དེ་རྒས་པ་ཞེས་བྱ་བར་རྟོགས་པར་འགྱུར་བྱའོ་༎ རོ་༎ འོ་ན་ཅི་རིགས་དེ་རྒྱུད་གཅིག་ཏུ་གཏོགས་པ་ཞིག་གམ་། འོན་ཏེ་རྒྱུད་དུ་མར་གཏོགས་པར་བརྗོད་པར་བྱ་ཞེ་ན་། སྨྲས་པ་། རྒྱུད་གཅིག་ཏུ་གཏོགས་པར་བརྗོད་པར་བྱའོ་༎ ཅིའི་ཕྱིར་ཞེན་། སྨྲས་པ་། ཆོས་གང་དག་མཚན་ཉིད་ཐ་དད་པ་དང་དངོས་པོ་ཐ་དད་པར་འཇུག་པ་དེ་དག་ནི་སོ་སོར་རང་གི་རྒྱུད་སྣ་ཚོགས་དང་འཇུག་པ་སྣ་ཚོགས་སུ་སྟོན་པར་འགྱུར་གྱི་། ས་བོན་དེ་ནི་སྐྱེ་མཆེད་དྲུག་པོ་དེ་དག་ལས་ལོགས་ཤིག་ན་ཐ་དད་པའི་མཚན་ཉིད་མེད་དེ་ཐོག་མ་མེད་པའི་དུས་ནས་བརྒྱུད་དེ་འོངས་པ་དང་། ཆོས་ཉིད་ཀྱིས་ཐོབ་པའི་སྐྱེ་མཆེད་དྲུག་པོ་དེ་ལྟ་བུར་གྱུར་པའི་གནས་སྐབས་དེ་པ་དང་། ལ་རིགས་དང་། ས་བོན་དང་། ཁམས་། རང་བཞིན་ཞེས་བྱ་བའི་མིང་དང་། ཐ་སྙད་དེ་དག་བཏགས་པར་ཟད་པས་། དེའི་ཕྱིར་དེ་ནི་རྒྱུད་གཅིག་ཏུ་གཏོགས་པ་ཞེས་བྱའོ་༏་། སྨྲས་པ་། གལ་ཏེ་རིགས་ལ་གནས་པའི་གང་ཟག་རྣམས་ནི་ཡོངས་སུ་མྱ་ངན་ལས་འདའ་བའི་ཆོས་ཅན་ཡིན་ལ་། རིགས་ལ་གནས་པ་མ་ཡིན་པ་རྣམས་ནི་། ཡོངས་སུ་མྱ་ངན་ལས་འདའ་བའི་ཆོས་ཅན་མ་ཡིན་པར་ལྟ་ན་། འོ་ན་ཅིའི་ཕྱིར་ཡོངས་སུ་མྱ་ངན་ལས་འདའ་བའི་ཆོས་ཅན་རྣམས་སྔོན་གྱི་མཐའ་ནས་ཡུན་རིང་པོར་འཁོར་བར་གྱུར་ཅིང་། ཡོངས་སུ་མྱ་ངན་ལས་མ་འདས་ཤེ་ན་། སྨྲས་པ་། རྒྱུ་བཞིས་ཡོངས་སུ་མྱ་ངན་ལས་མ་འདས་ཏེ་། བཞི་གང་ཞེ་ན་། མི་ཁོམ་པར་སྐྱེས་པ་དང་། བག་མེད་པའི་ཉེས་པ་དང་། ལོགས་པར་ཞུགས་པ་དང་། སྒྲིབ་པའི་ཉེས་པས་སོ་༏་། དེ་ལ་མི་ཁོམ་པར་སྐྱེས་པ་གང་ཞེ་ན་། སྨྲས་པ་། གང་དུ་འཁོར་བཞི་བོ་རྣམས་དང་། དམ་པ་རྣམས་དང་། ཡང་དག་པར་སོང་བ་རྣམས་དང་། སྐྱེས་བུ་དམ་པར་རྣམས་མི་འགྲོ་བའི་མཐའ་འཁོར་གྱི་མི་རྐུན་མ་རྣམས་དང་། ཀླ་ཀློ་རྣམས་སུ་སྐྱེས་པ་ཡིན་ཏེ་། དེ་མི་ཁོམ་པར་སྐྱེས་པ་ཞེས་བྱའོ་༎
 ॥ [।] इन्द्रियैरविकलता,	བག་མེད་པ་གང་ཞེ་ན་། སྨྲས་པ་། དེ་གང་དུ་འཁོར་བཞི་པོ་རྣམས་དང་། དམ་པ་རྣམས་དང་། ཡང་དག་པར་སོང་བ་རྣམས་དང་། སྐྱེས་བུ་དམ་པར་རྣམས་འགྲོ་བའི་འདི་དུས་ཀྱི་མི་རྐུན་མ་མ་ཡིན་པ་རྣམས་དང་། ཀླུ་ཀློ་མ་ཡིན་པ་རྣམས་༄༣ཨ་༌་༎ སུ་སྐྱེས་ཤིང་། རིགས་མཐོན་པོ་ལོངས་སྤྱོད་སྤྱོད་ཕུན་སུམ་ཚོགས་པ་དག་ཏུ་སྐྱེས་སུ་ཟིན་ཀྱང་། འདོད་པ་དག་ལ་ལྷག་པར་ཆགས་ཤིང་ཡོངས་སུ་ལོངས་སྤྱོད་པར་བྱེད་དེ་། ཉེས་དམིགས་སུ་མི་ལྟ་ཞིང་ངེས་པར་འབྱུང་བར་རབ་ཏུ་མི་ཤེས་པ་ཡིན་ཏེ་། དེ་ནི་བག་མེད་པ་ཞེས་བྱའོ་༎
 आयतनगतः प्रसादः,	ལོགས་པར་ཞུགས་པ་གང་ཞེ་ན་། སྨྲས་པ་། འདི་ལྟར་དབུས་ཀྱི་མི་རྣམས་སུ་སྐྱེས་པའི་བར་དུ་རྒྱས་པར་གྱུར་ཀྱང་མུ་སྟེགས་ཅན་གྱི་ལྟ་བ་དང་ལྡན་པར་གྱུར་ནས་སྦྱིན་པ་མེད་དོ་ཞེས་བྱ་བ་ནས་འདི་ལས་སྲིད་གཞན་མི་ཤེས་སོ་༎ ཞེས་བྱ་བ་མེད་དོ་ཞེས་བྱ་བའི་བར་དུ་རྒྱས་པར་དེ་ལྟར་ལྟ་ཞིང་དེ་སྐད་སྨྲ་བ་ཡིན་ཏེ་། མུ་སྟེགས་ཅན་གྱི་ལྟ་བ་དེ་ཡང་དེས་སངས་རྒྱས་རྣམས་འབྱུང་བ་མེད་པ་དང་། དམ་པ་ཆོས་སྟོན་པའི་དགེ་བའི་བཤེས་གཉེན་རྣམས་མེད་པའི་ཚེ་ན་རྙེད་པར་འགྱུར་ཏེ་། དེ་ནི་ལོག་པར་ཞུགས་པ་ཞེས་བྱའོ་༎ སྒྲིབ་པ་གང་ཞེ་ན་། སྨྲས་པ་༏་འདི་ལྟར་དབུས་ཀྱི་མི་རྣམས་སུ་སྐྱེས་པའི་བར་དུ་རྒྱས་པར་སྔ་མ་བཞིན་དུ་གྱུར་ཅིང་སངས་རྒྱས་འཇིག་རྟེན་དུ་བྱུང་བ་དང་། དམ་པའི་ཆོས་སྟོན་པའི་དགེ་བའི་བཤེས་གཉེན་དག་རྙེད་པར་གྱུར་ཀྱང་། དེ་གླེན་པ་དང་། དིག་པ་དང་། ལྐུག་པ་དང་། ལག་པས་བརྡ་བྱེད་པར་འགྱུར་ཞིང་ལེགས་པར་གསུངས་པ་དང་། ཉེས་པར་བཤད་པའི་ཆོས་རྣམས་ཀྱི་དོན་ཀུན་ཤེས་པར་མི་ནུས་པ་དང་། མཚམས་མེད་པའི་ལས་རྣམས་བྱེད་པར་འགྱུར་པ་དང་། ཉོན་མོངས་པ་ཡུན་རིང་བ་ཡིན་ཏེ་དེ་ནི་སྒྲིབ་པ་ཞེས་བྱའོ་། རྒྱུ་གང་དག་གིས་ཡོངས་སུ་མྱ་ངན་ལས་འདའ་བའི་ཆོས་ཅན་རྣམས་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པའི་རྒྱུ་ནི་བཞི་པོ་དེ་དག་ཡིན་ནོ་༎ དེ་དག་ཀྱང་གང་གི་ཚེ་སངས་རྒྱས་འབྱུང་བ་དང་། དམ་པའི་ཆོས་ཉན་པ་དང་རྗེས་སུ་མཐུན་པའི་གདམས་ངག་རྗེས་སུ་བསྟན་པ་རྙེད་ཅིང་། རྒྱུ་དེ་དག་ཀྱང་མེད་པར་གྱུར་པ་དེའི་ཚེ་ན་དགེ་བའི་རྩ་བ་དག་ཡོངས་སུ་སྨིན་ཅིང་རིམ་གྱིས་ཡོངས་སུ་མྱ་ངན་ལས་འདའ་བར་ཡང་འགྱུར་རོ་༎ ཡོངས་སུ་མྱ་ངན་ལས་མི་འདའ་བའི་ཆོས་ཅན་རྣམས་ནི་ངེས་པའི་ཚོགས་ལ་གནས་འགྱུར་རོ་༎ 
 अपरिवृत्तकर्मान्तता [।]	པ་ཡིན་པས་། དེ་དག་ནི་རྐྱེན་རྙེད་ཀྱང་རུང་མ་རྙེད་ཀྱང་རུང་སྟེ་། རྣམ་པ་ཐམས་ཅད་ཀྱི་ཐམས་ཅད་དུ་ཡོངས་སུ་མྱ་ངན་ལས་འདའ་བའི་༄༣བ་སྐལ་བ་མེད་པ་ཁོ་ན་ཡིན་ནོ་༎ དེ་ལ་ཡོངས་སུ་མྱ་ངན་ལས་འདའ་བའི་ཆོས་ཅན་རྣམས་ཀྱི་གང་དག་མ་ཚང་ཞིང་མེད་ལ་ཉེ་བར་མ་གྱུར་ན་ཡོངས་སུ་མྱ་ངན་ལས་མི་འདའ་བའི་རྐྱེན་རྣམས་གང་ཞེ་ན་། སྨྲས་པ་། རྐྱེན་གཉིས་ཏེ་། གཉིས་གང་ཞེ་ན་། གཙོ་བོ་དང་། དམན་པའོ༎ རྐྱེན་གཙོ་བོ་གང་ཞེ་ན་། སྨྲས་པ་། འདི་ལྟ་སྟེ་། དམ་པའི་ཆོས་ཀྱི་དབང་དུ་བྱས་པའི་གཞན་གྱི་སྒྲ་དང་། ནང་གི་ཚུལ་བཞིན་ཡིད་ལ་བྱེད་པའོ་༎ རྐྱེན་དམན་པ་གང་ཞེ་ན་། སྨྲས་པ་། རྐྱེན་དམན་པ་ནི་མང་སྟེ་། འདི་ལྟ་སྟེ་། བདག་གི་འབྱོར་བ་དང་། གཞན་གྱི་འབྱོར་བ་དང་། དགེ་བའི་ཆོས་ལ་འདུན་པ་དང་། རབ་ཏུ་བྱུང་བ་དང་། ཚུལ་ཁྲིམས་ཀྱི་སྔོ་པ་དང་། དབང་པོ་སྡོམ་པ་དང་། ཟས་ཀྱི་ཚོད་རིག་པ་ཉིད་དང་། ནམ་གྱི་ཆ་སྟོད་དང་ནམ་གྱི་ཆ་སྨད་ལ་མི་ཉལ་བར་སྦྱོར་བའི་རྗེས་སུ་བརྩོན་པ་ཉིད་དང་། ཤེས་བཞིན་དུ་སྤྱོད་པ་ཉིད་དོ་༎ རབ་ཏུ་དབེན་པར་གནས་པ་དང་༏་སྒྲིབ་པ་རྣམ་པར་དག་པ་དང་། ཏིང་ངེ་འཛིན་ལ་ཡང་དག་པར་གནས་པའོ་༎ དེ་ལ་བདག་གི་འབྱོར་བ་གང་ཞེ་ན་། མིར་གྱུར་པ་དང་། ཡུལ་དབུས་སུ་སྐྱེས་པ་དང་། དབང་པོ་མ་ཚང་བ་མེད་པ་དང་། གནས་ལ་དད་པར་གྱུར་པ་དང་། ལས་ཀྱི་མཐའ་མ་ལོག་པ་གང་ཡིན་པའོ་༎
 तत्र मनुष्यत्वं कतमत् ।	དེ་ལ་མིར་གྱུར་པ་གང་ཞེ་ན་།
 यथापीहैकत्यो मनुष्याणां सभागतायां प्रत्याजातो भवति ।	འདི་ལྟར་འདི་ན་ལ་ལ་མི་རྣམས་དང་སྐལ་བ་མཉམ་པར་སྐྱེས་པ་།
 पुरुषश्च पुरुषेन्द्रियेण [समन्वागतो भवति ।	སྐྱེས་པའི་དབང་པོ་དང་ལྡན་པའམ་། བུད་མེད་དུ་སྐྱེས་པ་ཡིན་ཏེ་།
 इदमुच्यते मनुष्यत्वं [।]	དེ་ནི་མིར་གྱུར་པ་ཞེས་བྱའོ་༎
 आर्या[य]तने प्रत्याजातिः कतमा [।	ཡུལ་དབུས་སུ་སྐྱེས་པ་གང་ཞེ་ན་།
 ] यथापीहै] कत्यो मध्येषु [ज]नपदेषु प्रत्याजातो भवति पूर्ववद्यावद्यत्र गतिः सत्पुरुषाणामियमुच्यते आर्यायतने प्रत्याजातिः [।] (श्भ्_स्ह्: ६)	འདི་ལྟར་འདི་ན་ལ་ལ་སྔ་མ་བཞིན་དུ་གོང་དུ་སྐྱེས་བུ་དམ་པའི་བར་དག་འགྲོ་བའི་ཡུལ་དབུས་ཀྱི་མི་རྣམས་སུ་སྐྱེས་པ་ཡིན་ཏེ་། དེ་ནི་ཡུལ་དབུས་སུ་སྐྱེས་པ་ཞེས་བྱའོ་༎
