 बोधिसत्त्वप्रातिमोक्षसूत्रम्	བྱང་ཆུབ་སེམས་དཔའི་སྡོམ་པའི་ཆོག་། 
 ॐ नमः सर्व्वबुद्धबोधिसत्त्वेभ्यः ।	སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ་༎ 
 ये च ते बोधिसत्त्वानां त्रयः शीलस्कन्धा उक्ताः ।	གང་འདི་རྣམས་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ཚུལ་ཁྲིམས་ཀྱི་ཕུང་པོ་རྣམས་སུ་བརྗོད་ལོ་༎ 
 संवर शीलं कुशलधर्म्मसंग्राहकशीलं सत्त्वार्थक्रियाशीलं च तेषु शिक्षितुकामेन	པ་སྟེ་། སྡོམ་པའི་ཚུལ་ཁྲིམས་དང་། དགེ་བ་ཆོས་སྡུད་པའི་ཚུལ་ཁྲིམས་དང་། སེམས་ཅན་དོན་བྱེད་པའི་ཚུལ་ཁྲིམས་སོ་༎ དེ་རྣམས་ལ་སློབ་པར་འདོད་པའི་ཁྱིམ་པའམ་རབ་ཏུ་བྱུང་བ་༎
 गृहिणा वा प्रव्रजितेन वा ऽनुत्तरायां सम्यक्संबोधौ कृतप्रणिधानेन सहधार्म्मिकस्य	བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་སྨོན་ལམ་བཏབ་པས་ལྷན་ཅིག་ཏུ་ཆོས་མཐུན་པའི་བྱང་ཆུབ་སེམས་དཔའ་གང་མཁས་པ་ནུས་པ་། 
 बोधिसत्त्वस्य महापुण्यनिधानस्य वाग् विज्ञप्त्यर्थ ग्रहणावबोधसमर्थस्य पादयोर्न्निपत्याध्येषणा कार्या ।	ངག་གི་རྣམ་པར་རིག་བྱེད་ཀྱིས་དོན་མཛད་པ་དང་། གོ་བར་ནུས་པའི་ཞབས་དག་ལ་ཕྱག་འཚལ་ནས་གསོལ་བ་གདབ་པར་བྱ་སྟེ་།
 तवाहं कुलपुत्रायुष्मन् भदन्तेति वा ऽन्तिकात् बोधिसत्त्वशीलसंवरसमादानमाकाङ्क्षाभ्यादातुम् ।	བདག་རིགས་ཀྱི་བུ་ཁྱོད་དམ་། ཚེ་དང་ལྡན་པའམ་། བཙུན་པ་གང་ཉེ་བས་བྱང་ཆུབ་སེམས་དཔའི་ཚུལ་ཁྲིམས་ཀྱི་སྡོམ་པ་ཡང་དག་པར་ལེན་པར་འཚལ་བས་དེ་སྩལ་བ་ལ་རུང་ཞིང་དཀའ་བ་མ་མཆིས་ན་། 
 तदर्हस्यनुपरोधेन मुहूर्त्तमदनुकम्पया दातुं श्रोतुञ्चेति ॥	༄༢༣༩བ་ཐད་ཅིག་བདག་ལ་རྗེས་སུ་བརྩེ་བས་སྩལ་ཅིང་གསོན་ཅིག་ཅེས་བྱའོ་༎
 त्रिरेवमध्येष्य एकांसमुत्तराङ्गं कृत्वादशसु दिक्ष्वतीतानागतप्रत्युत्पन्नानां बुद्धानां	འདི་ལྟར་ལན་གསུམ་དུ་གསོལ་བ་བཏབ་ནས་བླ་གོས་ཕྲག་པ་གཅིག་ཏུ་གཟར་ཏེ་། ཕྱོགས་བཅུའི་འཇིག་རྟེན་རྣམས་ན་འདས་པ་དང་མ་བྱོན་པ་དང་ད་ལྟར་བྱུང་བའི་སངས་རྒྱས་བཅོམ་ལྡན་འདས་རྣམས་དང་། ས་ཆེན་པོར་ཆུད་པའི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ལ་བཏུད་ནས་།
 भगवतां महाभूमिप्रविष्टानां च बोधिसत्त्वानां सामीचीं कृत्त्वा तेषां गुणानामुखीकृत्य	དེ་རྣམས་ཀྱི་ཡོན་ཏན་རྣམས་མངོན་སུམ་དུ་བྱས་ནས་སེམས་ཆེན་པོ་བསྐྱེད་ནས་།
 घनरसं चेतःप्रसादं संजनय्य नीचैर्जानुमण्डलेनोत्कुटुकेन वा स्थित्वा तथागतप्रतिमां	པུས་མོ་བཙུགས་པའམ་ས་ལ་ཙོག་ཙོག་པོར་འདུག་པས་།
 पुरतः संस्थाप्य संपूज्य पुरस्कृत्यैवं स्याद्वचनीयः ।	དེ་བཞིན་གཤེགས་པའི་སྐུ་མངོན་དུ་བཞུགས་སུ་གསོལ་ནས་མཆོད་དེ་། མངོན་སུམ་དུ་བྱས་ནས་ཚིག་འདི་སྐད་ཅེས་བརྗོད་དོ་༎
 अनुप्रयच्छ मे कुलपुत्रायुष्मान् भदन्तेति वा बोधिसत्त्वशीलसंवरसमादानमिति ।	རིགས་ཀྱི་བུའམ་ཚེ་དང་ལྡན་པའམ་བཙུན་པ་གང་ཉེ་བས་བྱང་ཆུབ་སེམས་དཔའ་ཚུལ་ཁྲིམས་ཀྱི་སྡོམ་པ་ཡང་དག་པར་བླང་བ་བདག་ལ་རྗེས་སུ་སྩལ་དུ་གསོལ་ཞེས་སོ་༎
 तत् एकाग्रां स्मृतिमुपस्थाप्य चित्त प्रसादमेवानुवृंहयत ।	དེ་ནས་རྩེ་གཅིག་ཏུ་ཉེ་བར་གཞག་ནས་སེམས་དང་བརྗེས་སུ་བསྐྱེད་དེ་།
