		10.0
mahAyAna paTa sADana saFgrahaH namaH sarva budDa boDisattveByaH	@302b # // rgya gar skad du /ma h'a y'a na pa th'a s'a dha na sam gra ha / bod skad du / theg pa chen po lam gyi sgrub thabs shin tu bsdus pa / sangs rgyas dang byang chub sems dpa' thams cad la phyag 'tshal lo //	78.52757860576953
sarva atIta Adya budDAnAm janaka tvAt pitarO taTA BaktyA sADana DarmAH ca vAc cittAByAm mudA nataH	'das dang da ltar bde gshegs kun // skyed pa'i yab dang yum gyur pa // sgrub pa'i chos la rab gus shing // ngag @303a * // yid dang bas phyag 'tshal lo // bsam gyis mi khyab che ba mnga' //	76.39379049776032
acintyAm mahatIm boDim jiGRkzuH ced anuttarAm	bla ma byang chub thob 'dod na //	70.98092900622974
boDeH sADana nizWa tvAt sADanam sArataH Bajet	byang chub bsgrub la rag las pas // sgrub pa lhur blang snying por bya //	79.57303222807252
sa ca tri SaraNam gattvA nivArya sakala aSuBAn	de yis gsum la skyabs 'gro zhing // mi dge kun las ldog pa yis //	74.6916760433859
aDiSIlam Bajet SudDam boDi cittasya vAhanam	lhag pa'i tshul khrims dag par bsrung // byang chub sems kyi bzhon pa la // brten nas 'chi ba rjes dran gyi //	82.16365716775658
ASritya kaSayA BUyas tAxayan maraNa smRteH	lcag ni yang dang yang brdab cing //	68.92253216107687
Bava mArga mahABItim krAmeta enam ca satvaram	srid lam 'jigs pa che sa yi // lam 'di myur du 'das byas la //	76.37571220485901
aBaya budDa BU prAptaH praNiDAna pade sTitaH	'jigs med sangs rgyas sar phyin bya // smon pa'i gzhi la gnas pa yis ; / sems dpa'i sdom pa rab bzung zhing //	75.41489359492816
sattva saMvaram ADAya zaw ca pAramitA AdikAH	pha rol phyin drug la sogs pa //	75.21005129814148
sattva caryAH caret tadvat tad prajQA upAya saFgraham	sems dpa'i spyod pa tshul bzhin spyad // de bsdus thabs dang shes rab la //	82.2400918296879
Sikzeta AsTita nirvANam tad sAraH dviviDaH taTA rAga drarya rahitaH nityam pAvaka arTI taTA araNim	mi gnas mya ngan 'das phyir bslab // de yi snying po rnam pa gnyis // me don gnyer bas gtsub shing ltar // chags pa'i ldan dang bral ba yis //	81.05268904333771
BAvayet satatam BaktyA budDaH SIGram tatas Bavet	rtag tu rgyun ldan gus par bsgom // de yis myur du de 'tshang rgya //	80.66352460441804
para arTa maNi vat nityam anABogam karoti saH	nor bu bzhin du gzhan gyi don // lhun gyis grub par de byed 'gyur //	86.97664985658707
mahAyAnasya SikzeyuH DanyAH sADana saFgraham	theg chen sgrub thabs bsdus 'di la // skal ldan rnams kyis legs par bslab // snying la bdud rtsi'i thigs pa chags //	74.54693637537481
cittam suDA lavEH raktam budDaySudDO ca duHspRSam	blo ma sbyangs pas blos reg dka' //	70.09501886367798
etat saFgraha puNyena jagat yAtu mahApaTam	'di bsdus dge bas 'gro ba kun // theg chen sgrub pa lhur len shog /	82.06418267207135
budDa BUmim aham ca AptvA Baveyam loka nAyakaH   a ba	bdag kyang sangs rgyas sa thob nas // 'gro ba'i 'dren pa byed par shog /	85.2015417670078
ati saMkzipta mahAyAna paTa sADanam mahA AcArya dIpaFkara SrI jQAna viracitam samAptam	theg pa chen po lam gyi sgrub thabs shin tu bsdus pa / slob dpon chen po dpal mar me mdzad ye shes kyis mdzad pa rdzogs so /	84.12945119499021
BAratasya tena eva upADyAya paNxitena loka cakzuzA BikzuNA kalyANa matinA dge vahi blaH groH		84.12945119499021

