		10.0
hetu tattva upadeSaH maQjuSrI kumAra BUtAya namaH	@314a # // rgya gar skad du /he tu ta ttva au pa de sha / bod skad du / gtan tshigs kyi de kho na nyid bstan pa / 'jam dpal gzhon nur gyur pa la phyag 'tshal lo //	79.90170525836176
sADanam dUzaNam ca eva sa ABAsam para saMvide	bsgrub dang sun ni 'byin pa dang / ltar snang bcas pas gzhan rig byed //	87.27674039861128
pratyakzam anumAnam ca sa ABAsam tu Atma saMvide	mngon sum dang ni rjes dpag gnyis // ltar snang bcas pas bdag rig byed //	91.80014283854923
ayam SAstra arTa rAMgrahaH	'di ni bstan bcos kyi don bsdus pa'o //	86.88025410970052
vAdinA svayam sADayitum izwaH rTaH sADyaH	rgol ba bdag nyid kyis bsgrub par 'dod pa'i don ni bsgrub par bya'o //	91.12896333602303
yena sADyate tad sADanam	gang gis sgrub par byad pa de ni bsgrub pa yin te /	80.52701405917897
hetoH trErUpyam ucyate	gtan tshigs kyi tshul gsum brjod pa'o //	74.59136199951172
kim punar tad trErUpyam	tshul gsum po de dag kyang gang zhe na /	57.1948585510254
pakze sattvam eva praTamam rUpam	phyogs la yod pa nyid ni tshul gcig go //	65.32499618065066
sa pakzaH eva sattvam iti dvitIyam rUpam	mthun pa'i phyogs nyid la yod pa zhes bya ba ni tshul gnyis pa'o //	84.91867364594626
vipakze ca asattvam eva niScitam iti tRtIyam rUpam	mi mthun pa'i phyogs la med pa nyid du nges pa zhes bya ba ni @314b tshul gsum pa'o //	82.9742922724989
tatra pakzaH prasidDaH DarmI prasidDa viSezaNena viSizwaH svayam sADayitum izwaH pratyakza Adi avirudDaH	de la phyogs ni rab tu grub pa'i chos can no // rab tu grub pa'i khyad par gyi bye brag bdag nyid sgrub par 'dod pa mngon sum la sogs pa dang 'gal ba med pa yin te /	89.98720245350998
yaTA DarmI SabdaH nityaH iti viSezaNena viSizwaH sADyaH kRtaka tvAt iti hetuH Bavati iti	dper na chos can sgra mi rtag pa'i khyad par gyi bye brag dang ldan pa ni bsgrub par bya'o // byas pa'i phyir ro zhes bya ba ni gtan tshigs yin pa bzhin no //	91.44647158805492
kaH punar sa pakzaH	mthun pa'i phyogs gang zhe na /	83.00293671700261
sADya Darma sAmAnyena samAnaH sa pakzaH	bsgrub par bya ba'i chos kyi spyis mthun pa ni mthun pa'i phyogs te /	94.91574431018084
yaTA Gawa AdiH iti	dper na bum pa la sogs pa lta bu'o //	87.994467773953
kaH hetoH vipakzaH	gtan tshigs kyi mi mthun pa'i phyogs gang zhe na /	92.14607963562011
yatra sADya aBAvAt hetu aBAvaH niScayena pradarSyate	gang du bsgrub par bya ba med pas gtan tshigs med par nges par ston pa yin te /	91.06656683765945
yaTA AkASa AdiH	dper na nam mkha' la sogs pa bzhin no //	82.0588686466217
tri rUpa hetu pradarSanena para avagama nimittam kRtaH prayogaH para arTa anumAn aBityucyate	gtan tshigs kyi tshul gsum pa bstan pa de nyid kyis gzhan khong du chud pa'i ched du sbyor bar byas pa ni gzhan gyi don rjes su dpag ba zhes bstan to //	92.32972639121633
