		10.0
ratna AvalI  nra vEdya namaH ratnatrayAya	@107a # // rgya gar skad du /r'a dza pa ri ka th'a ratna m'a l'i / bod skad du / rgyal po la gtam bya ba rin po che'i phreng ba / sangs rgyas dang byang chub sems dpa' thams cad la phyag 'tshal lo //	72.51495524361106
sarva doza vinirmuktam guNEH sarvEH alaMkRtam	nyes pa kun las rnam grol zhing // yon tan kun gyis brgyan pa po //	81.84485766552574
praNamya sarvajQam aham sarva sattva eka bAnDavam	sems can kun gyi gnyen gcig po // thams cad mkhyen la bdag phyag 'tshal //	82.99146755889407
Darmam ekAnta kalyANam rAjan Darma udayAya te	rgyal po khyod la chos sgrub phyir // gcig tu dge ba'i chos bshad de //	82.78950070000118
vakzyAmi DarmaH sidDim hi yAti sat Darma BAjane	dam pa'i chos kyi snod la ni // chos 'grub 'gyur te gang zhig la //	78.50535488402723
prAc Darma aByudayaH yatra paScAnEH Sreyasa udayaH	dang por mngon par mtho ba'i chos // phyis ni des par legs 'byung ba //	78.04905140003594
saMprApya aByudayam yasmAt eti nEHSreyasam kramAt	gang phyir mngon par mtho thob nas // rim gyis nges par legs pa 'ong //	81.28716305800819
suKam aByudayaH tatra mokza UnEH SreyasaH mataH	de la mngon mtho bde ba ste // des par legs pa thar par 'dod //	81.98686132854999
asya sADana saMkzepaH SradDA prajQe samAsatas	de yi bsgrub pa mdor bsdu na // mdor na dad dang shes rab bo //	84.1580162229838
SrAdDa tva aBdajate Darmam prAjQa tvAt vetti tattvataH	dad can nyid phyir chos la brten //	68.03518656321934
prajQA praDAnam tu anayoH SradDA pUrvaMgama asya tu	shes rab ldan phyir yang dag rig /'di gnyis gtso bo shes rab ste // 'di sngon 'gro ba dad pa yin //	78.52087432623989
CandAt dvezABdayAt moha At yaH Darmam na ativartate	'dun dang zhe sdang 'jigs pa dang // rmongs pas gang zhig chos mi 'da' //	87.15534248982439
sa SrAdDaH iti vijQeyaH SreyasaH BAjanam param	de ni dad pa can zhes bya // nges par legs pa'i snod mchog yin //	81.95320858847562
kAya vAc mAnasam karma sarvam samyak parIkzya yaH	gang zhig lus ngag yid kyi las // thams cad legs par yongs brtags te //	85.70083931991005
para Atma hitam AjQAya sadA kuryAt sa paNxitaH	bdag dang gzhan la phan shes nas // rtag tu byed ba de mkhas pa //	86.92960242000896
vEdya ahiMsA cOrya viratiH para dAra vivarjanam miTyA pESunya pAruzya AbadDa vAdezu saMyamaH	mi gsod pa dang rku spong dang // gzhan gyi chung ma sbod ba dang // log dang phra ma rtsub nyid dang // ma 'brel smra ba yang dag sdom //	85.80691846799454
loBa vyApAda nAstikya dRzwInAm parivarjanam	chags dang gnod sems med pa la // nyid kyi lta ba yongs spong ba //	81.35423436391393
ete karma paTAH SuklAH daSa kRzNA viparyayAt	'di dag las lam dkar bcu ste //	73.93789702077066
amadya pAnam su AjIvaH vihiMsA dAnam AdarAt	bzlog pa dag ni nag po yin ; / chang mi 'thung dang 'tsho ba bzang //	61.44379375102823
pUjya pUjA ca mEtrI ca DarmaH ca eza samAsatas	rnam mi 'tshe dang gus sbyin dang // mchod 'os mchod dang byams pa ste // mdor na chos ni de yin no //	86.85478410830049
SarIra tApanAt DarmaH kevalAt na asti tena hi	lus gdung byed pa 'ba' zhig las // chos med 'di ltar de yis ni // gzhan la gnod pa spong med cing //	82.10722514200062
na para droha viratiH na paresAmanugrahaH	gzhan la phan 'dogs @107b yod ma yin //	70.48118922037956
dAna SIlakzamA spazwam yaH sadDarma mahApaTam	sbyin dang tshul khrims bzod gsal ba // dam chos lam po che la gang // ma gus lus gdung gnag lam lta'i //	73.51485227922751
anAdRtya vrajet kAya kleSa gaH daNxaka utpaTEH	lam gol dag nas 'gro ba de //	66.96622006646518
sa saMsAra awavIm GorAm ananta jana pAdapAm	'khor ba'i 'brog ni mi bzad pa'i // mtha' yas skye bo shing can du //	73.11037180545632
kleSa vyAla avalIXa aFgaH su dIrGam pratipadyate	nyon mongs gdug pas 'khyud pa'i lus // shin tu yun ring 'jug par 'gyur // gsod pa yis ni tshe thung 'gyur //	75.4427742704594
hiMsayA jAyate lpa AyuH bahava AbADaH vihiMsayA	rnam par 'tshe bas gnod pa mang //	72.10161430695477
cOryeNa Boga vyasanI sa SatruH	rku ba yis ni longs spyod phongs // byi bo byed pas dgra dang bcas //	74.39304121680883
pAradArikaH pratyAKyAnam mRzAvAdAt pESunyAt mitra Bedanam	brdzun du smra bas skur ba ste // phra ma yis ni bshes dang 'bye // tshig rtsub nyid kyis mi snyan thos //	82.08569669737822
apriya SravaNam rOkzyAt abAdDAdapArTA ddurBagam vacaH	ma 'brel pa yis tshig mi btsun //	64.24621576251405
manoraTAn hanti amiDyA vyApAdaH Baya daH smRtaH	brnab sems yid la re ba 'joms // gnod sems 'jigs pa sbyin par byed //	83.97666324760237
miTyAdRzwiH kudRzwi tvam madya pAnam mati BramaH	log par lta bas lta ngan nyid // chang 'thungs pas ni blo 'khrul te //	83.22829140496843
apradAnena dAridyam miTyA jIvena vaQcanA	sbyin pa ma btang dbul ba nyid // log par 'tsho bas bslus pa ste // khengs pa yis ni rigs ngan nyid //	80.4972354375903
stamBena duzkulIna tvam alpa ojaska tvam IrzyayA	phrag dog gis ni gzi chung nyid // khro bas kha dog ngan pa nyid //	74.14341300402366
kroDAt durvarNa tA mOrKyam apraSnena vipaScitAm	mkhas la mi 'dri blun pa nyid //	65.081711769104
Palam etat manuzya tve sarveByaH prAk ca durgatiH	mi nyid la ni 'bras bu 'di // kun gyi dang po ngan 'gror ro //	81.48142295594111
ezAm akuSala AKyAnAm vipAkaH yaH prakIrtitaH	mi dge zhes bya de dag gi / rnam smin bsgrags pa gang yin pa //	78.99201153558886
kuSalAnAm ca sarvezAm viparItaH Pala udayaH	dge ba dag ni thams cad la ; /'bras bu de ni bzlog ste 'byung //	67.58418020342982
loBaH dvezaH ca mohaH ca tad jam karma iti ca aSuBam	chags dang zhe sdang gti mug dang // des bskyed las ni mi dge ba // ma chags zhe sdang gti mug med //	90.08925882168172
aloBA moha AdvezAH ca tad jam karma itara= SuBam	des bskyed las de dge ba yin //	67.75753189671424
aBuBAt sarva duHKAni sarva durgatayaH taTA	mi dge ba las sdug bsngal kun // de bzhin ngan 'gro thams cad do //	82.67957678751935
SuBAt sugatayaH sarvAH sarva janma suKAni ca	dge las bde 'gro thams cad dang // skye ba kun du bde ba dag / yid dang lus dang ngag gis ni //	72.13886157654073
nivRttiH aSuBAt kRtsnAt pravRttiH tu SuBe sadA	mi dge kun las ldog bya zhing // dge la rtag tu 'jug bya ba //	78.95677892954768
manasA karmaNA vAcA DarmaH yam dviviDaH smRtaH	chos 'di rnam pa gnyis su bshad //	61.187167910968554
naraka preta tiryagByaH DarmAt asmAt vimucyate	chos 'dis dmyal ba yi dags dang // dud 'gro dag las rnam grol zhing //	87.38108524268729
nRzu devezu ca Apnoti suKa Sri rAjya vistarAn vEdya	lha dang mi yi nang dag tu // bde dpal rgyal srid rgyas pa 'thob //	81.6215623659202
DyAna apramANA rUpyEH tu brahma Adya suKam aSnute	bsam gtan tshad med gzugs med kyi // tshangs stsogs bde ba myong bar byed //	83.32336033107528
iti aByudaya DarmaH yam Palam ca asya samAsatas	de ltar mngon mtho'i chos 'di dang // de yi 'bras bu mdor bsdus pa'o // nges par legs pa'i chos dag kyang //	86.67166751673841
