		10.0
vigraha vyAvartanI vv	@27a * // rgya gar skad du /bi gra ha bya brta ni k'a ri k'a n'a ma / bod skad du / rtsod pa bzlog pa'i tshig le'ur byas pa zhes bya ba / 'jam dpal gzhon nur gyur pa la phyag 'tshal lo //	56.505083477811105
sarvezAm BAvAnAm sarvatra na vidyate svaBAvaH ced	gal te dngos po thams cad kyi // rang bzhin kun la yod min na // khyod kyi tshig kyang rang bzhin med //	87.64570772212066
tvad vacanam asvaBAvam na nivartayitum svaBAva malam	rang bzhin bzlog par mi nus so //	69.62394975893426
aTa sa svaBAvam etat vAkyam SrutvA hatA pratijQA te	'on te tshig de rang bzhin bcas // khyod kyi dam bca' snga ma nyams // mi 'dra nyid de de yin na //	63.77897674323207
vEzamika tvam tasmin viSeza hetuH ca vaktavyaH	khyad par gtan tshigs brjod par gyis //	73.0644872310834
mA Sabda vat iti etat syAt te budDiH na ca etat upapannam	de sgra ma 'byin lta bu'o zhes // khyod blo sems na de mi 'thad //	68.17472620496056
Sabdena atra satA BavizyataH vAraNam tasya pratizeDaH pratizedDyaH pi evam iti matam Bavet tat asat eva	'di la sgra ni yod pa yis // 'byung bar 'gyur ba de bzlog yin // 'gog pa'i 'gog pa'ang de lta zhes // 'dod na de yang bzang min te //	78.32517940502017
evam tava pratijQA lakzaNataH duzyate na mama	khyod kyi dam bca'i mtshan nyid las // de ltar skyon yod nged la med //	80.83726976967282
pratyakzeNa hi tAvan yadi upalaBya vinivartayasi BAvAn	re zhig gal te mngon sum gyis // dngos rnams dmigs nas zlog byed pa //	70.58056717106359
tat na asti pratyakzam BAvAH yena upalaByante	gang gis dngos rnams dmigs 'gyur ba // mngon sum de ni med pa yin //	82.60547170641007
anumAnam pratyuktam pratyakzeNa Agama upamAne ca anumAna Agama sADyAH ye rTAH dRzwAnta sADyAH ca	rjes dpag lung dang dpar 'jal dang // rjes dpag lung gis bsgrub bya dang // dpes bsgrub bya ba'i don gang yin // mngon sum gyis ni lan btab po //	87.57468045761064
kuSalAnAm DarmANAm Darma avasTA vidaH ca manyante	skye bo chos kyi gnas skabs mkhas // dge bdag gi chos rnams la //	65.52682278258854
kuSalam jana svaBAvam Sezezu api eza viniyogaH	dge ba'i rang bzhin yin par ni // sems shing lhag ma rnams la yang //	82.18387705717475
nEryANika svaBAvaH DarmaH nEryANikAH ca ye tezAm	gang dag nges par 'byin pa'i chos //	74.89184633890787
Darma avasTA uktAnAm eva ca nEryANika AdInAm	chos kyi gnas skabs gsungs de rnams // nges par 'byin pa'i rang bzhin nyid // rang bzhin nges 'byin min la sogs //	70.03591116933438
yadi ca na Bavet svaBAvaH DarmANAm niHsvaBAvaH iti evam	gal te chos rnams rang bzhin med // rang bzhin med ces bya ba yin // ming yang de bzhin med 'gyur zhing //	82.55718946223847
nAma api Bavet na evam nAma api nirvastukam na asti	gzhi med ming ni med phyir ro //	63.530750036239624
aTa vidyate svaBAvaH sa ca DarmANAm na vidyate tasmAt	'on te rang bzhin yod mod kyi // de ni chos rnams la med na // de phyir chos rnams spangs pa yi //	82.2766250288333
DarmEH vinA svaBAvaH sa yasya asti tat yuktam upadezwum	rang bzhin gang de bstan par rigs // gang phyir khyim na bum pa med //	75.58708565346286
sataH eva pratizeDaH na asti GawaH gehaH iti ayam yasmAt	ces bya'i 'gog pa yod nyid la // mthong ba de phyir khyod kyi yang //	67.9195073935139
