		10.0
anitya tA sUtram om namaH sarvajQAya	@238b / /rgya gar skad du /aa ni tya t'a s'u tra / bod skad du / mi rtag pa nyid kyi mdo / sangs rgyas dang / byang chub sems dpa' thams cad la phyag 'tshal lo //	75.57600169085883
evam mayA Srutam	'di skad bdag gis thos pa dus gcig na /	80.55377650872255
ekasmin samaye BagavAn SrAvastyAm viharati sma as jetavane nATa piNxasya ArAme mahatA Bikzu saMGena sArDam arDa trayodaSaBiH Bikzu SatEH	bcom ldan 'das mnyan du yod pa na rgyal bu rgyal byed kyi tshal mgon med zas sbyin gyi kun dga' ra ba na bzhugs te /	68.7044339917784
tatra Kalu BagavAn BikzUn Amantrayate sma	de nas bcom ldan 'das kyis dge slong rnams la bka' stsal pa / dge slong dag /	95.86633114654832
anitya tA BikzavaH sarva saMskArAH aDruvA anAsvAsikAH vipariNAma DarmAnaH yat yAvat BikzavaH sarveByaH saMskAreByaH lam nirvetum alam viraktum alam vimoktum	'du byed thams cad mi rtag pa dang / mi brtan pa dang / yid brtan du mi rung ba dang / yongs su 'gyur ba'i chos can te / dge slong dag / chog gi 'du byed thams cad las sems zlog @239a *// cig ;dge slong dag / ma chags pa dang / ma zhen pa dang / rnam par grol bar gyis shig /	86.10005662465707
sarvezAm sattvAnAm sarvezAm BUtAnAm sarvezAm prANinAm AmaraNa antam hi jIvitam maraNa paryavasAnam na asti jAtasya amaraNam	gang yang sems can thams cad dang / 'byung po thams cad dang / srog chags thams cad kyi gson pa'i mtha' ni 'chi ba yin zhing mthar 'chi bar 'gyur ba ste / skyes nas 'chi bar mi 'gyur ba med do //	85.50943992454458
ye pi te BikzavaH gRhapatayaH mahA sAla kulA brAhmaNa mahA sAla kulA kzatriyaH mahA sAla kulA	gang yang khyim bdag gi rigs shing s'a la chen po lta bu'am / bram ze'i rigs shing s'a la chen po lta bu'am / rgyal rigs shing s'a la chen po lta bu phyug pa / nor mang ba / longs spyod che ba /	79.38639064294122
AsAm mahADanAH mahA BogAH praBUta maNi mAH nizka muktA vExUrya SaMKa SilA pravAla jAtarUpa rajata vitta upakaraNAH praBUta Dana DAnya kozWa AgAra sannicayAH praBUta dAsi dAsa karmakara pOruzeyAH praBUta mitra amAtya jQAti sa AlohitAs tezAm api maraNa antam jIvitam maraNa paryavasAnam na asti jAtasya amaraNam	nor bu dang / mu tig dang / bee d'urya dang / shang ka shi la dang / byu ru dang / gser dang / dngul dang / nor dang / longs spyod mang ba dang / 'bru dang / dbyig dang / gser dang / mdzod dang / bang ba ba sags pa mang ba dang / bran pho dang / bran mo dang / zho shas 'tsho ba mang ba dang / mdza' bshes dang / nye du dang / snag gi gnyen mtshams mang ba de dag gi gson pa'i mtha' yang 'chi bar 'gyur ba ste / skyes nas 'chi bar mi 'gyur ba med do //	76.81700077086329
ye pi te BikzavaH rAjAnaH kzatriyAH ca mUrDnA aBiziktA jAnapada ESvarya AsTAm avIryam anuprAptAH mahAntam pRTvI maNxalam aBinirjitya avasa	gang yang rgyal po rgyal rigs spyi bo nas dbang bskur ba / yul la dbang ba / mthu thob pa / sa chen po'i dkyil 'khor du mngon par rgyal bas gnas pa de dag gi gson pa'i mtha' yang 'chi ba yin zhing mthar 'chi bar 'gyur ba ste /	88.47720678554421
tezAm api maraNa antam hi jIvitam maraNa paryavasAnam na asti jAtasya amaraNam as	skyes nas 'chi bar mi 'gyur ba med do //	60.69222411773002
