		10.0
antar vyApti samarTanam om namaH budDAya	@309b # // rgya gar skad du /aantar by'a ba ti / bod skad du / nang gi khyab pa / 'phags pa 'jam dpal gzhon nur gyur pa la phyag 'tshal lo //	71.0289341605061
iha sattvam arTa kriyA kAri tvam tad itara sattva lakzaNa ayogAt	'dir yod pa don bya ba byed pa yin te / de las gzhan yod pa'i mtshan nyid du mi rigs pa'i phyir ro //	88.32981009381287
tat ca krama yOgapadyAByAm vyAptam paraspara vyavacCeda lakzaNa tvAt anayoH	de yang rim dang cig car dag gis khyab pa yin te / de dag phan tshun rnam par gcod pa'i mtshan nyid yin pa nyid kyis na rnam pa gzhan mi srid pa'i phyir ro //	87.68404852518826
prakAra antareNa karaNa asamBavAt krama yOgapadye ca akzaNika tve na staH	skad cig ma ma yin pa la rim dang cig car gyi don byed pa med pa'i phyir ro // do //	88.10567482533445
pUrvva apara kAlayoa ravicalita eka svaBAvasya karttR tva AkarttR tve virudva Darmma dvaya ayogAt	dus snga phyir 'gyur ba med pa'i rang bzhin gcig pa ni byed pa po nyid dang byed pa po ma yin pa nyid 'gal ba'i chos gnyis mi rigs pa yin no //	87.11865983185156
tatra na tAvat kramaH kramANAm ekEkam prati pUrva apara kAlayoH karttR tva AkarttR tva ApatteH	de la re zhig rim gyis ma yin te / rim pa dang bcas pa re re dus snga phyi la byed pa po dang byed pa po ma yin pa nyid du thal bar 'gyur ba'i phyir ro //	90.66549811214972
evam sarvu akrama aBAvAt kevalam sakala kAryya yOgapadyam avaSizyate	de lta bas na thams cad du rim pa med pa'i phyir bya ba thams cad la cig car 'ba' zhig tu da ltar bar gnas pa yin te /	81.76110795851434
tatra ca sPuwa taraH pUrvva apara kAlayoH karttR tva akartR tva prasaFgaH	de la dus snga phyir byed pa po nyid dang byed pa po nyid ma yin par shin tu 'gal bar thal bar 'gyur ro //	88.15015131787321
virudve ca karttR tva AkarttR tve eka DarmmiNi na samBavataH	byed pa po nyid dang byed pa po nyid ma yin pa 'gal bas chos can gcig la mi srid pa'i phyir ro //	83.96444674821994
eka svaBAvaH ca tAvat kAlamakzaNikaH iti sidve etasmin krama yOgapadyayoH ayogaH	ngo bo gcig pa yang dus de srid kyi bar du skad cig ma yin pa'i phyir 'di la rim dang cig car 'brel @310a * pa'i phyir ro // // pa med par 'grub po //	86.73668536138138
tat evam akzaNike vyApaka anupalabDyA nizidvam sattvam kzaNikaH eva ava tizWate iti kzaNika tvena vyAptam	de ltar na skad cig ma ma yin pa la khyab par byed pa mi dmigs pa yod pa nyid bkag pas skad cig ma nyid du gnas pa'i phyir skad cig ma nyid kyis khyab pa yin te /	90.63238416944674
tat tena vyAptam yat yatra DarmmiNi siDyati tatra kzaNika tvam prasADayati idam eva idAnIm vicAryyate kA iyam kva iyam	de la des khyab par chos can gang la grub pa der skad cig nyid du grub par byed do // da ni 'di dpyad par bya ste /	76.11122002694381
vyApti grahItavyA dRzwAnta DarmmiNi sADya DarmmiNi vA kecid AhuH dRzwAnta DarmmiNi eva DUma vat	dpe'i chos can na ma bsgrub par bya ba'i chos can gang las 'dir khyab pa 'dzin zhe na kha cig ni dpe'i chos can las du ba bzhin no zhes zer ro //	86.20204148298946
anyaTA sADana vEPalyam syAt uBaya Darmm asidvi dve rana antarIyaka tvAt vyApti sidveH	gzhan du na sgrub par byed pa'i don med pa'i phyir dang / khyab pa grub pas chos gnyis grub pa med na mi 'byung ba'i phyir //	84.63974745430465
na hi mahAn asasidvAyAm agni DUmayoH vyAptO punar agnisi dvaye DUma liFgam anvizyate iti  taTA hi	gang gi phyir tshang bar du me dang du ba'i khyab pa grub ba na me grub pa na / yang me grub pa'i phyir rtags du ba las skyes pa'i rjes su dpag pa tshol bar mi byed do // mi 'dra bar bkod pa yin te 'di ltar /	84.87626667261587
dRzwAnte gRhyate vyAptiH DarmmayoH tatra dRzwayoH	de la chos gnyis mthong ba yis // dpe la khyab pa 'dzin pa yin //	83.11827538116032
hetu mAtrasya dRzwasya vyAptiH pakze tu gamyate	gtan tshigs tsam ni mthong ba yis // phyogs la khyab pa 'dzin pa yin //	89.60233577558783
sA ca sarvvA upasaMhArAt sAmAnyam avalambate	de yang thams cad nyer bsdus pas // spyi nyid la ni dmigs pa ste //	76.11470201482294
tasya DarmmiNi vRttiH tu pratIyeta anumAnataH	de ni chos can la 'jug pas // rjes su dpag pas rtogs pa yin //	86.8615282067511
pratyakza dRzwayoH vanhi DUmayoH kAryya kAraNa BAvasi dvO tayoH vyApti sidvis iti pratyakza sidve vanhO yuktam anumAna vEPalyam	mngon sum gyis mthong ba dag gis me dang du ba rgyu dang 'bras bu'i ngo bor grub na de gnyis kyi khyab pa 'grub ste /	74.77254066169162
na evam vyApti sidveH prAk pramANa antara sidvam DarmmiNi kzaNika tvam	mngon sum gyis me dang ldan par 'grub pa ni rjes su dpag pa 'bras bu med pa yin no // khyab pa grub pa'i snga rol du tshad ma gzhan gyi chos can la skad cig ma nyid du grub pa ma yin te /	85.77214183034498
sADana Darmmam eva tu kevalam anupaSyantaH viparyyaye bADaka pramANa valAt tasya kzaNika tvena vyAptim pratImaH	'dir sgrub par byed pa'i chos 'di kho na 'ba' zhig mthong bas bzlog na gnod pa can gyi stobs kyis de la skad cig ma gnyis kyis khyab par rtogs so //	83.67294648250228
tat tatas sADana vEPalyam	de la gang gis na sgrub par byed pa de don med pa yin /	82.03740577264266
vEPalyam eva kzaNikatva vyAptasya sattvasya taTAtvena DarmmiNi pratItO kzaNika tvasya api pratIteH iti ced  na	don med pa nyid yin te skad cig ma nyid kyis khyab pa yod pa de bzhin du chos can la rtogs na skad cig ma nyid du yang rtogs so zhes zer na / ma yin te /	90.42189076609971
sarvva upasaMhAravatI hi vyAptiH sADyasi dveH aFgam tat iyam anapekzita Darmmi viSezam sADana Darmma mAtram avalambate	thams cad bsdus pa dang ldan pa'i khyab pa ni bsgrub par bya ba 'grub pa'i yan lag yin la / de bas na 'di ni chos can gyi khyad par pa ltos pa med par sgrub par byed pa'i chos tsam dmigs pa ste /	90.11780117330305
tat yaTA yatra DUmaH tatra agniH iti	gang na du ba yod pa de na me yod do zhes bya ba bzhin no //	96.34937644004822
na punar yatra mahAnase DUmaH tatra agniH iti	yang gang na tshang bang gi du ba yod pa de na me yod do zhes bya ba ni ma yin no //	94.73849345045826
evam iha api yat sat tad kzaNikam iti vyApti pratItO sADana Darmmasya api DarmmiNi sattvam na antarBavati	de bzhin du 'dir yang gang yod pa de ni skad cig ma @310b yin no zhes bya bas khyab pa rtogs na sgrub par byed pa'i chos kyang chos can la yod pa'i nang du mi 'du na bsgrub par bya ba'i chos lta ci smos yin no //	88.51955282510224
kim punar sADya Darmmasya tasmAt sattva sAmAnyasya sADana Darmmasya pakza Darmma tvam vyAptiH ca ekaSas pratipAdya tad uBaya sAmarTyAt sADya Darmmasya DarmmiNi vRtpratIyate iti kutas numAna vEPalyam	/ de lta bas na yod pa'i spyi sgrub par byed pa'i chos phyogs kyi chos nyid khyab pa so sor rtogs nas de gnyis kyi nus pas bsgrub par bya ba'i chos can la 'jug pa'i phyir gang gis na rjes su dpag pa 'bras bu med pa yin te /	75.91744994027971
yadi evam vyApti pratItO= asati DarmmiNi parAmarSe sADya DarmmiNi vyApti grahaNam iti kutas tatra dRzwasya sattvasya vyApti pratIteH	gal te de lta bu'i khyab pa rtogs na chos can la mchog tu 'dzin pa med pas khyab pa 'dzin na de la mthong ba'i yod pa'i khyab pa gang du rtogs te /	81.31841906443593
yaTA mahAnasa dRzwa agni DUmayoH vyApti grahe dRzwAnta DarmmiNi vyApti grahaNam ucyate	dper na tshang bang du mthong bas me dang du ba'i khyab pa gzung bas dpe'i chos can la khyab pa gzung ba ma yin no zhes zer na ma yin te /	89.49187232565346
na hi vyApti grahaNe mahAnasa parAmarSaH sti iti uktam	khyab par 'dzin pa ni tshang bang la mchog tu 'dzin pa med do zhes bstan to yin te /	79.4842220980241
nanu vyApti pakza Darmma tvayoH ekaSas pratItO= api yasya eva pakza Darmma tvam avagatantasya eva sADyena vyAptiH avasitA iti sAmarTyAt sADya ssADanasya	// khyab pa dang phyogs kyi chos gnyis so sor rtogs pas kyang / gang la phyogs kyi chos nyid rtogs pa de nyid la bsgrub par bya bas khyab par rtogs pa'i phyir shugs kyis bsgrub par bya ba rtogs pa ma yin nam ; ji ltar sgrub par byed pa don med pa ma yin / 'on kyang phyogs kyi chos nyid rtogs pas bsgrub par bya ba rtogs pa ma yin te /	84.89681825447212
nanu na pakza Darmma tva gatiH sADya gatiH sADya Darmma saMsparSAt	bsgrub par bya ba'i chos la ma reg pa'i phyir ro //	73.16341473529565
na api vyApti pratItiH eva sADya sidviH	khyab pa rtogs pa nyid kyang bsgrub par bya ba grub pa ni ma yin te /	92.97786617831439
sAmAnya Alambana tayA Darmmi viSezeNa DarmmayoH anavacCedAt	spyi la dmigs pa nyid kyi chos can gyi khyad par gyi chos dag yongs su mi gcod pa'i phyir ro // gzhan du na khyad par gyi chos dag gis khyab par thal bar 'gyur ba'i phyir ro //	75.03733107732249
anyaTA viSezayoH vyApti prasaFgAt tat ayam vyasta vizayaH sAmarTyAt iti hetu nirddeSaH	de lta bas na khyab pa'i yul 'dis shugs kyis gtan tshigs bstan to //	73.73474226082294
aTa hetoH trErUpya paricCeda sAmarTyAt sADya pratItiH utpadyate iti ucyate	gal te gtan tshigs kyi tshul gsum yongs su bcad pa'i shugs kyis bsgrub par bya ba rtogs pa 'byung ngo zhes zer na /	88.09024940475632
na tarhi idAnIm vyarTaH hetuH	de lta na khyod kyi yang gtan tshigs don med pa yin te /	80.10547253063747
svarUpa niScayena sADya niScaya upajananAt	rang gi ngo bo nges pas bsgrub par bya ba nges pa bskyed pa'i phyir ro //	87.5120382944631
na hi kvacid iyatta aDikam liFgasya karttavyam asti iti	de tsam las rtags kyi bya ba 'ga' yang med do // gzhan yang / phyogs kyi chos nyid gzung ba las // 'brel pa yang ni dran pa yis //	77.79459381471976
api ca gRhIte pakza Darmma tve sambanDe ca smRte anumAnam BavadBiH izyate tadvat antar vyAptO= apIzyatAm	rjes su dpag pa byed 'dod na // de bzhin nang khyab kyang 'dod kyis //	62.3426091335602
na hi bahis vyApti vAdinAm api vismRtAyAm vyAptO anumAna pravRttiH asti	phyi'i khyab pa smra ba la yang khyab pa brjed pas rjes su dpag pas 'jug pa med do //	82.5778282607569
