	@214a rgya gar skad du / a'a yu pa ryanta s'u tra / bod skad du / tshe'i mtha'i mdo / dkon mchog gsum la phyag 'tshal lo // 'di skad bdag gis thos pa dus gcig na /	10.0
ApH  BagavAn SrAvastyAm viharati sma jetavane anATapiNxadasya ArAme tatra BagavAn BikzUn Amantrayate smaH icCaTa yUyam BikzavaH sgbm AyuH paryantam Srotum etasya BagavAm kAla etasya sugata samayaH	bcom ldan 'das mnyan yod na rgyal bu rgyal byed kyi tshal mgon med zas sbyin gyi kun dga' ra ba na bzhugs so // de nas bcom ldan 'das kyis dge slong rnams la bka' stsal pa / dge slong dag khyed sems can rnams kyi tshe'i mtha' thos par 'dod dam / bcom ldan 'das / de'i dus la bab lags so // bde bar gshegs pa / de'i dus la bab lags so //	92.69545576870362
yat BagavAn BikzUNAm satvAnAm AyuH paryantam deSayet BagavataH SrutvA BikzavaH DArayizyanti tena hi BikzavaH gbm	bcom ldan 'das / sems can rnams kyi tshe'i mtha' bstan pa bcom ldan 'das las thos nas dge slong dag 'dzin par bgyid lags so //	82.63874554637056
SRNuta sADu ca suzWu ca manasikuruta	dge slong dag / de'i phyir legs par rab tu nyon la yid la zungs shig dang ngas bshad do // dge slong dag / dmyal ba rnams kyi tshe'i tshad ni ring na bskal pa gcig ste / bar ma dor 'chi ba ni yod do //	78.11184488315118
BAzizye evam Badanta iti te BikzavaH BagavataH pratyaSrozuH aTa BagavAn tAn BikzUn idam avocat ApH  param BikzavaH narakezu kalpaH AyuzaH gbm pramANam asti antareNa kAla kriyA	dge slong dag /	10.0
ApH  param BikzavaH tiryakzu kalpaH AyuzaH pramANam	@214b dud 'gro rnams kyi tshe'i tshad ni ring na bskal pa gcig ste /	85.16745245473196
asti antareNa kAla kriyA	bar ma dor 'chi ba ni yod do // dge slong dag /	68.91078914480006
ApH  yAni BikzavaH manuzyANAm triMSat rAtriMdivasAni tat pretAnAm gbm ekam rAtriMdivasam	mi rnams kyi nyin zhag sum cu gang yin pa de yi dvags rnams kyi nyin zhag gcig go /	72.43947973689109
tena rAtriMdivasena triMSat rAtrakeNa mAsena	nyin zhag de sum cu la zla ba gcig /	72.68901072608101
dvAdaSa mAsakena saMvatsareNa	zla ba bcu gnyis la lo gcig ste /	80.50175043308374
tayA saMvatsara gaNanayA paMca varza SatAni pretAnAm AyuzaH gbm	yi dvags rnams kyi tshe'i tshad ni lo de lta bur brtsis pa'i lnga brgya thub ste /	79.8674406989709
pramANAm tat Bavati mAnuzikayA gaNanayA paMcadaSa varza sahasrANi AyuzaH pramANam	de mi'i ltar brtsis na lo khri lnga stong yod de /	71.28357738505231
asti antareNa kAla kriyA	bar ma dor 'chi ba ni yod do //	68.30106807524157
ApH  aTa BagavAn tasyAm velAyAm gATAH BAzate	de nas bcom ldan 'das kyis de'i tshe tshigs su bcad de bka' stsal pa / ji ltar rab tu che ba'i lus 'greng zhing //	90.93874749211881
viSuzka kaNWa ozWa puwAH gbm su duHKitA pravRdDa SElAH iva ucCrita ASrayA	mchu dang mid bskams shin tu sdug bsngal ba //	70.69433226555742
sva keSa saMcCanna vidArita unmuKA	rang gi skras yog kha gdangs gnam du lta //	69.89065642689549
su sUkzma sUcI sadRSAH nasAH kRSA nagnA sva keSa saMCannaH asTi yantra vat anta tA gbm kapAla pANayaH GorAH kradantaH pariDAvinaH	sna ni khab ltar rab tu phra ba dang // rus gong 'dra lus gcer bu rang skras yog / gzugs mi sdug pa 'greng zhing thod pa thogs // bkres dang skom dang ngal bas ra ba gzir gang // cho nges 'debs shing kun tu rgyug pa dag /	87.7517124960688
Arta svarANi krandantaH duHKAm vindati vedanAm x x x x gbm    vyehe kRtvA IrzyAm ca parasparam utpannAH te preta loke karma kRtvA iha pApakaH	nyam thag skad 'byin sdug bsngal tshor ba myong // phan tshun phrag dog ser sna 'dir bsten cing // 'dir ni sdig pa'i las dag byas pa yis // yi dvags 'jig rten du ni de dag skyes //	81.493511613843
ApH  pUrva videhakAnAm BikzavaH manuzyANAm arDa tritIyAni varza SatAni AyuzaH pramANam	dge slong dag / shar gyi lus 'phags kyi mi rnams kyi tshe'i tshad ni lo nyis brgya lnga bcu ste /	86.48246680541843
asti antareNa gbm  kAla kriyA	bar ma dor 'chi ba ni yod do //	67.85486616626862
ApH  avara ga udAnIyakAnAm BikzavaH manuzyANAm paMca varza SatAni AyuzaH pramANam	dge slong dag / nub kyi ba lang spyod kyi mi rnams kyi tshe'i tshad lo lnga brgya ste /	81.90217014795203
asti antareNa kAla kriyA	bar ma dor 'chi ba ni yod do // dge slong dag / byang @215a *//	63.737482297988166
ApH  uttara kOravANAm BikzavaH manuzyANAm varza sahasrANi AyuzaH gbm	gi sgra mi snyan rnams kyi tshe'i tshad ni lo stong ste /	73.0009047953642
pramANam na asti antareNa kAla kriyA	bar ma dor 'chi ba ni med do //	68.0231338854759
ApH  kena kAraNena uttara kOravANAm manuzyANAm varza sahasram AyuzaH pramANam	rgyu gang gis sgra mi snyan pa rnams kyi tshe'i tshad ni lo stong thub la /	80.46370426124123
na asti antareNa kAla kriyA ApH  uttara kOravAH BikzavaH gbm	bar ma dor 'chi ba ni med ce na / dge slong dag /	67.47674544445984
manuzyAH amamAH ca parigrahAH ca niyata AyuH   tat cyutAH viSeza gAminaH AyatyAm svar ga upagAH anena kAraNena uttara kOravANAm BikzavaH manvarza sahasram gbm AyuzaH pramANam na asti antareNa kAla kriyA	byang gi sgra mi snyan gyi mi rnams ni bdag gi ba med cing yongs su 'dzin pa med la tshe nges pa yod cing 'di nas shi 'phos nas kyang khyad par du 'gro ba ste / phyi ma la mtho ris su nye bar 'gro'o // dge slong dag / rgyu des na byang gi sgra mi snyan gyi mi rnams kyi tshe'i tshad ni lo stong thub la bar ma dor 'chi ba ni med do //	85.48949594617295
ApH  aTa BagavAn tasyAm velAyAm gATAH BAzate	de nas bcom ldan 'das kyis de'i tshe tshigs su bcad de bka' stsal pa /	93.89880450710545
daridrya duHKitA satvAH ASaMsanti Danam param para prezya gbm     x x x x x    x	dbul bas sdug bsngal sems can dag / gzhan gyi nor la smon par byed // de dag dam pa ma bsten pas // gzhan gyi mngag gzhug ngan cing dman // longs spyod dag dang ldan pa yi //	69.61916001450696
AXyAH mahADanA satvAH upaBoga samanvitAH	phyug cing nor mang sems can ni //	54.4823160311755
Dana dAni ajana upetAH tEH tu santaH upAsita	nor dang 'bru dang skye bor ldan // de dag dam pa bsten pa yin // bsod nams phyug pas nyer 'tsho ba'i //	73.29181106070605
upajIvanti puNya AXyam karma kRtvA iha SoBanam gbm  x x x x    x x x x x    x x x x x    x x x x x    x ye loke  i   i pUrva dAnasya tat Palam manuzyAH hi uttare dvIpe amama gbm aprigrahAH	dge ba'i las ni 'dir byas pas // 'byor pa chen po phun sum tshogs // lha bzhin du ni dga' bar byed // lkog gyur gang yin mi snang ste // mngon sum 'di la blta bar byos // gang zag kha cig 'jig rten na // bde ldan sngon byin 'bras bu yin // byang phyogs gling gi mi rnams ni // bdag gi med cing yongs 'dzin @215b med; ;dpag bsam las byung gos sten pa //	69.69191864032172
x x x kalpa duzyANi pUrva dAnasya tat Palam	de ni sngon byin 'bras bu yin //	68.85615921020508
na tezAm SItam UzNam ca vyADiH tezAm na vidyate	de dag grang dang tsha ba med // de dag la ni nad med cing //	88.02718782396572
varNa rUpeNa saMpannAH pUrva dAnasya tat Palam aKaNxA vimalA SAli gbm  x x x x    x	gzugs dang kha dog phun sum tshogs // de ni sngon byin 'bras bu yin // byang phyogs gling na ma nyams shing // ma grugs dag cing gtsang ba dang // shin tu dkar ba'i s'a lu skye //	72.39643972764239
x x te hi uttare dvIpe pUrva dAnasya tat Palam	de ni sngon byin 'bras bu yin //	66.09198546409607
maNi jyotizkaraH tezAm SuBaH prajvalate sadA	nor bu 'od byed 'bar ba yis // de rnams rtag tu mdzes pa dang // de dag zas ni 'ju byed gang //	73.40428606651571
yaH tezAm pAcayati annam pUrva dAnasya tat Palam na tezAm vyaMjanam gbm   x x x x x pavidyate	de ni sngon byin 'bras bu yin // de dag la ni tshod ma dang // sran tshod kyang ni cung zad med //	62.34079948125428
varNa ganDa rasa upetam SAlim te BuMjate sadA ekasmAt dIyate hi annam na kzayaH sti hi BAjanam	kha dog dri dang ror ldan pa'i // s'a lu dag ni rtag tu za // zas ni lan gcig byin pa yis //	66.23748429968029
AsannAt na utTitA yAvat pUrva dAnasya tat gbm  Palam alAbUnAm PalAni ezAm cCinA SAKA prarohate	stan las ma langs bar du ni // zad mi shes par sder la yod // de ni sngon byin 'bras bu yin; ;ku ba'i 'bras bu 'dra ba dang // bcad kyang yal ga las skyes te // brngas nas btso mi dgos par za //	79.4446596100511
apakza lUnAm BuMjate pUrva dAnasya tat Palam	de ni sngon byin 'bras bu yin //	64.4512460231781
nadya su SItalAH tezAm azwa aMgam ca jalam SuBam pItam gbm  na bADate kukzim pUrva dAnasya tat Palam	de dag 'bab chu bsil ba dang // 'thungs kyang lto la mi gnod pa'i // yan lag brgyad ldan chu la yod // de ni sngon byin 'bras bu yin // rol mo'i ljon shing gang dag gis // de dag rtag tu rtse zhing dga'// yid ni rtag tu bde dang ldan // de ni sngon byin 'bras bu yin //	76.75529218828282
vAdya vRkzAH SuBAH tezAm celavRkzAH hi ana  xH ganDavRkza    xH pUrva dAnasya tat Palam	de dag rol mo'i ljon shing bzang // gos kyi ljon shing mang po dang // spos kyi ljon shing phun sum tshogs // de ni sngon byin 'bras @216a *// bu yin //	79.15127676132062
vAdyam ganDam ca puzpam ca nigbm xm eva ca cIvaram kAMkzate yAdRSam yaH hi tat Bavati asya tAdRSam	spos dang me tog rol mo dang // de bzhin du ni gos rnams kyang // gang dag ji ltar 'dod pa bzhin // de dag de bzhin 'byung bar 'gyur // ne'u gsing dag ni sngon po la //	75.27623321475812
haritaH SAdvalaH tezAm su mRduH tUla sanniBaH	shing bal lta bur rab 'jam pa //	74.69232654571533
ramante yatra satatam pUrva dAnasya tat Palam parasparam ca gbm	gang du de dag rtag rtse ba // de ni sngon byin 'bras bu yin //	73.84488370619077
krIxanti krozaH tezAm na vidyate	de dag la ni khro med cing //	75.53344937028557
na asti mAtsaryam IrzyA va pUrva dAnasya tat Palam rAtryAH tu praTame yAme kzaNa mAtram hi varzati	ser sna dang ni phrag dog med // phan tshun dag tu rtse byed pa // de ni sngon byin 'bras bu yin // mtshan mo thun tshod dang po la // skad cig tsam zhig char 'bebs cing // rdul rnams med par byed pa ste //	81.55204605002379
virajaH rajaH Bavati pUrva dAnasya tat Palam	de ni sngon byin 'bras bu yin // de dag yongs su 'dzin med pas //	81.29261702308665
gbm  mAtA putram na jAnIte na asti tezAm parigrahaH	ma dang bur yang mi shes shing //	60.432377381758265
na Socanti priyEH nASam pUrva dAnasya tat Palam mAtA hi sva putram  x x x x x    x	sdug bsngal med pas mya ngan med // de ni sngon byin 'bras bu yin // ma dag gis kyang rang gi bu // lam stong dag tu bor te 'gro /	80.51389410568378
sravate kzIram aFguzWAt pUrva dAnasya tat Palam	mthe bo las ni 'o ma 'dzag / de ni sngon byin 'bras bu yin // de dag gang yang du ba med //	79.468651410127
gbm  na tezAm rodate kaScid mRtam ca utsRjya gacCati	shin yang ni bor te 'gro / bya dag gis ni gling 'phyag pa //	68.96922264308843
SoDayanti KagAH dvIpam pUrva dAnasya tat Palam	de ni sngon byin 'bras bu yin //	65.85124230384827
samantAt pariKA AcCinnam nRta gItEH manoramE	khor yug tu ni 'obs kyis bskor // glu gar yid du 'ong ba yis //	76.6091072444359
ramante yatra krIxanti pUrva dAnasya tat Palam	gang du rtse zhing dga' bar byed // de ni sngon byin 'bras bu yin //	82.66349260865034
AyuH gbm  varza sahasram hi kzapayitvA atra mAnuzam	mi yi tshe ni lo stong po // zad pa dag tu byas nas ni // bar ma dor ni 'chi med pa //	77.08122721666196
mriyante na antareNa iti pUrva dAnasya tat Palam hitvA x x    xm kRtvA ca vipulam Sriyam	de ni sngon byin 'bras bu yin // dpal ni rgyas par spyad nas su // mi yi lus ni @216b bor nas kyang //	69.78587371156905
devezu na upapadyante pUrva dAnasya gbm  tat Palam	lha yi nang du skye bar 'gyur // de ni sngon byin 'bras bu yin // dge slong dag /	78.41442919725313
ApH  jAmbUdvIpakAnAm BikzavaH manuzyANAm utkarza apakarzam prajQAyate jAmbudvIpakAH BikzavaH manuzyAH amita AyuzaH pi	dzambu'i gling gi mi rnams la ni yar 'phel ba dang / mar 'grib pa yod de / dge slong dag / dzambu'i gling gi mi rnams ni tshe lo dpag tu med par yang 'gyur /	85.86990098972646
