		10.0
sUtra arTa samuccaya upadeSaH	@304a # // rgya gar skad du /s'u tr'a rtha sa mu tstsha yo pa de sha / bod skad du / mdo'i sde'i don kun las btus pa'i man ngag /	82.93897341252314
namaH ratnatrayAya	dkon mchog gsum la phyag 'tshal lo //	87.11496547750525
saMdRSya gamBIram udAram abDi AkASa upamam sUtrasumAtRkAm ca	rgya mtsho nam mkha' ltar zab rgya che ba // mdo sde'i sde snod ma mo kun bltas shing //	80.72537673509372
SrImat guroH Asya samudgata arTAn duzprApaNIyAn viliKAmi ca aham	dpal ldan bla ma'i zhal nas byung ba yi //	63.932450008609365
atra boDisattvAnAm ratna upamAH paQcASat DarmAH prANa upama AdayaH	rnyed par dka' ba'i don rnams bri bar @304b bya ; ;'dir byang chub sems dpa' rnams kyi nor lta bu'i chos ni lnga bcu ste / srog lta bu la sogs pa'o //	81.39470179231682
tAn aBiDAsye kiQcid  tat yaTA	de rnams cung zad bshad par bya ste / ji skad du /	74.34718351364135
AyuH jIvitam ADAraH Uzma vijQAnayoH hi yaH   a ba yaTA sattvAH prANezu snihyantaH prANAn= ca ASrayante	srog ni tshe yin drod dang ni // rnam shes rten nyid yin pa'o // zhes so //	61.02356519100937
taTA boDisattvAH api prANa upama boDi citte snihyantaH tat ASrayante	de ltar sems can rnams la srog gces shing srog la brten pa de bzhin du byang chub sems dpa' la yang srog lta bu'i byang chub kyi sems gces shing la de la brten pa'o //	70.33491530958624
mAtA pitR samaH DarmaH tu SUnyatA karuNe	pha ma lta bu'i chos ni stong pa nyid dang / snying rje yin te /	80.02720907570874
tadanotpAde na boDisattva samBavaH	des ma bskyed pa'i byang chub sems dpa' 'byung bar mi 'gyur ro //	69.01095206920917
gRhiNI vat mRti SikzA karmaNi saMciti saMjQAni ahorAtram tris samAgamaH	byan mo lta bu ni 'chi ba dang ; bslab pa dang / las kyis bsags pa bgrang ba rnams te / nyin mtshan lan gsum du 'grogs dgos pa'o //	72.44496568537876
gRha vat daSa kuSalAni	khang pa lta bu ni dge ba bcu po yin te /	85.85527478776326
imAmi tu gRham eva durgati dvAra piDAnAt	'di ni khang pa nyid de ngan 'gro dag gi sgo gcod pa'i phyir /	75.59081242301619
Dana upamAni Arya sapta DanAni alpa icCatA saMtozaH ca	nor lta bu ni 'phags pa'i nor bdun dang / 'dod pa chung ba dang / chog shes pa'o //	82.68625113800915
mitra vat tri DAtu prayogam kurvan= api nirvANa ASaya tA vipula dAne pi vipAka nirapekza tA sarva Darma anutpAda jQAne pi karma vipAkAn utsargaH sarva Darma nErAtmya jQAne pi sattvezu karuNA utpAdaH	grogs po lta bu ni sbyor ba khams gsum na byed kyang bsam pa mya ngan las 'das pa dang / sbyin pa rgya chen po gtong yang rnam par smin pa la re ba med pa dang / chos thams cad skye ba med par shes kyang las kyi rnam par smin pa mi 'dor ba dang / chos thams cad bdag med par shes kyang sems can la snying rje bskyed pa'o //	89.32286152361645
mUla samAH SradDA SravaNam tyAgaH  kzAntiH ca	rtsa ba lta bu ni dad pa dang / thos pa dang / gtong ba dang / bzod pa'o //	91.17999076843262
kzetra upamam SIlam	zhing lta bu ni tshul khrims so //	80.89466897179098
banDu samAH daSa pAramitAH	nye du lta bu ni pha rol tu phyin pa bcu'o //	79.61222110854254
AcArya upamAH tu zaz anusmRtayaH	slob dpon lta bu ni rjes su dran pa drug go //	83.99073053442913
upADyAya upamAH tu Arya kASyapa paripRcCA sUtre boDi cittA vismaraNAya catvAraH DarmAH	mkhan po lta bu ni 'phags pa 'od srungs kyis zhus pa'i mdo'i byang chub kyi sems mi brjed par 'gyur ba'i chos bzhi'o //	90.04058963633706
SrezWi samAH SikzA samuccaye caturdaSa apakAra pratipakzAH	tshong dpon lta bu ni bslab pa kun las btus kyi gnod pa bcu bzhi'i gnyen po rnams so //	88.82682989353538
BaginI samAni catura pramANAni	sring mo lta bu ni tshad med pa bzhi'o //	74.45140355389293
dAsa upamAni catur saMgraha vastUni	bran lta bu ni bsdu ba'i dngos po bzhi'o //	84.72417361237282
prajA upamaH tu SvadAsacANxAla vat ahaFkAra nASaH	'bangs lta bu ni khyi dang bran dang gdol pa lta bur nga rgyal bcag pa'o //	79.13846398941702
netra upame tu ASaya aDyASaya viSudDI	mig lta bu ni bsam pa dang / lhag pa'i bsam pa rnam par dag pa'o //	78.56874197735867
DAtrI samam kalyANa mitram	ma ma lta bu ni dge ba'i bshes gnyen yin no //	77.60230580620143
rAja upamam tri ratnam	rgyal po lta bu ni dkon mchog gsum yin no //	62.460493087768555
toya saMkAra upamA tri maNxala pariSudDiH	chu lud lta bu ni 'khor gsum yongs su dag @305a * // pa yin no //	78.61533787846815
mArga darSaka samAH smRti samprajanya yoni Somana sikAra apramAdAH catur viparyAsa pratipakza sevanaQca	lam mkhan lta bu ni dran pa dang / shes bzhin dang / tshul bzhin sems pa dang / bag yod pa dang / phyin ci log bzhi'i gnyen po bsten pa'o //	81.61452712703556
carrna vat sattva aparityAga anugrahO	pags pa lta bu ni sems can mi gtong zhing rjes su 'dzin pa'o //	69.32539700704908
alaFkAra upamAH SradDA SIlam tyAgaH Srutam prajQA ca	rgyan lta bu ni dad pa dang / tshul khrims dang / gtong ba dang / thas pa dang / shes rab po //	89.07808241851181
vyADi pIxA upamam tu ADyAtmika bAhya vastu aBinivizwa cittam	nad dang zug rngu lta bu ni phyi nang gi dngos po la zhen pa'i sems so //	81.67417845147111
hata citta puruza vat gRhasTaH boDisattvaH evam vicArayati kadA aham brahmacArI Baveyam	skyes bu mnar sems can lta bu ni khyim pa'i byang chub sems dpa' 'di snyam du bdag nam zhig na tshangs par spyod par 'gyur zhig gu zhes pa dang /	81.50257468223572
pravrajitaH evam cintayati kadA aham jagataH duHKAni moktum kzamaH iti	rab tu byung ba 'di snyam du nam zhig na bdag gis 'gro ba rnams sdug bsngal las thar bar nus zhes pa'o //	86.50022517145362
kusIda upamam gRhasTena kzetra AdInAm aparityAgaH	le lo can lta bu ni khyim pas zhing la sogs pa ma spangs pa'o //	78.87037498998812
pravrajitena dOHSIlya AdInAm aprahANam	rab tu byung bas tshul 'chos la sogs pa ma spangs pa'o //	80.76266582806905
SIla skanDa sUtre BikzavaH	tshul khrims kyi phung po'i mdo las /	89.01270304499445
pravrajitena hasti yudDa darSanam api miTyA jIvaH iti uktam	dge slong dag rab tu byung bas glang po che 'thab pa la bltas na yang log pa'i 'tsho ba yin no zhes gsungs so //	80.21787506186216
su svaBAva upamaH yoni Somana sikAravAn	gshis bzang po lta bu ni tshul bzhin sems pa dang ldan pa'o //	75.70428177145774
mUka upamaH para doza BrAnti anAKyAtA sva guNAn AKyAtA apara nindakaH ca	dig pa lta bu ni gzhan gyi nyes pa dang 'khrul pa mi brjod pa dang / rang gi yon tan mi brjod pa dang / gzhan la mi smod pa'o //	78.53548703697489
anDa upamaH para doza drazwA	long ba lta bu ni gzhan gyi 'khrul pa la mi blta ba'o //	65.46794080734253
gRhIta cOra upamaH sat Darma vinASe sadDarma grAhakaH	rkun ma zin pa lta bu ni dag pa'i chos 'jig pa na dam pa'i chos 'dzin pa'o //	79.18260765520206
bAla upamaH su vAc sPUrtimAn suKa daH su tozaH supozaH suBaraH santuzwaH ca	byis pa lta bu ni bka' blo bde ba dang / nga lo yang ba dang / 'grogs na bde ba dang / mgu sla ba dang / gso sla ba dang ; dgang sla ba dang / chos shes pa'o //	80.98891226103515
dUta upamaH tu boDisattvaH bahu arTaH bahukriyaH udAra cittaH ca	pho nya lta bu ni byang chub sems dpa' don mang ba dang / bya ba mang ba dang snying las che ba'o //	85.19953167550038
amAtya upamaH dRXa pratijQaH	blon po lta bu ni dam bca' brten pa'o //	63.21511173248291
paNxita upamaH pratihata sattvaH pratyupakArI ca	mdzangs pa lta bu ni sems can dang zhe 'gras pa med pa dang bcos su btub pa'o //	78.73251438140869
Sizya upamaH tu tris divA tris ca rAtrO guru paryupAsakaH kRta puNya samBAra saQcayaH saMvara pozakaH ca	slob ma lta bu ni nyin lan gsum mtshan lan gsum du bla ma la bsnyen bkur bya ba dang / bsod nams kyi tshogs bsag pa dang / sdom pa gso ba'o //	84.3080849014914
pratyutTApaka upamaH sarva sattva budDa tva prApaNa pUrvam sva budDa tva kAmaH	bsu skyel ba lta bu ni sems can thams cad sangs rgyas par byas nas gdod bdag nyid 'tshang rgya bar 'dod pa'o //	79.6381067417807
anDanAyaka upamaH sva budDa BAva pUrva para arTa kriyAH	long khrid lta bu ni bdag @305b sangs rgyas par byas nas gdod gzhan gyi don bar 'dod pa'o // byed pa'o //	75.97498848149442
praTama kalpa manuzya upamaH AcaraNa SIla jIvikA viDi dRzwi sampannaH	bskal pa dang po'i mi lta bu ni spyod lam dang / tshul khrims dang / 'tsho ba dang / cho ga dang / lta ba phun sum tshogs pa'o //	81.11178942669041
sa kAma puruza upamaH samasta caryA paTa para arTa pariNAmanaH	skyes bu 'dod pa can lta bu ni spyod lam thams cad gzhan la bsngo ba ste /	77.653751995186
yaTA Arya ratna meGa sUtra uktam	'phags pa dkon mchog sprin las 'byung ba lta bu'o //	86.75770103014433
anDakAra upamaH mahA maDyamaka arTa nitya vAsaH	mun pa lta bu ni dbu ma chen po'i don la rtag tu gnas pa'o //	70.85767650575893
GAtaka upamaH tyakta miTyA dRzwi utpAdaH	gshed ma lta bu ni log par lta ba skyes pa de spang bar bya'o //	75.52810147645032
cOra upamaH tyakta pramAda an AdaraH	chom rkun lta bu ni bag med pa dang / ma gus pa ste spang bar bya'o //	80.48064826003841
Satru upamaH tu ahrI pramAdaH	dgra lta bu ni ngo tsha med pa dang bag med pa'o //	81.49585483588424
