	@1b # // rgya gar skad du / shiksha sa mutstsha ya k'a ri k'a /	10.0
SikzA samuccaya kArikA Ssk	bod skad du / bslab pa kun las btus pa'i tshig le 'ur byas pa / sangs rgyas dang byang chub sems dpa' thams cad la [dd] phyag 'tshal lo //	60.99175151991276
yadA mama parezAm ca Bayam duHKam ca na priyam	'di ltar bdag dang gzhan dag kyang // 'jigs dang sdug bsngal mi 'dod na // bdag dang bye brag ci yod na //	83.4126716206812
tad A AtmanaH kaH viSezaH yattam rakzAmi na itaram	gang de bsrung la gzhan mi bsrung //	73.58742994732327
duHKAntam kartu kAmena suKa antam gantum icCatA	sdug bsngal mthar 'byin 'dod pa dang // bde ba'i mthar yang 'gro 'dod pas //	83.38571460518962
SradDA mUlam dRXIkRtya boDO kAryA matiH dRXA	dad pa'i rtsa ba brtan bya ste // byang chub la yang blo brtan bya //	86.93536767121641
SikzA AdaraH mahAyAnAt boDisattvasya saMvaraH	byang chub sems dpa'i sdom pa ni // rgyas par theg pa che las 'byung // gang gis ltung bar mi 'gyur ba'i //	82.1160983787482
marma sTAnAni atas vidyA Adi ena anApattikaH Bavet	gnad kyi gnas rnams 'dir rig bya //	71.01507077898297
Atma BAvasya BogAnAm tri aDva vRtteH SuBasya ca	bdag gi lus dang longs spyod dang // dge ba dus gsum skyes pa rnams //	86.83889430649411
utsargaH sarva sattveByaH tad rakzA SudDi varDanam	sems can kun la btang ba dang // de bsrung dag pa spel ba'o //	90.59517555706819
pariBogAya sattvAnAm Atma BAva Adi dIyate	sems can rnams kyis longs spyad phyir // lus la sogs pas bsrung bar bya //	88.65500665386699
arakzite kutas BogaH ki dattam yat na Bujyate	ma bsrungs longs spyod gang las 'ong // gang mi spyod pa ci zhig sbyin // de bas sems @2a * // can longs spyod phyir // dge ba'i bshes gnyen mi gtong zhing // mdo sde dag la rtag blta bas //	71.84449257523677
tasmAt sattva upaBoga arTam Atma BAva Adi pAlayet kalyANa mitra anutsargAt sUtrANAm ca sadA IkzaNAt	lus la sogs pa bsrung bar bya //	46.924207184848456
tatra Atma BAve kA rakzA yat anarTa vivarjanam	de la lus bsrung gang zhe na // gnod par 'gyur ba spang ba ste//	83.70924029014773
kena etat laByate sarvam nizPala spanda varjanAt	de kun gang gis 'thob ce na // 'bras bu med pa'i byed spangs pas //	84.3436512318679
etat siDyet sadA smRtyA smRtiH tIvra AdarAt Bavet	de yang rtag tu dran pas 'grub // dran pa shin tu gus las 'byung //	88.66665325980621
AdaraH Sama mAhAtmyam jQAtvA tApena jAyate	gus ni zhi ba'i che ba nyid // shes par gyur nas brtun pas skyed //	79.84823099093427
samAhitaH yaTABUtam prajAnAti iti avadat muniH	mnyam gzhag yang dag ji bzhin du // shes par 'gyur zhes thub pas gsungs //	87.53691516580032
SamAt ca na calet citam bAhya cezwA nivartanAt	phyi rol g-yo ba bzlog pa yis // sems ni zhi las mi g-yo zhing //	87.84596815001431
sarvatra apacalaH manda mati snigDa aBiBAzaNAt	kun du mi rgod 'jam pa dang // ran cing mnyen par smra ba yis //	84.22812256477542
Avavarjayet janam Bavyam AdeyaH ca api jAyate	skal can skye bo 'dun par 'gyur // gzung bar 'os pa'ang skye bar 'gyur // 'di ni gzung 'os ma yin na //	78.00794735971041
anAdeyam tu tam lokaH pariBUya jinAFkuram	'jig rten rgyal ba'i myu gu brnyas //	67.70051152641709
Basma= CannaH yaTA vahniH pacyeta naraka Adizu	thal bas g-yogs pa'i me bzhin du // sems can dmyal la sogs par sreg /	73.04817778501899
ratna meGe jinena uktaH tena saFkzepa saMvaraH	de phyir rgyal bas sdom pa'i mdor //	72.9630683792962
yena aprasAdaH sattvAnAm tat yatnena vivarjayet	gang gis sems can ma dad 'gyur // de ni bsgrims te rnam spang zhes // dkon mchog sprin las bka' stsal to //	77.96929306710149
ezA rakzA Atma BAvasya BEzajya vasA nAdiBiH	'di ni bdag lus bsrung ba ste // sman dang gos la sogs bcas pas // bdag @2b la sred pas longs spyad na //	77.72149937274546
