	@289b rgya gar skad du / a'arya ma h'a san ni p'a ta ratna ke tu dh'a ra n'i n'a ma ma h'a y'a na s'u tra / bod skad du /'phags pa 'dus pa chen po rin po che tog gi gzungs zhes bya ba theg pa chen po'i mdo mdo; bam po dang po / de bzhin gshegs pa 'od zhi spos snang dpal la phyag 'tshal lo // tshangs pa chen po dbyangs can la phyag 'tshal lo // de la phyag btsas te bdud kyi 'khor gyis mi tshugs pa zhes bya ba'i zungs 'di sbyor bar bgyi'i / bdag gis rig sngags 'di grub par gyur cig / 'di lta ste / aa b'a me aa b'a me /	10.0
folioH  are missing i	aam ba re / aam ba re / pa ru kun dza na ta na ta pu ska ra ba ha dza lu kha / kha ma kha ya / ai li mi li / ki li mi li / kirti ba ra / mu dre mu dra mu khe sv'ah'a / 'di skad bdag gis thos pa dus gcig na / bcom ldan 'das rgyal po'i khab kyi grong khyer chen po 'od ma'i tshal bya ka lanta ka gnas pa na dge slong stong du tshang ba'i dge slong gi dge 'dun chen po thams cad kyang dgra bcom pa / zag pa @290a *// zad pa; nyon mongs pa med pa / dbang dang ldan par gyur pa / sems shin tu rnam par grol ba / shes rab shin tu rnam par grol ba / cang shes pa / glang po chen po; ;bya ba byas pa / byed pa byas pa / khur bor ba / bdag gi don rab tu thob pa / srid par kun tu sbyor ba yongs su zad pa / yang dag pa'i shes pas sems shin tu rnam par grol ba; sems kyi dbang thams cad kyi dam pa'i pha rol tu son pa sha stag dang thabs cig tu bzhugs so // byang chub sems dpa' khri'i byang chub sems dpa'i dge 'dun chen po la 'di lta tu bzhugs so // ste / lhun po'i rtse 'dzin gzhon nur gyur pa dang / chu lha'i blo gros gzhon nur gyur pa dang / bzang po'i blo gros gzhon nur gyur pa dang / rgyal ba'i blo gros gzhon nur gyur pa dang / 'od kyi blo gros gzhon nur gyur pa dang / nam mkha'i blo gros gzhon nur gyur pa dang / glog gi blo gros gzhon nur gyur pa dang / 'jam dpal gzhon nur gyur pa dang / thub dka' gzhon nur gyur pa dang / chu lha gzhon nur gyur pa dang / dri med gzhon nur gyur pa dang / byang chub sems dpa' sems dpa' chen po byams pa dang / de dag la sogs pa byang chub sems dpa' khri thams cad kyang bzod pa dang / gzungs dang / ting nge 'dzin thob bo // chos thams cad la sgrib pa med pa'i ye @290b shes can / sems can thams cad la sems mnyam pa / bdud kyi yul thams cad las yang dag par 'das pa / de bzhin gshegs pa thams cad kyi yul la 'jug pa / shes pa la mkhas pa / byams pa chen po dang / snying rje chen po dang ldan pa / thabs shes pa la mkhas pa sha stag dang mang thabs cig go / de'i tshe rgyal po'i khab kyi grong khyer chen po na kun tu rgyu mkhas pa / gsal ba / yid gzhungs pa / rig pa'i gnas bco brgyad kyi pha rol tu phyin pa / g-yog lnga brgyad dang / gcig gi ming ni / nye rgyal / gcig gi ming ni / pang nas skyes zhes bya ba gnyis shig 'khod do // tshogs kyi gtso bo // g-yog gi tshogs can de gnyis phan tshun 'di ltar bdag cag las gang gis thog mar bdud rtsi thob pa des gcig la gcig spran to // zhes dam tshig byas so // de nas tshe dang ldan pa rta thul snga dro'i dus kyi tshe sham thabs dang chos gos bgos / lhung bzed thogs nas rgyal po'i khab kyi grong khyer chen por bsod snyoms kyi phyir zhugs pa dang / kun tu rgyu nye rgyal gyis tshe dang ldan pa rta thul spyod yul du zhugs nas rgyal po'i khab kyi grong khyer chen por bsod snyoms kyi phyir song ba mthong ngo // mthong nas de 'di snyam du sems te / ji ltar dge slong 'di spyod lam mdzes pa de lta bu ni / bdag gis sngon chad dge sbyong ngam / bram ze'am / mir gyur pa gzhan su la'ang gang la'ang sngon ma mthong @291a *// na; bdag de'i gan du song ste tshe dang ldan pa khyod kyi ston pa gang yin / gang las rab tu byung / gang gi chos la dga' zhes 'dri'o // snyam nas kun tu rgyu nye rgyal tshe dang ldan pa rta thul ga la ba der song ste phyin nas tshe dang ldan pa rta thul dang lhan cig mngon du yang dag par dga' bar bya ba dang / yang dag par mgu bar bya ba'i gtam sna tshogs byas te phyogs gcig tu 'dug go / phyogs gcig tu 'dug nas kun tu rgyu nye rgyal gyis tshe dang ldan pa rta thul la 'di skad ces smras so // tshe dang ldan pa / khyod kyi ston pa gang / gang las rab tu byung / gang gi chos la dga'/ de nas tshe dang ldan pa rta thul gyis kun tu rgyu nye rgyal la 'di skad ces smras so // sh'akya'i sras po brtul zhugs dka' thub chen po kun gyi dam pa dbang dang ldan // 'khor ba'i rgya mtsho'i pha rol phyin cing grol la de bzhin 'gro ba sgrol mdzad pa // sangs rgyas zhes bya sad mdzad mi mnyam sdug bsngal mtsho skem da ltar 'di na yod // dri ma med pa de yi skyabs su rtag par nga song de yi chos la dga'// nye rgyal gyis smras pa / khyod kyi ston pa ji skad smra / ji skad ston / tshe dang ldan pa rta thul gyis smras pa / de'i phyir tshe dang ldan pa legs par rab tu nyon la yid la zungs shig dang ngas bshad do // ji ltar 'jig rten las @291b dang nyon mongs rgyur bcas byed rgyu ldan 'byung dang // las dang nyon mongs pa dag ldog rgyu de'ang 'dren pas rab tu gsungs // gang na skye dang rga dang rgud pa'i sdug bsngal nges par mi gnas pa // thar pa mchog de smra ba'i khyu mchog de yis rang gis mkhyen te gsungs // de nas kun tu rgyu nye rgyal gyis chos kyi rnam grangs 'di thos nas chos rnams la chos kyi mig rdul med cing dri ma dang bral la nyon mongs pa med pa skyes te / des na rgyun du zhugs pa'i 'bras bu thob nas de'i tshe tshigs su bcad pa 'di skad ces smras so // sangs rgyas kyis ni shin tu rnyed dka' thos rnyed bdud rtsi'i chos bshad pa // 'di ni rtag tu skye ba'i 'bab chu skem par bden pa khong du chud // de ni 'gro ba rnams kyi sdug bsngal rab tu zhi bar 'gyur ba ste // lam 'di dam pa shes rab chos rnams sgom pa mi nyams byed pa yin // de nas kun tu rgyu nye rgyal gyis tshe dang ldan pa rta thul la 'di skad ces smras so // tshe dang ldan pa; de bzhin gshegs pa dgra bcom pa yang dag par rdzogs pa'i sangs rgyas de da lta ga la bzhugs / tshe dang ldan pa rta thul gyis smras pa / tshe dang ldan pa / bcom ldan 'das ni / rgyal po'i khab 'od ma'i tshal bya ka lanta ka gnas pa na 'di lta ste / ral pa can stong rab tu byung ba'i dge slong gi dge 'dun chen po dang thabs cig tu bzhugs @292a *// so; ;nye rgyal gyis smras pa / bdag gi grogs po'i mchog dang / slob ma'i 'khor la bltas te bcom ldan 'das kyi thad du rab tu 'byung ngo // de nas kun tu rgyu nye rgyal gyis tshe dang ldan pa rta thul gyi rkang pa la mgo bos phyag btsal nas lan gsum du bskor ba byas te slar song nas kun tu rgyu pang nas skyes ga la ba der song ba dang / kun tu rgyu pang nas skyes kyis kun tu rgyu nye rgyal rgyang ring po nas 'ong ba mthong ste / mthong nas kun tu rgyu nye rgyal la 'di skad ces smras so // tshe dang ldan pa / khyod kyi dbang po rnams ni / dvangs / bzhin gyi mdangs ni / yongs su dag / pags pa'i mdog ni / kun tu dkar ba las ni / tshe dang ldan pa / khyod kyis bdud rtsi rnyed do // nye rgyal gyis smras pa / tshe dang ldan pa / de de bzhin te / kho bos bdud rtsi rnyed kyi / tshe dang ldan pa / de'i phyir legs par rab tu nyon la yid la zungs shig dang / kho bos ci rnyed pa khyod la bshad do // de nas kun tu rgyu pang nas skyes stan las langs nas bla gos phrag pa gcig tu gzar te pus mo g-yas pa'i lha nga sa la btsugs te kun tu rgyu nye rgyal ga la ba de logs su thal mo sbyar ba btud de 'di skad ces smras so // gang gis srid gsum rgya mtsho myur rgal zhing // phung po dgra chen rnam par gzhig bya ba // mya ngan med zhi lam de shod cig @292b dang; ;yang 'byung med pa'i lam du 'jug par bya // de nas kun tu rgyu nye rgyal gyis 'di skad ces smras so // ji ltar 'jig rten las dang nyon mongs rgyur bcas byed rgyu ldan 'byung dang // las dang nyon mongs pa dag ldog rgyu de'ang 'dren pas rab tu gsungs // gang na skye dang rga dang rgud pa'i sdug bsngal nges par mi gnas pa // thar pa mchog de smra ba'i khyu mchog de yis rang gis mkhyen te gsungs // pang nas skyes kyis smras pa / sdug bsngal rab tu zhi bar bya phyir dri ma med pa zhi ba'i chos // nyon mongs lta ngan nyes pa thams cad zhi byed mi shes gcod pa dang // 'di ni 'dus byas gsog gsob de phyir stong pa slu bar thub pas gsungs // de thos zhi ba reg 'gyur dri ma med pa'i tshig de zlos te gsungs // nye rgyal gyis smras pa / ji ltar 'jig rten las dang nyon mongs rgyur bcas byed rgyu ldan 'byung dang // las dang nyon mongs pa dag ldog rgyu de'ang 'dren pas rab tu gsungs // gang na skye dang rga dang rgud pa'i sdug bsngal nges par mi gnas pa // thar pa mchog de smra ba'i khyu mchog de yis rang gis mkhyen te gsungs // de nas kun tu rgyu pang nas skyes kyis de nyid du chos rnams la chos kyi mig rdul med cing dri ma dang bral la / nyon mongs pa med pa rnam par sbyangs te / de nas rgyun du zhugs pa'i 'bras bu thob nas 'di skad ces smras so // yang dag spyod pa 'di ni chu @293a *// bo sgrol ba zhi ba mgyogs pa'i gzings // ye shes mchog 'di sdug bsngal gsum po zhi byed 'khor lo'i pha rol 'gro // 'di ni yongs su shes na nyon mongs phung po 'joms zhing bdud 'dul 'gyur // thar pa 'di ni dgra dang 'thab mo bsal cing sdug bsngal rgya mtsho skem // pang nas skyes kyis smras pa / bcom ldan 'das de bzhin gshegs pa dgra bcom pa yang dag par rdzogs pa'i sangs rgyas de da lta ga la bzhugs // nye rgyal gyis smras pa / tshe dang ldan pa bdag gis bcom ldan 'das rgyal po'i khab kyi grong khyer chen po 'od ma'i tshal bya ka lanta ka gnas pa na dge slong gi dge 'dun chen po dang / byang chub sems dpa'i dge 'dun chen po dang thabs cig tu bzhugs zhes thos na / bdag cag gnyis bcom ldan 'das kyi thad du rab tu 'byung ngam / pang nas skyes kyis smras pa / tshe dang ldan pa / de de bzhin te / bdag cag gi 'khor la bltas te rab tu 'byung ngo // de nas kun tu rgyu nye rgyal dang / pang nas skyes rang gi 'khor ga la ba der dong ngo // de nas skad cig thang gcig yud tsam de la bdud sdig can gyis yul aangga ma ga dha na mkhas shing snyan pa dang / brjod pa dang / grags par ldan pa skyes bu dam pa nye rgyal dang / pang nas skyes g-yog dang bcas te dge sbyong goo ta ma'i bstan pa la rab tu @293b 'byung bar 'dod do // zhes thos nas de 'di snyam du sems so // kyi hud de gnyis gal te dge sbyong goo ta ma'i slob mar gyur na / bdag gi bdud kyi yul stongs par byed par 'gyur gyi / bdag der song ste skyes bu dam pa de gnyis rab tu 'byung ba las bzlog la /	10.0
pApikAm dRzwim grAhayeyam	sdig pa can gyi lta ba 'dzin du 'jug go /	74.2728888058081
aTa tena kzaNena mAraH pApi imAm SIGram eva sva BavanAt antarhAya AyuzmataH SvajitaH veza liMgeryApaTena tayoH sat puruzayoH puratas ntarsTitvA evam Aha	snyam ste / de nas skad cig thang gcig yud tsam de la bdud sdig can myur du bdag gi khang pa nas mi snang bar byas te tshe dang ldan pa rta thul gyi cha byad dang / rtags dang / spyod lam du bsgyur nas skyes bu dam pa de gnyis kyi mdun na lam gar 'dug ste 'di skad ces smras so //	89.27035423606479
uktam pUrvam idam mayA hi vitaTam hetu upamam kAraNam	kho bos sngar smras rgyu dang byed rgyu lta bu de ni log pa ste //	88.75252481926026
yuvayoH eva manaH pracAra niyamam vijQAyatum kim yuvAm	khyed gnyis yid kyi spyod pa ci la nges pa bgam par bya ba'i phyir //	78.82829779127776
sarvam ca etat apArTakam hi kaTitam na asti atra hetuH punar	smras pa de dag thams cad don yod ma yin 'di la rgyu yang med //	84.79077352654357
kRzNasya asya SuBasya karmaNaH iha prAptiH Palam vA kutas kurum iya	dge dang mi dge'i las de'i 'bras bu thob pa 'di na ga la yod //	85.66599675093077
kzipram kAma guNezu atIva caratam krIxAm yuvAm vindatam	myur du khyed gnyis 'dod pa'i yon tan rnams la rab spyod rtsed mo byos //	86.36577045352773
mRtyuH na asti na janma na Arti ja rase lokaH paraH na asti vA	skye rga na 'chi med cing sdug bsngal med de 'jig rten pha rol med //	87.34431357052065
puNya apuNya Palam ca karma janitam na asti atra hetu kriyA	bsod nams bsod nams ma yin las bskyed 'bras med rgyu dang byed pa med //	91.35486333398408
