		10.0
Alambana parIkzA vRttiH Apv AcArya diS nAga kRtA namaH sarva budDa boDisattveByaH	@86a * // rgya gar skad du /a'a lam ba na pa r'ikshi britti / bod skad du / dmigs pa brtag pa'i 'grel pa / sangs rgyas dang byang chub sems dpa' thams cad la phyag 'tshal lo //	80.30434936594459
ye cakzuH Adi jQAnasya Alambanam bAhya arTaH sti iti icCanti nanu te kalpayanti paramANun tad kAraNAtvAt jQAnasya saMGAtam vA tad ABajQAnasya jAyamAna tvAt tatra tAvat	gang dag mig la sogs pa'i rnam par shes pa'i dmigs pa phyi rol gyi don yin par 'dod pa de dag ni de'i rgyu yin pa'i phyir rdul phra rab dag yin pa'am der snang ba'i shes pa skye ba'i phyir de 'dus pa yin par rtog grang na / de la re zhig /	86.50520333327104
yadi api indriya vijQapteH grAhya aMSaHaNavaH kAraNam Bavet	dbang po rnam par rig pa'i rgyu // phra rab rdul dag yin mod kyi //	81.05176031445498
atad ABatayA tasyAH na akza vat vizayaH sa tuaNavaH	der mi snang phyir de yul ni // rdul phran ma yin dbang po bzhin //	81.61480319920267
vizayaH iti  jQAnena svarUpa mA iva nirDAryate tad AkAratayA jAyamAna tvAt	yul zhes bya ba ni shes pas gang gis rang gi ngo bo nges par 'dzin pa yin te de'i rnam par skye ba'i phyir ro //	84.68605567684772
yadi api aNavaH tad kAraNam taTA api na tAdRSAH akza vat	rdul @86b phra mo dag gi ni de'i rgyu nyid yin du zin kyang de lta ma yin te dbang po bzhin no //	82.69261686335233
evaQca na aNavaH tAvat Alambanam saMGAtaH tu tad ABa tve pijQA Anamya na Alambanam  yatas	de ltar na re zhig rdul phra mo dag dmigs pa ma yin no // 'dus pa ni der snang ba nyid yin du zin kyang / gang ltar snang de de las min //	68.68592818434395
yad ABAsA na tasmAt sA yaH rTaH sva avaBAsi vijQaptim utpAdayati sahya Alambanam yujyate yatas saH eva hi utpatti pratyayaH ucyate	don gang zhig rang snang ba'i rnam par rig pa bskyed pa de ni dmigs pa yin par rigs te / 'di ltar de ni skye ba'i rkyen nyid du bshad pas so //	80.61747342402685
saMGAtaH tu na evam	'dus pa ni de lta yang ma yin te /	77.20388976265401
dravya aBAvAt dvi candra vat	rdzas su med phyir zla gnyis bzhin //	78.95080925967241
indriya vEkalyAt dvi candra darSanasya tad ABa tve pi na tasya vizayaH sti	dbang po ma tshang ba'i phyir zla ba gnyis mthong ba ni der snang ba nyid yin du zin kyang de'i yul ma yin no //	89.28287317028644
tadvat saMGAtaH dravyataH sattvena akAraNAtvAt na Alambanam	de bzhin du rdzas su yod pa ma yin pa nyid kyis rgyu ma yin pa'i phyir 'dus pa dmigs pa ma yin no //	83.42239720195383
evam bAhyadUyaQcA eva na yuktam mati gocaraH	de ltar phyi rol gnyis kar yang // blo yi yul du mi rung ngo //	78.41863869470751
