		10.0
sarva taTAgata aDizWAna vyUham sUtram	@416a rgya gar skad du / a'arya sarba ta th'a ga t'a dhashth'i na satv'a ba lo ke na buddha kshe tre ni rde sha na by'u ha n'a ma ma h'a y'a na s'u tra / bod skad du /'phags pa de bzhin gshegs pa thams cad kyi byin gyi rlabs sems can la gzigs shing sangs rgyas kyi zhing gi bkod pa kun tu ston pa zhes bya ba theg pa chen po'i mdo / sangs rgyas dang byang chub sems dpa' thams cad la phyag 'tshal lo // 'di skad bdag gis thos pa dus gcig na /	48.34610452052842
evam mayA Srutam ekasmin samaye potalaka parvate Arya avalokita ISvara Ayatane divya maNi ratna SrIindranIla maye puzpa saMstRte deva siMhAsane BagavAn sArDam mahatA Bikzu saFGena paQca mAtrEH Bikzu SatEH sarvEH arhadBiH kzINa AsravEH cetaH vaSitA prAptEH sat Darma pAraMgatEH ca sArDam boDisattvEH	bcom ldan 'das ri gru 'dzin na 'phags pa spyan ras gzigs dbang phyug gi gnas lha'i nor bu rin po che dpal gyi snying po dang / me tog rgyas pa dang / lha'i sengge'i khri bkod pa na dge slong lnga brgya tsam gyi dge slong gi dge 'dun chen po thams cad kyang dgra bcom pa / zag pa zad pa /	52.0330478590622
sarvEH mahA karuNA jQAna prAptEH sarvEH eka jAti pratibadDEH dvijAtiByAm ca tri jAtiBiH daSa jAtiBiH viSati jAtiBiH triMSat jAtiBiH	sems thams cad kyi dbang gi dam pa'i pha rol tu son pa sha stag dang / byang chub sems dpa' thams cad kyang snying rje chen po'i shes pa la gnas pa / thams cad kyang skye ba gcig gis thogs pa dang / skye ba gnyis dang / skye ba gsum dang / skye ba bcu dang / skye ba nyi shu dang / skye ba sum cu dang / skye ba brgya'i bar dag gis @416b thogs pa /	74.55419289508434
Sata jAtiBiH vA pratibadDEH sarvEH azwa Pala prAptEH daSa BUmi sTitEH tat yaTA	thams cad kyang sa brgyad pa dang / sa bcu pa la gnas pa sha stag ste /	58.6121692273462
Arya avalokita ISvareNa maMju SriyA vimala ketunA ratna SriyA vajraketunA vimala praBeNa candanena amRta ketunA evaMpramuKEH sapta SatEH boDisattvEH sArDam upAsa ka upAsikABiH sarvEH ca vyAkRtEH samADi prAptEH nAnA lokaDAtuBiH sannipatitEH paQca sahasrEH	'phags pa spyan ras gzigs dbang phyug dang / 'jam dpal dang / dri med tog dang / nor dpal dang / glog gi tog dang / dri med 'od dang / tsandan dang / bdud rtsi'i tog la sogs pa byang chub sems dpa' sems dpa' chen po bdun brgya dang / dge bsnyen dang / dge bsnyen ma thams cad kyang lung bstan pa dang ldan pa / ting nge 'dzin thob pa /	73.43593554527514
sarvEH ganDarva Sata sahasrEH pUrva budDa paryupAsitEH	'jig rten gyi khams tha dad pa nas 'dus pa lnga stong dang / lha dang / klu dang / gnod sbyin dang / dri za thams cad kyang sngon gyi sangs rgyas la bsnyen bkur byas pa /	69.84722949527816
taTAgata prAtihArya dRzwEH sArDam sarvABiH mahA yakziNIBiH boDisattva jQAna prAptABiH	de bzhin gshegs pa'i cho 'phrul mthong ba brgya stong dang / gnod sbyin mo chen mo thams cad kyang byang chub sems dpa'i ye shes thob pa lung bstan pa thob pa /	80.49782198199452
vyAkaraNa prAptABiH avEvartikABiH anOpamyayA vimala praBayA ca praBAvatyA BIma SriyA yakziNyA ca evaMpramuKABiH aSItyA mahA yakziNIBiH Satakratu brahma vESravaNa DRtarAzwra virUXaka vi rUpa akza maNi Badra putra pUrNaBadrAH etEH ca lokapAlEH sArDam nizaNNaH BUt	phyir mi ldog pa dpe med ma dang / dri med 'od dang / 'od can ma dang / 'jigs byed ma dang / dpal ldan ma dang / 'phrog ma dang / dung can ma la sogs pa gnod sbyin mo chen mo brgyad cu dang / brgya byin dang / tshangs pa dang / rnam thos kyi bu dang / yul 'khor srung dang / 'phags skyes po dang / mig mi bzang dang / nor bu bzang po'i bu dang / gang pa bzang po la sogs pa 'jig rten skyong ba thams cad kyi bar dag dang thabs cig tu bzhugs so //	87.25306561477015
aTa tEH sarvEH taTAgatam siMhAsana nizaNNam jQAtvA sva ka svakEH kuSala mUlEH taTAgatam	de nas de dag thams cad kyis de bzhin gshegs pa sengge'i khri la @417a *// bzhugs par rig nas rang rang gi dge ba'i rtsa ba dag gis de bzhin gshegs pa la lha'i rgyan dang /	85.57559543615344
divya alaMkAra vastra puzpa mAlya DUpa vilepana vAdya Sabdena mAnitaH pUjitaH Sata sahasra kowiSas	na bza' dang / me tog dang / me tog phreng dang / spos dang / byug pa dang / rol mo'i sgra rnams kyis mchod par byas / ri mor byas so // kha cig gis lan 'bum phrag du mar bskor ba byas te bstod do //	85.69010494806842
