		10.0
vEdya kOSika prajQApAramitA sUtram namaH sarva budDa boDisattveByaH	@475b / /rgya gar skad du /a'arya koo shi ka pradzny'a p'a ra mi t'a / bod skad du / 'phags pa shes rab kyi pha rol tu phyin pa koo shi ka zhes bya ba / sangs rgyas dang / byang chub sems dpa' thams cad la phyag 'tshal lo //	72.38425538419273
evam mayA Srutam	'di skad bdag gis thos pa dus gcig na /	80.55377650872255
ekasmin samaye BagavAn rAjagRhe viharati sma gRDrakUwe parvate mahatA Bikzu saMGena sArDam anekEH ca boDisattva Sata sahasrEH sarvEH	bcom ldan 'das rgyal po'i khab na / bya rgod kyi phung po'i ri la dge slong gi dge 'dun chen po dang / byang chub sems dpa' 'bum @476a *// phrag du ma thams cad kyang gzhon nur gyur pa sha stag dang thabs gcig tu bzhugs ste /	93.55260420837163
tatra Kalu BagavAn Sakram devAnAm indram Amantrayate sma	de nas bcom ldan 'das kyis lha'i dbang po brgya byin la bka' stsal pa / koo shi ka /	95.02891627815832
ayam kOSika prajQApAramitAyAH arTaH  prajQApAramitA na dvayena drazwavyAH na advayena	de la shes rab kyi pha rol tu phyin pa'i don ni 'di yin te / shes rab kyi pha rol tu phyin pa ni gnyis su blta bar mi bya / gnyis ma yin par yang ma yin /	83.98470231037648
na nimittataH na animittatas	mtshan mar ma yin / mtshan ma ma yin par yang ma yin / blang bar ma yin /	78.60104363692008
na AyUhataH na nirAyUhataH	dor bar ma yin /	63.22695827484131
na utkzepataH na prakzepataH	bsnan par ma yin / bsnan pa med par yang ma yin /	70.3846400805882
na saMkleSataH na asaMkleSataH	kun nas nyon mongs par ma yin / kun nas nyon mongs pa ma yin par yang ma yin / rnam par byang ba ma yin /	80.53984384360912
na vyavadAnataH na avyavadAnataH	rnam par byang ba ma yin par yang ma yin / spang bar ma yin /	82.71796279657082
na utsargataH na anutsargataH	spang bar ma yin par yang ma yin / gnas su ma yin /	63.52665780104842
na sTAnataH na asTAnataH	gnas su ma yin par yang ma yin / sbyor bar ma yin /	69.90496568118824
na yogataH na ayogataH	sbyor bar ma yin par yang ma yin / 'brel bar ma yin /	73.98674356712486
na saMbanDataH na asaMbanDataH	'brel par ma yin par yang ma yin /	76.31134016373579
na pratyayataH na apratyayataH	rkyen du ma yin / rkyen du ma yin par yang ma yin / chos su ma yin /	78.44584783385781
na DarmataH na aDarmataH	chos ma yin par yang ma yin /	75.49503865735284
na taTatayA	de bzhin nyid ma yin /	76.12869644165039
na ataTa tayA	de bzhin nyid ma yin par yang ma yin / yang @476b dag pa'i mtha' ma yin /	47.439559577262564
na BUtakowyA na aBUta kowI AveditavyA	yang dag pa'i mtha' ma yin par yang ma yin no //	75.35631195704143
evam eva ayam sa kOSika prajQApAramitAyAH arTaH	koo shi ka / de bzhin du shes rab kyi pha rol tu phyin pa'i don ni /	86.45283799910094
tat yaTA sarva Darma sama tvAt prajQApAramitA samA	'di lta ste / chos thams cad mnyam pa nyid kyi phyir shes rab kyi pha rol tu phyin pa nyid mnyam mo // chos thams cad zab pa'i phyir shes rab kyi pha rol tu phyin pa zab bo //	73.89771918057303
